Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.72,0.85,-0.08,2.74,-0.16,-0.27,-18.16,-28.71,-7.62,0.86,-0.7,-1.65,0.0008
0.73,0.84,-0.08,2.93,-0.36,-0.6,-18.16,-28.71,-7.62,0.85,-0.71,-1.65,0.0011
0.72,0.85,-0.09,2.8,-1.31,-1.39,-18.16,-28.12,-7.91,0.86,-0.7,-1.67,0.0013
0.7,0.85,-0.07,2.49,-0.4,-0.73,-17.58,-28.12,-8.2,0.88,-0.69,-1.66,0.0015
0.72,0.85,-0.09,2.56,-0.43,-0.37,-17.29,-28.42,-8.2,0.87,-0.7,-1.65,0.0018
0.75,0.83,-0.08,2.43,-2.69,-2.19,-18.16,-28.12,-7.03,0.84,-0.73,-1.65,0.002
0.71,0.85,-0.09,2.13,-3.89,-2.78,-17.87,-28.12,-7.91,0.87,-0.69,-1.66,0.0022
0.69,0.85,-0.07,2.76,-1.29,-0.27,-17.87,-28.42,-7.91,0.89,-0.68,-1.65,0.0025
0.7,0.85,-0.08,3.4,1.23,0.76,-17.58,-28.42,-7.32,0.87,-0.69,-1.63,0.0027
0.73,0.84,-0.09,3.16,0.43,0.37,-18.46,-28.71,-7.91,0.85,-0.71,-1.66,0.0029
0.72,0.85,-0.1,2.69,-0.8,-0.85,-18.46,-29.59,-7.62,0.86,-0.7,-1.64,0.0031
0.73,0.85,-0.08,0.96,-2.05,-1.69,-17.58,-28.12,-7.91,0.86,-0.71,-1.65,0.0034
0.77,0.84,-0.1,-2.66,-8.04,-4.49,-18.46,-28.71,-7.91,0.82,-0.74,-1.67,0.0036
0.81,0.83,-0.1,-0.97,-10.13,-8.58,-17.87,-28.71,-8.79,0.8,-0.77,-1.67,0.0038
0.81,0.83,-0.06,0.25,-14.33,-12.2,-17.87,-29.59,-8.79,0.8,-0.77,-1.65,0.0041
0.73,0.86,-0.05,1.29,-18.67,-14.95,-17.29,-28.12,-8.79,0.87,-0.7,-1.66,0.0043
0.66,0.89,-0.1,-0.5,-27.56,-17.01,-17.87,-29.0,-9.67,0.92,-0.64,-1.68,0.0046
0.52,0.88,-0.16,-1.3,-22.13,-13.11,-17.58,-29.0,-9.38,1.01,-0.53,-1.7,0.0048
0.54,0.91,-0.15,1.76,-7.39,-10.59,-18.16,-29.59,-9.08,1.02,-0.53,-1.69,0.005
0.58,0.91,-0.15,2.49,-6.45,-5.79,-18.16,-29.0,-9.67,0.99,-0.56,-1.7,0.0053
0.57,0.91,-0.11,3.01,1.18,0.35,-18.16,-29.3,-9.96,1.0,-0.56,-1.7,0.0055
0.59,0.89,-0.08,4.7,10.29,6.51,-18.16,-29.3,-9.67,0.98,-0.58,-1.68,0.0057
0.63,0.9,-0.08,6.45,14.15,11.78,-17.87,-28.42,-9.08,0.96,-0.61,-1.68,0.006
0.69,0.88,-0.11,6.62,14.65,11.93,-18.46,-28.71,-8.79,0.9,-0.66,-1.68,0.0062
0.77,0.87,-0.14,4.68,9.51,6.61,-18.75,-28.71,-8.5,0.84,-0.72,-1.69,0.0064
0.83,0.85,-0.13,2.88,-2.08,-2.88,-17.87,-29.0,-9.08,0.79,-0.77,-1.68,0.0066
0.73,0.87,-0.15,1.01,-9.0,-7.72,-18.16,-29.0,-9.08,0.86,-0.69,-1.68,0.0069
0.66,0.88,-0.1,0.72,-8.34,-6.34,-17.58,-28.42,-9.38,0.92,-0.64,-1.68,0.0071
0.61,0.89,-0.1,2.37,-2.83,-3.22,-17.58,-28.42,-8.5,0.96,-0.6,-1.66,0.0073
0.64,0.9,-0.13,3.06,-0.75,-1.32,-17.58,-29.0,-9.38,0.94,-0.62,-1.67,0.0076
0.67,0.89,-0.11,2.66,-0.37,0.14,-17.87,-29.3,-9.08,0.92,-0.64,-1.66,0.0078
0.67,0.88,-0.13,2.83,-0.7,-0.78,-18.46,-28.42,-9.38,0.91,-0.64,-1.7,0.008
