Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.27,0.93,0.2,2.68,-1.34,-0.72,-19.63,-21.97,-19.92,1.22,-0.28,-2.19,0.692
0.27,0.94,0.22,2.85,-0.56,-0.56,-19.92,-21.09,-20.51,1.21,-0.27,-2.23,0.7656
0.28,0.94,0.21,2.63,-0.91,-0.72,-20.21,-21.68,-19.63,1.21,-0.28,-2.2,0.8394
0.27,0.93,0.22,2.82,-1.03,-0.85,-19.34,-21.39,-19.04,1.21,-0.28,-2.19,0.913
0.28,0.94,0.22,2.68,-1.3,-1.11,-19.63,-20.8,-19.34,1.21,-0.28,-2.21,0.9828
0.27,0.94,0.21,2.56,-1.15,-1.1,-20.21,-20.51,-19.63,1.22,-0.27,-2.23,1.0565
0.27,0.94,0.22,2.4,-0.57,-1.04,-19.34,-21.09,-19.34,1.22,-0.27,-2.21,1.1302
0.27,0.94,0.2,2.26,-0.74,-1.12,-19.63,-21.68,-19.63,1.22,-0.28,-2.2,1.204
0.27,0.94,0.22,2.49,0.14,-0.72,-19.63,-20.8,-19.63,1.22,-0.27,-2.22,1.2777
0.27,0.94,0.21,1.76,-1.39,-0.99,-19.63,-21.39,-19.92,1.22,-0.27,-2.21,1.3474
0.27,0.93,0.22,2.19,-0.55,-0.85,-20.51,-21.97,-19.63,1.22,-0.27,-2.2,1.4211
0.27,0.94,0.22,2.08,-0.73,-1.18,-19.92,-21.39,-19.63,1.22,-0.28,-2.21,1.4948
0.27,0.94,0.23,0.88,-3.52,-2.2,-20.21,-21.97,-19.92,1.21,-0.27,-2.2,1.5685
0.26,0.93,0.23,3.03,3.1,0.1,-19.92,-21.97,-20.21,1.21,-0.27,-2.21,1.6422
0.26,0.93,0.22,5.36,9.96,2.84,-19.92,-21.39,-20.21,1.22,-0.26,-2.23,1.712
0.27,0.93,0.23,4.17,5.33,2.01,-19.92,-21.97,-19.92,1.2,-0.28,-2.2,1.7858
0.25,0.94,0.22,4.63,7.66,2.77,-20.51,-21.39,-20.51,1.23,-0.25,-2.24,1.8594
