Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.12,1.0,0.08,9.22,-3.52,-2.17,-16.41,-22.27,-17.29,1.43,-0.12,-2.18,0.0003
0.11,1.0,0.06,6.44,5.2,0.82,-16.99,-22.56,-17.29,1.44,-0.11,-2.17,0.0006
0.15,1.0,0.1,5.04,6.48,1.44,-16.41,-21.97,-17.58,1.39,-0.15,-2.17,0.0007
0.16,0.99,0.09,6.83,-5.33,-2.88,-16.7,-21.97,-17.29,1.38,-0.16,-2.16,0.0009
0.15,1.0,0.08,7.9,-11.72,-4.97,-16.99,-23.14,-17.58,1.41,-0.14,-2.15,0.0011
0.15,1.0,0.06,6.6,-12.14,-5.32,-16.41,-21.68,-17.29,1.41,-0.15,-2.17,0.0012
0.14,1.01,0.05,4.73,-9.81,-5.01,-16.99,-22.85,-17.87,1.43,-0.13,-2.17,0.0014
0.15,1.0,0.08,6.26,-12.67,-5.79,-17.29,-21.97,-18.46,1.41,-0.14,-2.2,0.0015
0.12,1.0,0.07,5.99,-16.85,-5.37,-16.7,-22.85,-17.58,1.43,-0.12,-2.17,0.0017
0.1,1.0,0.08,6.23,-10.98,-4.72,-16.7,-22.56,-17.87,1.44,-0.1,-2.19,0.0018
0.13,1.01,0.04,5.78,-13.79,-4.66,-16.99,-22.85,-18.46,1.43,-0.13,-2.18,0.002
0.15,1.0,0.06,7.71,-17.64,-6.14,-17.58,-23.14,-18.75,1.41,-0.14,-2.18,0.0022
0.13,1.02,0.02,8.2,-17.64,-8.25,-17.29,-22.85,-19.34,1.45,-0.12,-2.2,0.0023
0.13,1.02,0.01,9.27,-21.53,-6.96,-17.29,-22.85,-18.16,1.44,-0.13,-2.18,0.0025
0.1,1.0,0.04,5.5,-5.81,-2.77,-16.99,-23.14,-18.75,1.46,-0.1,-2.2,0.0026
0.13,1.01,0.02,4.65,-8.63,-3.75,-17.58,-23.14,-18.75,1.44,-0.13,-2.18,0.0028
0.17,1.01,0.04,3.99,-6.78,-2.62,-17.29,-22.85,-18.46,1.4,-0.16,-2.16,0.0029
0.11,1.02,0.0,3.28,-4.08,-1.73,-16.41,-23.14,-18.46,1.46,-0.11,-2.18,0.0031
0.12,1.03,0.01,2.44,7.09,-9.51,-17.29,-23.14,-18.75,1.45,-0.12,-2.19,0.0032
0.13,1.0,0.05,2.94,-6.45,-3.53,-16.99,-22.85,-18.75,1.44,-0.13,-2.19,0.0034
0.14,1.02,0.02,2.11,1.57,0.08,-17.58,-22.85,-17.87,1.44,-0.13,-2.17,0.0035
0.12,1.02,0.03,0.49,9.82,2.59,-17.29,-22.85,-18.46,1.45,-0.11,-2.19,0.0037
0.16,1.02,0.04,1.04,-1.31,-0.53,-16.7,-22.85,-18.46,1.41,-0.15,-2.17,0.0039
0.14,1.01,0.04,2.09,-1.72,-0.64,-18.46,-22.85,-18.46,1.43,-0.13,-2.18,0.0318
0.12,1.02,0.03,2.44,-1.58,-0.6,-16.99,-23.44,-18.75,1.45,-0.12,-2.18,0.1056
0.13,1.02,0.04,2.33,0.11,0.05,-17.58,-22.27,-18.75,1.44,-0.13,-2.2,0.1793
0.13,1.01,0.04,2.96,1.66,0.44,-17.58,-22.85,-18.46,1.44,-0.13,-2.18,0.253
0.14,1.01,0.05,3.75,-1.9,-1.45,-17.58,-22.56,-18.75,1.42,-0.14,-2.19,0.3267
0.16,1.01,0.04,4.49,-6.83,-2.75,-16.41,-22.56,-18.46,1.41,-0.15,-2.17,0.4005
0.13,1.02,0.03,4.69,-3.88,-1.85,-16.99,-22.85,-18.46,1.44,-0.13,-2.18,0.4703
0.13,1.02,0.02,4.08,-3.95,-2.08,-17.87,-22.85,-18.75,1.45,-0.12,-2.19,0.5439
0.13,1.02,0.02,3.36,-1.8,-1.3,-17.29,-22.56,-19.34,1.44,-0.13,-2.21,0.6178
0.14,1.02,0.03,2.85,-0.23,-0.68,-16.99,-23.14,-18.46,1.43,-0.14,-2.17,0.6913
0.14,1.02,0.02,1.91,1.59,-0.23,-17.58,-22.85,-18.46,1.43,-0.14,-2.18,0.7662
0.1,1.01,0.01,-1.1,10.38,1.55,-16.99,-23.14,-18.16,1.47,-0.1,-2.18,0.835
0.1,1.02,0.0,-3.72,19.05,5.37,-16.99,-22.85,-18.46,1.47,-0.1,-2.2,0.9085
0.13,1.01,0.06,-4.84,28.21,7.84,-17.29,-22.56,-18.46,1.43,-0.13,-2.19,0.9829
0.17,1.01,0.06,-4.63,20.96,5.53,-16.7,-22.56,-17.87,1.4,-0.16,-2.16,1.0559
0.15,1.01,0.07,-4.46,16.98,4.58,-16.7,-22.27,-17.87,1.41,-0.15,-2.17,1.1296
0.1,1.01,0.06,-5.52,20.13,5.69,-16.41,-22.56,-17.29,1.45,-0.1,-2.17,1.2034
0.14,1.0,0.08,-5.61,24.4,7.1,-16.41,-22.56,-17.87,1.41,-0.14,-2.17,1.2731
0.13,1.0,0.09,-5.65,26.44,8.16,-15.53,-21.97,-16.99,1.42,-0.12,-2.17,1.3468
0.12,0.99,0.12,-4.97,28.29,9.54,-16.11,-22.27,-16.7,1.4,-0.12,-2.17,1.4207
0.12,0.98,0.15,-2.63,22.48,7.48,-16.41,-22.56,-16.99,1.38,-0.12,-2.18,1.4942
0.12,0.97,0.18,1.18,8.19,3.34,-15.82,-21.09,-17.29,1.36,-0.12,-2.23,1.5678
0.1,0.99,0.08,2.66,5.35,5.07,-15.53,-21.68,-17.29,1.45,-0.1,-2.2,1.6377
0.1,0.99,0.08,-1.53,40.47,14.36,-16.7,-21.97,-16.11,1.44,-0.1,-2.16,1.7114
0.17,0.99,0.19,-0.09,27.08,9.15,-15.23,-21.09,-16.7,1.32,-0.17,-2.18,1.7852
0.12,0.98,0.15,3.33,12.02,6.43,-15.82,-21.09,-15.23,1.38,-0.12,-2.16,1.8588
0.2,1.0,0.09,0.59,-8.19,-0.87,-16.7,-22.27,-16.11,1.35,-0.2,-2.1,1.9327
0.12,0.99,0.15,-1.45,0.35,-2.15,-15.23,-21.68,-16.11,1.38,-0.12,-2.17,2.0062
0.15,0.99,0.1,0.21,-2.72,0.76,-14.94,-21.39,-15.82,1.39,-0.15,-2.14,2.076
0.16,0.99,0.15,0.0,-5.31,-1.73,-15.53,-21.68,-16.99,1.35,-0.16,-2.17,2.1497
0.13,0.98,0.17,1.66,-9.09,-2.09,-15.53,-21.68,-16.99,1.36,-0.13,-2.2,2.2233
0.12,0.98,0.15,2.57,-2.02,-0.52,-16.11,-21.39,-16.41,1.38,-0.12,-2.19,2.2971
0.16,0.97,0.17,3.66,-6.32,-1.6,-16.11,-21.68,-15.82,1.33,-0.16,-2.14,2.3708
0.15,0.98,0.14,3.61,-3.58,-1.03,-14.94,-21.68,-16.11,1.37,-0.15,-2.15,2.4444
0.14,0.99,0.14,3.21,-2.98,0.28,-15.23,-21.68,-16.41,1.38,-0.14,-2.16,2.5142
0.15,0.98,0.14,2.43,-5.12,-0.42,-15.82,-22.27,-16.41,1.36,-0.15,-2.14,2.5879
0.13,0.98,0.13,2.45,0.83,2.44,-15.23,-21.68,-16.11,1.39,-0.13,-2.16,2.6616
0.17,0.98,0.14,1.66,1.05,2.73,-15.53,-21.97,-16.99,1.35,-0.17,-2.16,2.7355
0.16,0.97,0.16,2.38,-2.51,1.11,-15.23,-21.68,-16.99,1.34,-0.16,-2.17,2.809
0.15,0.98,0.14,1.09,3.01,2.78,-15.23,-21.97,-16.11,1.36,-0.16,-2.14,2.8788
0.17,0.98,0.14,1.41,-2.16,1.54,-15.82,-22.27,-16.7,1.34,-0.18,-2.14,2.9527
0.19,0.97,0.16,2.95,-10.63,-0.63,-15.23,-21.97,-15.23,1.32,-0.19,-2.1,3.0263
0.17,0.98,0.1,2.47,-14.33,0.21,-14.94,-21.68,-16.41,1.37,-0.17,-2.13,3.0999
0.12,1.0,0.09,-0.57,-3.1,6.84,-14.65,-21.68,-15.53,1.42,-0.12,-2.14,3.1736
0.14,0.98,0.1,-0.9,-2.4,8.93,-14.94,-22.27,-16.11,1.4,-0.14,-2.13,3.2473
-0.04,0.99,-0.11,-7.67,7.16,14.41,-14.36,-22.56,-15.53,1.45,0.04,-2.25,3.3172
0.03,1.09,-0.27,-6.77,15.44,39.54,-13.77,-22.56,-13.77,1.33,-0.03,-2.18,3.3909
-0.26,2.0,-0.17,1.75,94.14,13.94,-13.77,-23.14,-12.3,1.42,0.13,-2.25,3.4645
0.28,1.44,0.5,-12.89,16.59,-29.82,-14.36,-24.02,-11.43,1.2,-0.18,-2.0,3.5383
0.18,1.3,0.58,54.17,36.67,-75.42,-15.82,-22.56,-10.25,1.13,-0.13,-2.08,3.6119
0.16,0.96,0.49,113.57,67.45,-66.48,-19.04,-20.8,-10.25,1.08,-0.15,-2.17,3.6858
0.22,0.55,0.19,124.08,53.77,-56.93,-21.09,-18.46,-12.3,1.09,-0.36,-2.15,3.7594
0.19,0.04,0.05,86.39,47.48,-28.76,-22.85,-16.99,-14.36,0.2,-1.25,-2.39,3.8293
0.19,0.08,0.01,60.54,-8.26,-1.13,-22.27,-17.29,-15.23,0.4,-1.17,-2.25,3.903
0.11,0.51,0.13,31.23,-55.02,23.8,-23.14,-18.16,-15.82,1.25,-0.2,-2.3,3.9765
-0.08,1.23,-0.03,-155.28,-108.89,-26.6,-21.39,-20.21,-15.53,1.5,0.07,-2.34,4.0506
-0.17,1.25,-0.52,-108.04,4.84,27.1,-20.8,-21.39,-13.18,1.16,0.12,-2.43,4.124
-0.88,2.0,-0.9,-76.5,37.74,12.6,-18.75,-21.97,-12.6,1.01,0.38,-2.61,4.1976
0.18,0.58,0.29,-44.61,10.59,21.26,-19.34,-22.27,-12.01,1.04,-0.28,-2.1,4.2677
-0.09,0.97,0.07,-35.26,47.18,21.26,-18.46,-21.39,-10.84,1.45,0.1,-2.21,4.3413
0.34,1.04,0.06,-24.67,-74.17,-16.63,-18.16,-22.27,-11.43,1.25,-0.32,-1.94,4.4151
