Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.49,0.65,0.49,3.46,-0.85,-1.16,-11.72,-24.61,-16.7,0.76,-0.54,-1.89,0.9449
0.49,0.66,0.48,2.77,1.93,1.37,-12.3,-25.2,-16.41,0.76,-0.54,-1.88,1.0147
0.51,0.66,0.5,1.57,-2.23,-2.99,-12.01,-24.9,-16.41,0.74,-0.55,-1.88,1.0886
0.49,0.65,0.49,3.58,0.95,1.19,-12.3,-25.49,-17.29,0.75,-0.54,-1.89,1.1621
0.49,0.65,0.49,2.82,-0.79,-1.12,-12.3,-24.61,-16.41,0.75,-0.54,-1.89,1.2358
0.49,0.65,0.49,4.01,-2.56,-1.69,-12.01,-24.9,-16.99,0.76,-0.54,-1.89,1.3095
0.49,0.65,0.48,1.21,1.51,2.33,-12.3,-24.9,-16.99,0.76,-0.54,-1.89,1.3793
0.49,0.65,0.49,3.31,-2.68,-4.45,-12.01,-24.32,-16.11,0.75,-0.54,-1.89,1.453
0.48,0.66,0.49,3.09,-0.24,-1.85,-11.43,-24.9,-17.29,0.76,-0.53,-1.88,1.5267
0.48,0.65,0.5,1.96,0.4,0.05,-11.13,-24.61,-16.7,0.75,-0.54,-1.88,1.6004
0.48,0.65,0.49,2.94,-2.02,-1.69,-12.3,-24.32,-16.41,0.76,-0.53,-1.91,1.6741
0.49,0.65,0.49,1.85,-1.11,-0.93,-12.01,-25.2,-16.41,0.75,-0.55,-1.87,1.7439
0.46,0.64,0.49,2.54,0.38,-0.05,-12.01,-24.9,-16.7,0.75,-0.52,-1.9,1.8178
0.5,0.65,0.49,3.1,-4.8,-6.55,-12.3,-24.9,-16.99,0.75,-0.55,-1.89,1.8912
0.49,0.66,0.49,3.05,-4.71,-5.74,-11.72,-24.9,-16.41,0.76,-0.54,-1.88,1.965
0.6,0.71,0.54,-13.3,-11.51,-25.03,-11.72,-24.32,-16.7,0.72,-0.59,-1.87,2.0387
0.43,0.58,0.55,-56.01,3.41,6.51,-12.3,-24.61,-17.58,0.69,-0.5,-1.95,2.1123
0.44,0.63,0.47,-18.61,12.47,44.51,-12.89,-24.9,-16.99,0.78,-0.51,-1.92,2.1822
0.41,0.62,0.57,-3.78,6.03,9.74,-12.01,-25.2,-17.29,0.72,-0.46,-1.95,2.2559
0.48,0.65,0.5,17.95,8.21,5.58,-12.6,-24.61,-16.99,0.75,-0.53,-1.92,2.3296
0.49,0.65,0.5,5.9,6.76,12.25,-12.01,-24.9,-16.41,0.75,-0.54,-1.88,2.4033
0.49,0.66,0.5,1.82,-3.04,-3.35,-11.72,-24.61,-15.82,0.75,-0.53,-1.88,2.4769
0.49,0.65,0.49,3.14,-1.11,0.03,-11.72,-24.61,-16.7,0.75,-0.54,-1.89,2.5466
0.49,0.65,0.49,6.73,3.9,5.54,-12.6,-24.9,-16.41,0.75,-0.54,-1.9,2.6204
0.5,0.65,0.49,-1.04,-5.72,-8.74,-12.3,-24.61,-16.7,0.75,-0.55,-1.89,2.694
0.49,0.65,0.48,5.48,-11.46,-14.56,-12.01,-24.9,-16.7,0.76,-0.54,-1.88,2.7677
0.5,0.66,0.49,7.23,0.49,4.52,-12.01,-24.9,-16.99,0.75,-0.55,-1.89,2.8415
0.51,0.65,0.48,3.7,-3.51,-4.13,-12.3,-24.9,-16.11,0.75,-0.56,-1.88,2.9152
0.49,0.65,0.5,1.64,-2.17,-2.64,-12.3,-24.61,-17.58,0.75,-0.54,-1.91,2.9851
0.49,0.65,0.49,1.95,-1.6,-1.87,-12.6,-24.9,-17.29,0.75,-0.54,-1.91,3.0587
0.49,0.65,0.5,2.76,-0.18,0.7,-12.01,-25.2,-16.99,0.75,-0.54,-1.88,3.1323
