Roll,Pitch,Yaw,Time
-22.84,61.84,-126.43,0.0005
-22.24,61.9,-126.29,0.0006
-21.62,62.9,-126.55,0.0006
-22.12,63.18,-128.05,0.0007
-21.75,62.5,-127.38,0.0008
-19.16,65.93,-127.83,0.0009
-19.9,66.7,-127.25,0.0009
-20.84,64.84,-126.72,0.001
-20.5,66.85,-126.47,0.0011
-18.46,67.69,-126.83,0.0011
-20.38,63.97,-127.91,0.0012
-19.51,65.82,-127.58,0.0013
-17.97,66.65,-128.74,0.0014
-19.77,66.06,-128.55,0.0014
-18.99,67.61,-125.88,0.0015
-19.06,68.5,-127.85,0.0016
-17.66,66.16,-129.87,0.0016
-25.28,60.26,-125.56,0.0017
-30.95,58.64,-122.27,0.0018
-12.85,72.65,-132.31,0.0018
-17.72,68.88,-128.95,0.0019
-20.36,65.6,-128.66,0.002
-16.96,66.55,-130.08,0.0021
-13.88,70.36,-130.47,0.0022
-12.94,73.29,-130.11,0.0022
-14.54,70.0,-129.65,0.0023
-16.87,65.32,-129.79,0.0024
-15.8,66.97,-131.47,0.0024
-13.91,69.65,-129.6,0.0025
-14.77,69.46,-130.1,0.0026
-17.24,64.62,-128.59,0.0027
-18.22,66.76,-127.52,0.0027
-16.74,69.51,-126.55,0.0028
-19.86,67.04,-125.11,0.0029
-19.46,65.58,-125.74,0.003
-21.52,62.53,-126.15,0.003
-21.36,62.95,-126.98,0.0031
-22.25,62.72,-125.38,0.0032
-22.1,62.73,-123.78,0.0032
-23.26,62.32,-124.52,0.0033
-23.64,62.22,-122.86,0.0034
-24.94,61.18,-123.67,0.0035
-24.81,61.15,-122.97,0.0035
-24.37,61.7,-123.71,0.0036
-23.74,62.31,-124.75,0.0037
-24.27,61.93,-124.48,0.0038
-24.39,61.1,-124.32,0.0038
-24.29,61.67,-122.31,0.0039
-24.33,61.22,-124.32,0.004
-24.58,60.8,-122.84,0.0041
-24.93,60.35,-123.15,0.0042
-25.31,60.35,-123.7,0.0042
-24.14,61.31,-122.99,0.0043
-25.04,60.49,-122.62,0.0044
-24.57,60.6,-123.76,0.0045
-23.94,61.6,-123.9,0.0046
-24.75,60.57,-124.06,0.0047
-24.77,60.35,-122.87,0.0047
-24.35,61.04,-123.54,0.0048
-24.3,61.18,-123.71,0.0049
-24.69,60.68,-122.57,0.005
-25.34,59.74,-122.88,0.005
-25.11,60.27,-124.1,0.0051
-24.33,61.3,-122.8,0.0052
-24.99,60.59,-121.83,0.0053
-24.68,61.04,-122.92,0.0053
-25.25,59.99,-123.27,0.0054
-25.01,60.14,-123.38,0.0055
-25.36,59.88,-122.6,0.0055
-25.03,60.68,-122.57,0.0056
-24.65,61.51,-122.5,0.0057
-24.87,61.04,-122.68,0.0057
-24.32,58.4,-124.74,0.0058
-24.47,59.73,-123.5,0.0059
-23.67,60.37,-125.12,0.0059
-24.74,61.64,-125.08,0.006
-10.64,73.84,-132.22,0.0061
-16.59,67.64,-129.99,0.0061
-18.7,64.54,-129.44,0.0062
-14.7,70.29,-129.82,0.0063
-14.09,71.98,-130.3,0.0064
-14.57,69.18,-129.67,0.0064
-15.98,67.34,-128.29,0.0065
-20.28,61.96,-127.92,0.0066
-18.76,65.56,-126.09,0.0066
-17.8,69.22,-126.97,0.0067
-8.58,80.92,-129.33,0.0068
1.36,66.76,-141.73,0.0068
-15.41,62.66,-126.41,0.0069
-24.22,55.89,-119.19,0.007
-29.15,53.45,-115.29,0.007
-21.33,56.14,-118.53,0.0071
-28.69,54.18,-113.0,0.0072
-33.02,48.61,-110.75,0.0072
-0.94,71.45,-130.57,0.0073
-15.6,73.46,-117.63,0.0073
-18.1,67.17,-118.01,0.0074
-15.87,70.58,-119.62,0.0075
-12.02,71.3,-123.68,0.0075
-19.32,65.22,-118.05,0.0076
-16.07,67.89,-120.11,0.0076
-11.87,69.96,-122.23,0.0077
-17.42,66.02,-118.29,0.0078
-15.63,63.06,-121.53,0.0078
-18.8,63.78,-119.31,0.0079
-15.46,68.35,-120.3,0.0079
