Roll,Pitch,Yaw,Time
-15.45,66.57,-119.49,0.0002
-15.11,67.39,-121.05,0.0004
-15.57,67.71,-119.94,0.0004
-15.74,67.69,-118.25,0.0005
-15.39,68.16,-119.44,0.0005
-15.99,67.81,-119.75,0.0006
-15.73,67.63,-119.65,0.0006
-14.98,68.86,-119.41,0.0007
-15.6,67.76,-120.28,0.0007
-16.37,67.22,-118.9,0.0008
-16.14,68.05,-119.02,0.0008
-16.64,67.58,-118.78,0.0009
-15.89,68.34,-118.78,0.0009
-16.04,67.6,-120.13,0.001
-16.1,67.88,-118.75,0.001
-16.12,67.6,-118.98,0.0011
-16.09,67.34,-118.75,0.0011
-16.37,67.04,-118.94,0.0012
-16.06,67.53,-118.54,0.0012
-15.8,68.13,-119.86,0.0013
-15.74,67.58,-119.51,0.0013
-15.91,67.6,-119.74,0.0014
-16.15,67.25,-119.4,0.0014
-15.84,67.77,-118.49,0.0015
-16.46,66.99,-119.07,0.0015
-16.03,68.11,-118.72,0.0016
-15.87,68.32,-118.27,0.0016
-16.53,67.69,-119.7,0.0017
-15.57,67.92,-118.86,0.0017
-15.53,67.82,-120.53,0.0018
-15.9,67.41,-119.9,0.0018
-16.17,67.36,-119.57,0.0019
-16.31,67.37,-117.86,0.0725
-16.26,67.07,-118.85,0.2322
-15.63,68.12,-117.32,0.396
-16.5,67.26,-118.07,0.5558
-15.75,67.89,-117.46,0.7156
-16.0,67.19,-119.07,0.8755
-16.1,67.18,-119.18,1.039
-16.15,67.33,-118.89,1.1989
-16.31,67.15,-119.84,1.3587
-16.1,67.41,-119.44,1.5186
-16.25,66.95,-117.32,1.6821
-16.4,67.12,-117.83,1.842
-16.53,67.01,-118.79,2.002
-16.36,67.08,-118.78,2.1616
-16.59,67.43,-118.66,2.3252
-16.23,66.96,-118.81,2.485
-16.45,67.72,-118.13,2.6449
-16.5,67.04,-119.53,2.8047
-16.17,68.06,-119.19,2.9683
-16.08,67.36,-118.78,3.1281
-16.19,68.01,-119.02,3.2882
-16.14,67.71,-118.43,3.4478
-16.51,67.51,-117.78,3.6115
-16.4,67.28,-117.77,3.7712
-15.66,67.53,-118.9,3.931
-14.25,69.86,-119.39,4.0908
-12.98,66.62,-121.86,4.2546
-10.74,68.45,-122.2,4.4144
-14.47,63.89,-120.17,4.5743
-11.54,69.29,-118.0,4.734
-22.84,61.6,-105.53,4.8977
-9.07,38.69,-111.6,5.0574
-23.04,35.29,-106.28,5.2172
-17.65,55.38,-114.02,5.3771
-11.58,69.96,-117.52,5.5409
-7.71,78.6,-111.43,5.7006
-18.67,67.42,-106.82,5.8605
-11.47,71.84,-107.45,6.0204
-16.5,62.44,-104.0,6.1839
-22.11,63.88,-92.27,6.3438
3.36,52.36,-111.16,6.5037
-21.65,29.84,-112.61,6.6634
-29.2,39.83,-125.44,6.827
-24.36,64.13,-124.04,6.987
-19.3,64.73,-130.03,7.1467
-12.08,58.11,-135.4,7.3066
-8.29,80.25,-120.21,7.4664
-14.27,68.67,-117.05,7.6301
-15.89,65.09,-112.29,7.7901
-25.24,63.6,-99.98,7.9496
-23.83,32.75,-112.68,8.1095
-20.12,34.77,-119.07,8.2732
-32.12,52.25,-111.56,8.4328
-10.08,71.31,-115.86,8.5927
-7.29,55.34,-120.9,8.7525
-7.22,82.4,-99.93,8.9162
-15.36,69.63,-92.59,9.0759
-19.76,62.65,-82.84,9.2359
-24.07,65.67,-63.96,9.3956
-23.04,33.78,-83.97,9.5594
-30.36,33.63,-125.28,9.7191
-21.13,59.76,-130.39,9.8789
-14.12,68.24,-134.75,10.0388
-20.47,57.35,-139.29,10.2027
-12.46,75.76,-118.96,10.3622
-16.27,61.61,-125.13,10.5222
-17.63,69.11,-108.38,10.6819
-0.07,48.86,-128.49,10.8455
-45.22,18.06,-136.91,11.0055
-25.73,32.34,-137.96,11.1651
-19.58,63.69,-136.85,11.3251
-22.7,65.31,-133.73,11.4888
-18.4,67.92,-134.73,11.6485
-17.45,70.21,-135.45,11.8084
-16.55,69.61,-135.97,11.968
-15.97,71.06,-133.77,12.1317
-17.28,69.69,-136.82,12.2916
-17.32,69.65,-136.55,12.4514
-17.49,69.45,-136.11,12.6112
-16.68,70.45,-136.14,12.7749
-18.57,68.73,-136.46,12.9347
-18.13,68.03,-135.86,13.0944
-14.65,74.84,-137.16,13.2545
-24.61,59.1,-132.87,13.4179
-19.17,65.77,-120.81,13.5777
-18.27,65.54,-108.24,13.7379
-14.57,70.79,-101.47,13.8974
-13.58,72.91,-102.14,14.0611
-15.15,66.71,-105.28,14.221
-13.08,63.0,-109.5,14.3807
-13.58,65.57,-109.11,14.5405
-14.37,66.46,-108.81,14.7043
-11.05,72.66,-105.94,14.8639
-17.72,67.8,-100.5,15.0239
-18.77,54.6,-114.05,15.1836
-22.56,57.96,-116.66,15.3473
-17.86,66.51,-125.54,15.5072
-25.35,60.93,-131.21,15.6669
-21.74,67.6,-130.63,15.8267
3.64,86.36,-141.51,15.9905
-19.51,68.54,-130.35,16.1502
-16.72,70.65,-131.95,16.3101
-12.68,64.39,-135.8,16.4705
-17.21,59.77,-132.81,16.6335
-12.37,69.62,-126.68,16.7933
-17.94,67.75,-118.91,16.9531
-7.38,39.01,-140.26,17.113
-28.93,37.2,-135.94,17.2767
-17.51,50.3,-142.93,17.4372
-6.57,78.25,-148.16,17.5963
-18.98,66.07,-135.57,17.7561
-11.59,75.46,-136.53,17.9203
-10.6,67.71,-137.17,18.0795
-8.9,69.22,-135.68,18.2396
-21.63,67.38,-119.33,18.3992
-14.02,25.06,-130.64,18.5628
-23.63,32.24,-133.02,18.7228
-19.12,57.82,-137.81,18.8825
-18.95,60.43,-138.83,19.0422
-14.26,66.65,-138.73,19.206
-10.24,78.89,-133.39,19.3657
-15.5,64.79,-132.03,19.5255
-16.89,65.25,-129.8,19.6853
-20.46,67.01,-121.37,19.8491
-4.93,42.86,-138.35,20.0089
-26.16,28.79,-137.46,20.1689
-25.29,47.41,-136.51,20.3286
-9.4,77.54,-146.71,20.4884
-20.28,68.72,-138.61,20.652
-37.37,52.13,-127.47,20.8118
-12.65,70.78,-142.19,20.9719
-9.37,78.59,-141.73,21.1315
-12.16,74.02,-139.89,21.2952
-11.96,75.41,-137.7,21.4551
