Roll,Pitch,Yaw,Time
-10.82,78.35,-135.52,0.0005
-10.85,78.3,-135.78,0.0006
-10.53,78.68,-134.45,0.0006
-10.78,78.27,-135.38,0.0007
-11.18,78.05,-135.84,0.0008
-10.98,78.32,-135.27,0.0008
-11.09,78.23,-134.78,0.0009
-10.93,78.39,-135.56,0.001
-11.06,78.32,-134.98,0.001
-10.55,78.68,-134.29,0.0011
-11.09,78.31,-135.64,0.0012
-11.02,78.29,-134.75,0.0013
-11.25,78.24,-135.38,0.0013
-11.56,77.7,-135.21,0.0014
-10.67,78.34,-136.01,0.0015
-11.01,78.21,-136.54,0.0015
-10.54,78.53,-134.42,0.0016
-10.5,78.42,-135.39,0.0017
-10.29,78.58,-136.31,0.0017
-10.75,78.44,-135.75,0.0018
-10.44,78.3,-135.54,0.0019
-11.07,77.91,-135.66,0.0019
-11.23,77.99,-134.36,0.002
-11.27,77.74,-134.99,0.0021
-10.49,78.5,-134.62,0.0021
-10.98,78.08,-134.4,0.0022
-10.66,78.26,-136.65,0.0023
-10.71,78.28,-136.68,0.0023
-10.65,78.35,-134.8,0.0024
-10.57,78.19,-135.21,0.0025
-11.02,78.11,-135.42,0.0025
-10.28,78.53,-133.22,0.0026
-11.04,78.03,-134.9,0.0027
-10.73,78.12,-133.11,0.0027
-10.49,78.58,-134.39,0.0028
-10.88,78.3,-135.23,0.0029
-10.77,78.28,-135.26,0.0029
-11.27,77.9,-135.6,0.003
-10.93,78.05,-135.95,0.0031
-10.53,78.42,-135.77,0.0031
-10.98,78.09,-134.15,0.0032
-11.21,77.86,-134.07,0.0033
-11.07,77.95,-134.83,0.0033
-11.19,77.85,-134.11,0.0034
-11.33,77.65,-135.66,0.0035
-11.39,77.64,-134.87,0.0035
-11.11,78.11,-135.35,0.0036
-10.88,78.1,-135.5,0.0037
-11.11,77.96,-134.93,0.0037
-11.15,77.84,-134.97,0.0038
-11.75,77.54,-134.36,0.0039
-11.49,77.8,-135.72,0.0039
-11.61,77.68,-133.58,0.004
-11.19,77.92,-135.06,0.0041
-11.14,78.07,-135.8,0.0041
-11.25,77.83,-136.27,0.0042
-11.67,77.49,-134.85,0.0043
-11.25,77.86,-136.33,0.0043
-10.93,78.37,-134.88,0.0044
-10.8,78.29,-134.54,0.0045
-10.34,78.79,-135.47,0.0045
-11.31,77.96,-134.82,0.0046
-11.56,77.73,-135.28,0.0046
-10.31,78.9,-135.66,0.0047
-11.04,78.18,-134.78,0.0048
-11.1,77.97,-134.26,0.0049
-10.78,78.33,-136.03,0.0049
-10.6,78.62,-135.9,0.005
-11.29,77.86,-135.63,0.005
-11.2,78.03,-135.68,0.0051
-11.12,78.12,-135.27,0.0052
-11.33,77.86,-134.63,0.0052
-11.5,78.01,-135.9,0.0053
-11.59,77.84,-135.33,0.0054
-11.07,78.43,-136.65,0.0054
-11.87,77.78,-136.44,0.0055
-11.25,78.27,-135.78,0.0056
-11.06,78.27,-135.07,0.0056
-11.65,77.87,-134.81,0.0057
-11.36,78.26,-135.6,0.0058
-10.59,78.6,-135.89,0.0058
-11.48,78.01,-136.24,0.0059
-10.94,78.45,-135.77,0.006
-11.28,78.02,-136.25,0.006
-10.86,78.6,-135.19,0.0061
-11.15,78.19,-135.22,0.0062
-11.27,78.09,-135.0,0.0062
-11.15,78.0,-135.48,0.0063
-11.28,77.98,-133.89,0.0064
-11.27,77.99,-134.9,0.0064
-10.86,78.23,-135.05,0.0065
-11.16,78.02,-134.04,0.0066
-11.17,78.09,-134.1,0.0066
-11.2,77.96,-135.37,0.0067
-11.13,78.1,-135.84,0.0068
-11.02,78.16,-135.22,0.0068
-11.31,77.87,-135.79,0.0069
-11.34,77.81,-133.95,0.007
-11.47,77.54,-134.95,0.007
-11.38,77.73,-135.51,0.0071
-11.92,77.24,-135.05,0.0072
-11.13,78.11,-135.39,0.0072
-11.35,77.92,-134.66,0.0073
-11.49,77.68,-135.21,0.0074
-11.14,78.02,-134.7,0.0074
-11.35,77.87,-134.34,0.0075
-11.45,77.84,-135.19,0.0076
-10.99,78.08,-135.26,0.0076
-11.69,77.58,-134.62,0.0077
-11.37,77.86,-135.41,0.0078
-11.11,78.07,-134.96,0.0078
-11.68,77.71,-134.84,0.0079
-11.41,77.91,-135.01,0.008
-11.08,78.18,-134.61,0.008
-11.38,77.83,-134.88,0.0081
-11.61,77.58,-134.68,0.0081
-11.28,77.88,-135.4,0.0082
-11.32,78.05,-135.48,0.0083
-11.14,78.03,-134.47,0.0083
-11.03,78.27,-136.3,0.0084
-11.26,77.9,-135.27,0.0084
-12.15,77.23,-133.58,0.0085
-11.12,78.04,-135.57,0.0086
-11.75,77.34,-134.57,0.0086
-11.38,77.72,-134.31,0.0087
