Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
-0.07,1.03,-0.16,5.52,-0.2,-3.41,-21.97,-17.58,-24.61,1.4,0.07,-2.64,0.0011
-0.07,1.03,-0.18,3.39,-0.72,-1.43,-20.8,-17.87,-24.9,1.38,0.07,-2.64,0.0014
-0.08,1.03,-0.18,3.56,-1.53,-1.29,-20.51,-15.82,-22.56,1.39,0.07,-2.66,0.0017
-0.08,1.03,-0.18,1.97,-0.31,-1.38,-21.68,-16.99,-23.14,1.38,0.08,-2.64,0.0021
-0.07,1.04,-0.16,-0.93,-2.73,3.33,-20.8,-17.58,-23.73,1.4,0.06,-2.62,0.0024
-0.06,1.02,-0.18,7.04,8.41,-2.25,-21.39,-17.58,-23.73,1.39,0.06,-2.62,0.0027
-0.05,1.02,-0.16,-0.13,-6.84,0.92,-21.68,-16.99,-24.32,1.41,0.04,-2.63,0.0357
-0.08,1.06,-0.17,0.21,0.89,1.06,-21.97,-18.75,-24.32,1.4,0.07,-2.61,0.1094
-0.06,1.05,-0.17,0.21,-0.15,0.79,-20.51,-17.58,-24.32,1.4,0.06,-2.62,0.1832
-0.04,1.03,-0.17,1.09,-0.2,-0.3,-21.97,-17.58,-24.32,1.4,0.03,-2.61,0.253
-0.06,1.04,-0.17,0.19,2.52,0.24,-21.39,-16.7,-24.02,1.41,0.05,-2.64,0.3266
-0.07,1.04,-0.18,4.1,-0.36,-3.11,-21.09,-17.29,-24.61,1.39,0.07,-2.65,0.4004
-0.07,1.02,-0.17,3.74,-2.05,-0.89,-21.39,-17.29,-25.2,1.39,0.07,-2.66,0.4741
-0.07,1.03,-0.17,1.12,-3.42,-4.19,-21.68,-17.58,-23.73,1.39,0.07,-2.63,0.5477
-0.1,1.04,-0.18,3.42,-4.36,-1.74,-21.09,-16.99,-23.44,1.38,0.09,-2.66,0.6214
-0.09,1.02,-0.16,3.13,-1.7,-2.2,-21.39,-18.46,-24.61,1.39,0.09,-2.64,0.6917
-0.12,1.04,-0.17,-0.54,-6.29,-1.43,-21.68,-16.41,-23.14,1.38,0.11,-2.69,0.765
-0.06,1.0,-0.16,5.18,2.89,-5.62,-21.68,-16.41,-24.32,1.4,0.06,-2.66,0.8387
-0.08,1.04,-0.17,0.69,-2.38,-0.76,-20.8,-16.99,-24.02,1.39,0.08,-2.66,0.9124
-0.09,1.04,-0.16,2.48,1.4,-0.09,-21.97,-17.29,-24.61,1.4,0.08,-2.66,0.986
-0.11,1.05,-0.16,1.16,-3.66,1.01,-21.68,-17.87,-24.02,1.39,0.11,-2.66,1.0559
-0.09,1.03,-0.16,3.51,-0.73,-1.6,-21.68,-17.29,-22.85,1.39,0.09,-2.64,1.1296
-0.11,1.04,-0.17,3.46,-1.17,-1.68,-21.39,-16.41,-24.32,1.38,0.1,-2.7,1.2032
-0.07,1.03,-0.16,2.3,2.04,-0.21,-20.51,-15.82,-22.56,1.4,0.07,-2.65,1.277
-0.05,1.02,-0.17,4.46,3.43,-3.88,-22.27,-16.7,-23.44,1.4,0.05,-2.63,1.3506
-0.04,1.01,-0.17,-0.4,-2.27,2.59,-22.27,-16.99,-23.14,1.4,0.04,-2.61,1.4204
