Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.49,0.57,-0.99,49.29,114.81,105.16,-19.92,-21.68,-32.52,0.48,-0.41,-2.27,0.0006
0.53,0.71,-0.79,2.87,-61.42,-54.8,-19.63,-20.51,-33.69,0.65,-0.46,-2.28,0.0008
0.55,0.5,-0.99,15.32,44.42,14.96,-20.51,-21.68,-32.23,0.42,-0.46,-2.24,0.001
0.56,0.7,-0.83,17.78,-10.6,-3.37,-19.04,-20.51,-33.4,0.61,-0.47,-2.25,0.0013
0.55,0.58,-1.01,-14.91,-3.62,-12.15,-20.8,-20.21,-32.23,0.47,-0.44,-2.29,0.0015
0.59,0.68,-0.89,26.83,8.7,20.94,-19.04,-20.51,-33.69,0.56,-0.49,-2.24,0.0017
0.52,0.62,-0.97,-12.61,-8.2,-23.51,-19.63,-20.8,-33.11,0.51,-0.42,-2.28,0.0019
0.62,0.62,-0.92,9.33,8.22,10.22,-19.63,-20.8,-33.4,0.51,-0.51,-2.22,0.0021
0.51,0.62,-0.96,12.57,-4.36,0.17,-19.34,-20.51,-32.81,0.52,-0.42,-2.28,0.0023
0.59,0.62,-0.92,-9.21,-0.05,-5.84,-19.92,-20.21,-33.4,0.51,-0.49,-2.25,0.0025
0.56,0.59,-0.97,17.23,-3.75,7.15,-19.34,-19.92,-32.52,0.49,-0.46,-2.26,0.0027
0.56,0.63,-0.92,-3.27,4.17,-3.3,-19.04,-21.09,-32.52,0.53,-0.46,-2.24,0.0029
0.58,0.59,-0.95,4.26,-5.9,-4.71,-20.51,-19.92,-33.98,0.49,-0.47,-2.27,0.0032
0.57,0.61,-0.94,2.98,1.75,9.19,-19.92,-20.51,-33.69,0.51,-0.47,-2.26,0.0034
0.56,0.61,-0.95,3.65,-5.93,-5.87,-19.92,-20.51,-33.11,0.51,-0.46,-2.26,0.0036
0.57,0.6,-0.96,2.78,2.45,3.1,-18.46,-20.8,-33.69,0.49,-0.47,-2.23,0.0038
0.57,0.61,-0.94,4.78,-0.9,-1.27,-19.04,-20.8,-33.11,0.5,-0.47,-2.24,0.004
0.57,0.6,-0.96,4.24,0.8,0.64,-18.75,-20.51,-32.81,0.49,-0.47,-2.24,0.0042
0.58,0.6,-0.94,1.34,-1.19,-1.54,-19.63,-21.39,-33.4,0.5,-0.48,-2.23,0.0044
0.56,0.6,-0.96,6.03,-1.64,1.09,-19.34,-20.8,-33.4,0.49,-0.46,-2.25,0.0046
0.58,0.6,-0.96,1.31,0.34,-1.08,-18.46,-20.8,-33.11,0.49,-0.47,-2.22,0.0048
0.58,0.59,-0.96,4.8,-0.11,-0.59,-18.75,-20.51,-33.11,0.49,-0.47,-2.23,0.005
0.58,0.6,-0.95,3.04,0.56,0.46,-19.34,-20.51,-33.4,0.49,-0.48,-2.24,0.0052
0.58,0.6,-0.96,3.01,-0.98,-1.9,-19.04,-19.92,-33.4,0.49,-0.47,-2.25,0.0054
0.58,0.59,-0.96,2.98,-0.16,0.63,-19.04,-20.51,-33.11,0.49,-0.48,-2.24,0.0056
0.57,0.59,-0.95,1.75,-1.45,-1.96,-18.46,-20.21,-32.81,0.49,-0.47,-2.23,0.0058
0.58,0.59,-0.95,6.29,3.91,-1.72,-19.63,-20.8,-33.11,0.48,-0.48,-2.24,0.006
0.58,0.58,-0.95,0.8,-5.53,-2.82,-19.92,-20.21,-32.81,0.48,-0.48,-2.25,0.0062
0.56,0.59,-0.95,5.04,1.86,2.23,-18.75,-21.09,-33.4,0.49,-0.47,-2.23,0.0064
0.59,0.58,-0.96,-0.33,-2.62,-2.35,-18.75,-20.51,-33.69,0.47,-0.49,-2.22,0.0066
0.56,0.6,-0.95,9.74,2.08,4.67,-19.04,-21.09,-33.4,0.5,-0.46,-2.24,0.0067
0.58,0.59,-0.96,-4.85,-5.7,-9.77,-19.63,-20.8,-33.4,0.48,-0.48,-2.24,0.0069
0.59,0.59,-0.96,11.38,6.09,8.25,-18.75,-20.21,-32.52,0.48,-0.48,-2.23,0.0071
0.56,0.6,-0.95,-0.61,-4.11,-5.96,-19.04,-21.09,-33.4,0.5,-0.46,-2.24,0.0073
0.6,0.58,-0.97,4.44,1.87,1.1,-19.34,-20.51,-33.11,0.47,-0.49,-2.23,0.0075
0.57,0.59,-0.95,6.75,0.53,0.63,-19.92,-21.09,-33.4,0.49,-0.47,-2.24,0.0077
0.58,0.58,-0.95,-1.17,-1.13,-5.1,-19.63,-21.09,-33.11,0.48,-0.48,-2.23,0.0079
0.58,0.58,-0.96,7.41,1.5,1.18,-18.46,-20.21,-33.11,0.48,-0.48,-2.23,0.008
0.57,0.59,-0.95,0.55,-2.18,-2.13,-19.63,-20.51,-33.4,0.49,-0.47,-2.25,0.0082
0.59,0.58,-0.96,2.97,-2.06,1.68,-18.16,-20.51,-32.81,0.48,-0.48,-2.21,0.0084
0.58,0.59,-0.96,3.81,0.55,0.96,-19.04,-20.51,-33.11,0.48,-0.48,-2.24,0.0086
0.59,0.59,-0.96,2.95,-1.27,-1.2,-18.75,-19.92,-33.11,0.48,-0.48,-2.24,0.0088
0.59,0.58,-0.96,2.86,-0.78,1.03,-18.16,-21.09,-32.81,0.48,-0.48,-2.21,0.009
0.58,0.59,-0.96,3.68,-0.47,-0.66,-19.04,-20.21,-33.98,0.48,-0.48,-2.24,0.0091
0.59,0.58,-0.96,2.96,-1.5,-0.34,-19.04,-20.51,-33.69,0.47,-0.48,-2.23,0.0093
0.59,0.58,-0.96,2.42,-0.02,-1.24,-18.46,-20.21,-33.4,0.48,-0.48,-2.23,0.0095
0.58,0.58,-0.96,4.03,-0.55,-1.2,-18.46,-20.21,-33.11,0.48,-0.48,-2.23,0.0097
0.59,0.58,-0.96,3.2,-0.3,0.19,-19.04,-20.21,-32.81,0.48,-0.48,-2.24,0.0099
0.58,0.58,-0.96,1.95,-2.27,-0.18,-19.92,-20.51,-33.4,0.48,-0.48,-2.25,0.0101
0.58,0.58,-0.96,3.29,-1.11,0.28,-18.75,-20.51,-33.4,0.48,-0.48,-2.23,0.0103
0.58,0.58,-0.95,2.3,-0.86,-0.76,-18.75,-19.92,-32.52,0.48,-0.48,-2.24,0.0104
0.59,0.58,-0.97,3.88,-0.69,0.65,-19.04,-20.8,-33.4,0.47,-0.48,-2.23,0.0106
0.58,0.58,-0.96,2.46,-1.47,-0.24,-18.16,-19.92,-33.11,0.48,-0.48,-2.23,0.0108
0.59,0.58,-0.97,2.53,1.43,0.34,-19.34,-21.39,-33.4,0.47,-0.48,-2.22,0.011
0.58,0.58,-0.95,3.45,-2.22,-2.14,-18.46,-20.21,-33.11,0.48,-0.48,-2.23,0.0112
0.59,0.56,-0.96,-0.44,-2.08,-2.24,-19.04,-20.21,-33.11,0.46,-0.49,-2.23,0.0114
0.59,0.59,-0.96,6.29,-1.26,5.8,-19.04,-20.51,-33.4,0.48,-0.48,-2.23,0.0116
0.56,0.59,-0.98,4.88,-4.67,-0.93,-18.46,-20.51,-33.11,0.48,-0.45,-2.24,0.0118
0.58,0.58,-0.97,1.87,-3.85,-5.27,-19.04,-20.51,-33.4,0.48,-0.47,-2.24,0.012
0.58,0.58,-1.01,23.95,14.47,-3.74,-19.04,-20.51,-33.4,0.46,-0.46,-2.24,0.0121
0.55,0.56,-0.96,-22.56,-4.22,-27.01,-19.04,-19.92,-33.4,0.47,-0.46,-2.25,0.0123
