Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.19,-0.88,-0.33,15.21,9.01,-5.32,-11.72,-26.37,-28.12,-1.17,-0.2,-1.1,0.0016
0.06,-0.94,-0.33,-2.97,2.73,5.33,-12.3,-26.95,-26.95,-1.23,-0.06,-0.97,0.0022
0.18,-0.93,-0.25,-3.23,4.31,3.53,-12.3,-27.54,-25.49,-1.25,-0.18,-1.12,0.0028
0.12,-0.89,-0.37,9.49,-0.34,1.43,-13.18,-28.12,-25.49,-1.16,-0.13,-1.13,0.0034
0.08,-0.95,-0.34,-0.95,4.71,-12.86,-12.89,-28.12,-24.32,-1.22,-0.08,-1.07,0.004
0.17,-0.94,-0.37,-2.84,3.49,1.78,-12.6,-28.42,-23.14,-1.16,-0.17,-1.23,0.0046
-0.03,-1.18,-0.36,-14.65,23.28,-8.98,-12.89,-28.42,-21.68,-1.27,0.02,-1.01,0.0052
0.23,-0.91,-0.23,2.77,37.42,-14.35,-13.77,-29.0,-20.21,-1.23,-0.24,-1.35,0.0058
0.07,-0.84,-0.43,6.17,54.91,5.36,-13.18,-28.71,-17.58,-1.1,-0.07,-1.32,0.0064
0.02,-0.94,-0.43,-20.54,90.7,26.23,-12.89,-28.12,-14.65,-1.14,-0.02,-1.31,0.007
0.16,-0.89,-0.47,0.12,141.65,23.04,-11.72,-26.07,-11.72,-1.07,-0.16,-1.54,0.0076
-0.12,-1.0,-0.5,21.45,162.36,-1.79,-12.01,-24.61,-7.91,-1.09,0.11,-1.41,0.0082
-0.01,-0.8,-0.49,-18.65,199.42,28.25,-10.84,-21.68,-5.86,-1.02,0.01,-1.59,0.0087
-0.26,-1.0,-0.55,-30.96,223.01,55.22,-9.67,-17.29,-4.1,-1.03,0.22,-1.46,0.0093
-0.23,-0.83,-0.45,-11.45,211.43,58.61,-8.79,-12.6,-2.64,-1.02,0.24,-1.56,0.0098
-0.12,-0.92,-0.55,-3.4,154.34,66.65,-8.79,-9.67,-2.34,-1.02,0.11,-1.75,0.0103
