Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
-0.24,-0.03,-1.32,-16.04,-50.9,-24.83,-7.62,-44.24,-37.5,-0.02,0.18,-1.75,0.0014
-0.06,-0.06,-1.21,-18.61,13.44,68.21,-8.5,-43.36,-37.79,-0.05,0.05,-1.73,0.002
-0.12,-0.17,-1.22,-22.64,18.5,12.84,-7.91,-43.95,-37.79,-0.14,0.1,-1.62,0.0026
-0.07,-0.14,-1.29,-14.18,14.11,-18.91,-8.79,-43.65,-37.79,-0.11,0.05,-1.68,0.0032
-0.19,-0.14,-1.16,4.16,-13.69,-31.67,-8.79,-43.65,-37.5,-0.12,0.16,-1.66,0.0037
-0.14,-0.07,-1.14,-7.73,-29.4,-42.3,-8.2,-44.24,-38.09,-0.06,0.12,-1.71,0.0042
-0.18,-0.11,-1.21,-7.48,-9.2,-29.21,-7.91,-43.65,-37.5,-0.09,0.15,-1.67,0.0047
-0.22,-0.03,-1.14,-27.1,-52.87,-83.92,-9.38,-43.07,-36.62,-0.02,0.19,-1.8,0.0053
-0.23,0.03,-1.11,-93.31,-101.91,-62.23,-9.38,-42.48,-35.74,0.03,0.2,-1.87,0.0058
-0.23,-0.1,-1.19,-53.99,-60.73,1.01,-10.25,-41.31,-35.16,-0.08,0.19,-1.77,0.0063
-0.35,-0.17,-1.28,41.78,10.14,-54.12,-8.5,-41.02,-35.16,-0.12,0.26,-1.67,0.0068
-0.53,0.49,-1.22,32.68,27.71,89.49,-9.96,-41.6,-36.33,0.35,0.38,-2.38,0.0073
-0.21,0.42,-1.22,-193.48,12.24,107.87,-12.3,-43.07,-35.16,0.33,0.16,-2.17,0.0079
0.53,-0.79,-1.15,6.81,88.65,106.84,-13.77,-43.65,-35.45,-0.56,-0.36,-1.61,0.0084
-0.4,-0.0,-0.61,-250.0,-250.0,-250.0,-12.6,-40.72,-33.4,-0.0,0.58,-2.23,0.0089
-0.57,0.27,-1.25,249.99,175.06,89.48,-8.79,-40.72,-35.74,0.19,0.42,-2.25,0.0094
-0.59,0.78,-0.95,-53.25,-33.13,-50.17,-9.67,-40.72,-35.45,0.61,0.45,-2.61,0.0099
-0.56,0.17,-1.21,-166.57,-127.66,-50.63,-11.43,-39.55,-33.4,0.13,0.43,-2.24,0.0105
-0.23,-0.26,-1.01,8.56,-90.27,-77.27,-10.55,-39.55,-33.11,-0.24,0.22,-1.59,0.011
-0.04,-0.23,-1.03,122.17,140.73,-74.97,-7.91,-39.55,-33.98,-0.22,0.03,-1.57,0.0116
-0.78,-0.16,-1.18,153.21,61.33,-112.2,-5.86,-41.31,-35.16,-0.11,0.58,-1.57,0.0121
-0.64,0.21,-1.05,-58.78,-106.45,-163.54,-4.39,-40.14,-34.57,0.17,0.54,-2.22,0.0126
-0.17,-0.46,-1.05,-84.31,-79.75,-106.77,-2.93,-39.55,-33.98,-0.41,0.15,-1.21,0.0131
0.3,-0.22,-1.23,41.11,216.74,-9.09,-1.17,-40.72,-34.28,-0.17,-0.24,-1.51,0.0136
-0.58,-0.55,-0.99,61.34,-59.78,-207.15,0.59,-42.77,-33.4,-0.44,0.47,-0.81,0.014
0.03,-0.82,-1.01,49.69,65.25,-82.84,2.34,-43.65,-33.4,-0.68,-0.02,-1.11,0.0145
-0.03,-0.55,-0.95,49.88,55.24,-91.93,2.93,-46.29,-33.11,-0.53,0.03,-1.16,0.0149
-0.03,-0.69,-0.73,-19.84,-43.05,-66.09,3.52,-46.88,-33.4,-0.76,0.03,-1.05,0.0154
0.1,-1.26,-0.88,134.05,-73.17,-31.3,4.1,-48.34,-33.11,-0.96,-0.06,-1.08,0.0158
0.71,-1.37,-0.85,249.99,133.55,232.84,5.57,-48.34,-30.47,-0.89,-0.42,-1.4,0.0163
-0.02,-0.75,-0.47,37.17,-90.32,-132.85,5.27,-48.93,-28.71,-1.01,0.03,-1.04,0.0167
0.83,-0.6,-0.8,-38.78,-29.58,20.36,5.57,-48.34,-29.59,-0.48,-0.69,-1.55,0.0172
0.75,-1.76,-1.14,179.12,249.99,-250.0,5.86,-51.27,-28.42,-0.91,-0.34,-1.38,0.0177
-0.05,-0.59,-0.53,-106.34,14.62,-123.18,5.27,-52.15,-30.18,-0.84,0.07,-1.05,0.0181
0.73,-0.6,-0.63,-118.08,145.77,-16.21,4.39,-54.49,-31.05,-0.56,-0.7,-1.61,0.0186
0.45,-0.9,-0.66,-47.0,13.64,-63.64,2.64,-55.08,-31.93,-0.85,-0.38,-1.43,0.019
0.65,-0.36,-0.74,-182.95,62.43,-9.58,1.46,-55.96,-33.4,-0.35,-0.67,-1.59,0.0195
0.33,-0.52,-0.85,-138.18,-42.43,-28.69,0.0,-55.96,-34.28,-0.52,-0.32,-1.46,0.0199
0.64,-1.26,-0.92,26.74,53.47,-2.94,-0.88,-56.54,-35.45,-0.85,-0.39,-1.45,0.0204
1.04,-0.54,-0.81,23.82,101.61,71.0,-0.88,-57.71,-34.28,-0.39,-0.82,-1.69,0.0209
0.21,-0.78,-0.78,-16.53,-19.13,-0.96,-0.59,-57.13,-33.69,-0.77,-0.19,-1.33,0.0213
0.65,-0.69,-0.61,54.7,18.33,29.04,0.59,-57.71,-33.4,-0.66,-0.61,-1.62,0.0218
1.07,-0.79,-0.74,32.27,83.07,92.87,0.88,-58.59,-33.11,-0.54,-0.78,-1.7,0.0222
0.69,-0.96,-0.73,123.48,136.11,175.54,3.52,-57.71,-30.18,-0.77,-0.52,-1.56,0.0226
0.77,-0.75,-0.38,48.37,56.32,49.42,3.81,-58.3,-29.59,-0.72,-0.74,-1.71,0.023
0.5,-0.82,-0.25,28.47,23.13,-41.03,3.81,-58.3,-29.3,-0.97,-0.53,-1.59,0.0234
0.3,-1.04,-0.36,92.84,-8.65,-21.39,4.1,-58.3,-27.25,-1.15,-0.27,-1.39,0.0238
