Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.13,-0.94,-0.22,2.58,-0.31,-2.93,-11.72,-28.42,-24.02,-1.31,-0.13,-1.09,0.001
0.11,-0.99,-0.14,-0.39,0.69,-12.12,-11.72,-29.3,-24.32,-1.39,-0.11,-1.05,0.0015
0.18,-0.97,-0.2,6.23,-0.85,10.13,-11.72,-29.0,-22.85,-1.3,-0.18,-1.18,0.0019
0.04,-1.15,-0.13,4.83,3.58,-22.31,-12.6,-29.3,-22.27,-1.46,-0.03,-0.99,0.0024
0.14,-0.83,-0.17,11.27,11.34,-5.42,-13.48,-31.05,-20.51,-1.31,-0.16,-1.25,0.0029
0.03,-0.93,-0.27,5.35,10.67,11.6,-13.77,-31.64,-20.21,-1.29,-0.03,-1.15,0.0033
0.02,-0.94,-0.17,-0.38,4.22,1.76,-12.89,-31.35,-19.63,-1.39,-0.02,-1.1,0.0038
0.24,-0.87,-0.12,3.86,5.68,15.3,-13.48,-31.93,-18.46,-1.27,-0.27,-1.44,0.0042
0.04,-0.97,-0.18,-4.38,-22.38,-14.6,-13.48,-31.93,-18.16,-1.38,-0.04,-1.16,0.0047
-0.03,-1.01,-0.24,-3.3,-13.11,-4.62,-14.06,-32.52,-17.29,-1.34,0.03,-1.15,0.0051
0.03,-0.98,-0.16,5.71,-0.53,-3.98,-14.36,-32.81,-16.99,-1.4,-0.03,-1.19,0.0056
0.12,-0.92,-0.18,3.18,7.13,-2.09,-15.23,-33.98,-16.41,-1.34,-0.12,-1.34,0.006
-0.07,-0.95,-0.28,-12.6,22.87,-0.28,-14.06,-34.57,-15.23,-1.28,0.07,-1.2,0.0065
0.09,-0.92,-0.29,-9.08,47.26,2.1,-14.65,-33.69,-12.6,-1.25,-0.1,-1.45,0.0069
0.11,-0.97,-0.32,-2.71,89.04,16.17,-13.48,-33.69,-9.67,-1.23,-0.11,-1.54,0.0074
-0.0,-1.03,-0.35,-1.3,121.7,-3.81,-13.48,-29.59,-6.15,-1.25,0.0,-1.51,0.0078
0.01,-0.85,-0.49,-1.81,172.2,15.95,-12.01,-26.37,-2.05,-1.05,-0.01,-1.73,0.0082
-0.23,-0.92,-0.44,4.34,195.26,23.5,-11.43,-20.51,-0.59,-1.08,0.22,-1.62,0.0086
-0.29,-0.88,-0.33,9.01,181.58,5.71,-11.13,-17.29,0.29,-1.1,0.3,-1.61,0.0089
-0.4,-0.97,-0.25,3.33,153.37,-14.59,-11.13,-13.18,0.88,-1.12,0.38,-1.67,0.0093
0.05,-0.83,-0.41,-3.03,176.41,48.84,-10.25,-9.96,0.29,-1.1,-0.05,-2.06,0.0097
-0.38,-1.03,-0.47,16.03,159.64,17.07,-9.96,-6.74,0.0,-1.04,0.32,-2.04,0.0101
-0.14,-0.96,-0.32,9.8,166.54,9.32,-10.25,-4.1,-0.88,-1.22,0.14,-2.08,0.0105
0.05,-1.1,-0.24,43.11,152.66,-9.1,-9.96,-1.76,-1.46,-1.35,-0.04,-2.0,0.0109
-0.04,-1.02,-0.3,37.64,113.07,-90.18,-10.25,0.0,-1.76,-1.28,0.04,3.09,0.0113
0.21,-0.77,-0.39,-40.82,99.34,-14.16,-9.08,0.88,-2.64,-1.05,-0.23,3.02,0.0117
0.28,-1.0,-0.52,-52.06,76.49,-24.62,-7.91,1.76,-3.81,-1.04,-0.24,2.11,0.012
0.14,-0.9,-0.39,-27.4,54.47,-80.75,-6.74,1.17,-4.1,-1.14,-0.14,0.53,0.0124
0.31,-0.82,-0.19,21.14,102.48,-11.03,-6.74,2.05,-4.39,-1.15,-0.35,0.24,0.0128
0.3,-0.85,-0.12,49.54,38.79,-54.27,-7.03,2.05,-2.64,-1.2,-0.34,1.18,0.0133
0.45,-0.82,-0.56,-7.64,-48.53,-86.18,-5.57,-1.17,-1.46,-0.85,-0.43,-2.64,0.0137
0.79,-0.84,-0.24,30.69,82.59,-191.66,-3.81,-0.88,-1.46,-0.8,-0.73,-2.52,0.0141
0.73,-0.8,-0.15,80.87,183.01,-15.76,-5.57,1.46,-2.34,-0.82,-0.73,-2.88,0.0145
0.57,-0.39,-0.02,-91.59,110.88,-76.0,-3.81,3.22,-4.39,-0.61,-0.96,-1.68,0.0149
0.82,-0.86,0.1,-145.97,81.99,19.04,-2.93,3.81,-7.32,-0.81,-0.76,-0.55,0.0153
0.7,-0.88,0.22,33.44,-28.69,-37.53,-2.05,1.76,-6.45,-0.88,-0.66,-0.63,0.0157
0.68,-0.85,0.04,-60.18,32.41,-83.28,-0.88,-0.29,-6.74,-0.9,-0.67,-0.91,0.0161
0.8,-0.24,-0.46,-69.27,117.07,16.11,0.59,0.59,-9.38,-0.26,-0.99,-1.31,0.0165
0.79,-0.45,-0.36,-106.87,56.56,65.12,0.29,2.34,-10.84,-0.47,-0.94,-1.07,0.0169
0.5,-1.06,-0.12,66.43,-39.92,103.41,-1.46,4.1,-8.79,-1.11,-0.44,-0.01,0.0173
0.96,-0.25,0.03,-34.85,-5.29,34.48,-1.76,3.22,-8.2,-0.25,-1.32,-1.63,0.0177
0.69,-0.89,-0.4,-53.57,8.31,80.76,-2.05,4.1,-8.5,-0.84,-0.62,-0.28,0.0181
0.76,-1.01,-0.5,-30.93,19.08,9.9,-2.64,4.1,-9.38,-0.84,-0.6,-0.32,0.0185
0.79,-1.09,-0.22,-34.58,19.87,-34.17,-1.46,2.34,-9.08,-0.93,-0.62,-0.5,0.0189
0.62,-1.09,-0.32,4.34,20.36,-20.94,-0.88,1.17,-8.2,-1.0,-0.5,-0.44,0.0193
0.48,-0.14,-0.11,-85.9,63.41,2.69,0.0,1.17,-9.08,-0.28,-1.21,-1.43,0.0197
0.29,-0.78,-0.24,-39.38,-33.76,-30.6,0.59,0.29,-9.96,-1.12,-0.34,-0.33,0.0201
0.65,-1.15,-0.37,-21.17,-13.4,-2.94,0.0,-1.17,-10.25,-1.0,-0.49,-0.69,0.0205
0.72,-0.76,-0.27,15.89,-17.97,-26.09,-1.17,-2.64,-9.67,-0.78,-0.73,-1.23,0.0209
0.72,-0.59,-0.57,17.34,17.2,-59.41,-0.59,-4.1,-9.96,-0.57,-0.72,-1.36,0.0213
0.65,-0.68,-0.43,-52.46,6.23,38.94,-0.88,-3.81,-10.84,-0.71,-0.68,-1.25,0.0217
0.79,-1.01,-0.34,-45.83,2.28,-37.2,-0.59,-5.57,-12.6,-0.86,-0.64,-1.19,0.0221
0.94,-1.06,-0.59,-13.65,34.22,-30.8,-0.29,-6.74,-13.77,-0.76,-0.66,-1.26,0.0225
0.78,-0.45,-0.63,12.11,45.75,1.69,0.29,-7.62,-13.77,-0.42,-0.79,-1.44,0.0229
0.65,-0.39,-0.65,-34.0,4.58,-9.13,-0.29,-8.79,-14.94,-0.4,-0.71,-1.45,0.0233
0.67,-0.95,-0.57,-11.57,3.51,-11.68,0.29,-9.38,-14.06,-0.82,-0.54,-1.23,0.0236
0.76,-0.52,-0.13,37.25,-38.09,-48.26,-0.88,-11.13,-14.06,-0.59,-0.96,-1.64,0.024
0.94,-0.76,-0.54,60.94,-23.94,-98.06,-1.46,-13.48,-13.18,-0.61,-0.79,-1.64,0.0244
0.94,-0.28,-0.78,1.98,-25.61,-111.12,-3.22,-16.11,-14.06,-0.23,-0.85,-1.75,0.0248
1.11,-0.31,-0.84,-14.61,-62.09,-111.64,-3.81,-18.16,-14.94,-0.22,-0.89,-1.78,0.0253
1.22,-0.25,-0.53,18.33,-64.35,-141.53,-5.27,-21.39,-15.82,-0.19,-1.12,-1.88,0.0257
