Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
-0.43,-0.85,-0.37,2.56,6.09,-37.8,0.29,-33.11,-31.93,-0.98,0.44,-0.43,0.0013
-0.29,-0.91,-0.4,16.68,11.92,-18.3,0.88,-32.81,-30.76,-1.08,0.28,-0.59,0.0018
-0.28,-0.93,-0.43,55.17,15.88,11.09,1.17,-33.4,-30.76,-1.06,0.27,-0.61,0.0022
-0.39,-0.88,-0.49,122.66,14.09,-20.85,1.17,-33.4,-29.0,-0.95,0.37,-0.57,0.0026
-0.17,-1.08,-0.16,80.14,10.61,4.72,2.05,-34.28,-27.25,-1.36,0.15,-0.75,0.003
-0.28,-0.76,-0.05,45.46,9.15,-10.92,2.34,-33.69,-27.54,-1.21,0.36,-0.55,0.0034
-0.13,-0.93,-0.15,70.33,22.24,-15.33,2.93,-33.4,-26.07,-1.36,0.14,-0.77,0.0038
-0.19,-0.82,-0.08,15.9,1.85,-24.38,3.52,-33.69,-25.49,-1.33,0.22,-0.7,0.0041
-0.15,-1.0,-0.07,5.39,0.95,-9.92,3.22,-34.28,-25.78,-1.41,0.14,-0.78,0.0045
-0.27,-0.93,-0.0,0.08,-12.06,-9.83,3.22,-33.69,-25.78,-1.29,0.28,-0.64,0.0049
-0.18,-0.88,0.05,-12.52,-2.3,4.4,3.52,-33.98,-26.07,-1.36,0.2,-0.71,0.0053
-0.19,-0.85,0.01,1.39,13.7,12.6,2.64,-33.4,-25.78,-1.35,0.22,-0.7,0.0057
-0.23,-0.87,-0.05,12.1,1.75,-3.11,2.93,-33.69,-26.07,-1.31,0.25,-0.66,0.0061
-0.19,-0.94,-0.05,4.3,4.04,7.26,3.22,-33.11,-25.78,-1.36,0.2,-0.71,0.0064
-0.23,-0.88,-0.05,2.04,-4.75,1.6,2.64,-33.98,-26.37,-1.31,0.25,-0.66,0.0068
-0.24,-0.8,-0.03,-0.34,1.0,4.43,2.93,-32.81,-25.49,-1.28,0.29,-0.63,0.0072
-0.28,-0.82,-0.03,-6.1,-9.79,0.25,2.05,-32.52,-26.37,-1.24,0.33,-0.58,0.0076
-0.23,-0.89,-0.0,0.09,2.3,2.61,2.93,-33.11,-25.78,-1.31,0.26,-0.66,0.0079
-0.2,-0.9,-0.03,6.58,5.93,4.59,3.52,-33.4,-26.37,-1.35,0.22,-0.69,0.0083
-0.25,-0.88,-0.06,-0.12,-1.37,3.26,2.34,-33.4,-25.78,-1.28,0.28,-0.64,0.0087
-0.22,-0.86,-0.04,2.24,0.99,2.45,2.34,-32.81,-26.66,-1.31,0.25,-0.64,0.0091
-0.24,-0.86,-0.05,3.65,0.29,-1.11,3.22,-32.81,-26.37,-1.29,0.27,-0.63,0.0094
-0.24,-0.8,-0.05,5.36,0.44,-17.5,3.22,-32.81,-26.07,-1.27,0.3,-0.61,0.01
-0.15,-0.86,-0.05,-3.37,-15.57,-13.21,3.52,-33.11,-25.49,-1.39,0.17,-0.74,0.0104
-0.27,-0.86,-0.0,-0.88,-11.57,-2.2,3.22,-33.98,-25.78,-1.27,0.3,-0.63,0.0108
-0.15,-0.87,-0.02,1.39,2.36,2.12,2.64,-33.4,-26.07,-1.4,0.17,-0.74,0.0112
-0.19,-0.85,-0.04,4.76,0.02,-4.61,2.93,-33.98,-25.49,-1.34,0.22,-0.71,0.0115
-0.2,-0.9,-0.03,3.75,-0.49,-8.26,4.1,-34.28,-25.49,-1.35,0.22,-0.71,0.0119
-0.22,-0.84,-0.03,-2.56,-2.98,-7.98,3.81,-34.28,-26.07,-1.31,0.26,-0.66,0.0123
-0.23,-0.81,-0.0,-15.7,-4.26,-11.31,3.81,-33.69,-25.78,-1.29,0.28,-0.65,0.0127
-0.21,-0.93,-0.07,7.35,-8.03,-13.96,3.52,-34.57,-26.37,-1.34,0.22,-0.7,0.0131
-0.21,-0.87,-0.06,4.18,-10.71,-8.86,3.52,-33.69,-26.07,-1.33,0.24,-0.68,0.0135
-0.11,-0.88,-0.05,4.33,-6.08,-5.34,4.1,-34.28,-25.2,-1.43,0.13,-0.8,0.0139
-0.16,-0.9,-0.02,2.25,-9.53,-11.58,3.81,-34.86,-26.07,-1.39,0.18,-0.75,0.0143
-0.08,-0.9,-0.03,8.13,5.42,-2.46,3.81,-33.98,-25.78,-1.48,0.09,-0.83,0.0146
-0.1,-0.93,-0.05,6.09,2.36,-6.74,3.81,-34.57,-26.07,-1.45,0.1,-0.82,0.015
-0.08,-0.94,-0.03,4.62,2.56,-0.5,3.52,-34.28,-25.49,-1.48,0.09,-0.84,0.0154
-0.12,-0.9,-0.01,1.38,3.18,-3.86,4.39,-34.57,-26.07,-1.44,0.13,-0.79,0.0158
-0.06,-0.89,-0.03,1.91,6.43,-5.02,3.81,-34.86,-25.49,-1.5,0.06,-0.87,0.0162
-0.06,-0.92,-0.12,5.35,1.9,-1.58,4.39,-35.16,-26.66,-1.43,0.06,-0.85,0.0166
-0.08,-0.92,-0.05,1.03,-1.83,-0.32,4.1,-34.57,-25.78,-1.47,0.09,-0.83,0.017
-0.08,-0.91,-0.04,0.9,1.72,3.68,4.69,-33.98,-25.49,-1.47,0.09,-0.83,0.0173
-0.13,-0.86,-0.06,0.99,-4.41,-5.42,3.81,-34.28,-26.07,-1.4,0.15,-0.77,0.0177
-0.08,-0.94,-0.05,3.91,3.23,0.5,4.1,-34.57,-25.49,-1.47,0.09,-0.85,0.0181
-0.13,-0.89,-0.06,1.72,-2.46,-1.06,4.1,-34.28,-25.2,-1.41,0.14,-0.79,0.0185
-0.13,-0.87,-0.07,0.82,-6.42,-0.96,3.52,-33.69,-26.07,-1.41,0.14,-0.77,0.0189
-0.07,-0.94,-0.04,3.89,2.81,2.24,3.81,-35.16,-25.49,-1.48,0.08,-0.86,0.0193
-0.11,-0.92,-0.09,3.23,1.96,2.6,4.39,-34.28,-25.49,-1.42,0.12,-0.8,0.0196
-0.1,-0.92,-0.05,1.99,-1.15,-1.88,3.81,-34.86,-25.49,-1.45,0.11,-0.82,0.02
-0.13,-0.89,-0.07,2.21,-2.83,-2.75,4.1,-34.28,-25.78,-1.41,0.14,-0.78,0.0204
-0.09,-0.93,-0.06,4.15,1.75,-0.04,3.81,-34.28,-26.07,-1.45,0.09,-0.82,0.0208
-0.09,-0.93,-0.06,5.07,1.69,0.89,4.1,-34.28,-25.49,-1.45,0.1,-0.83,0.0212
-0.12,-0.89,-0.05,2.07,-1.57,0.98,4.1,-34.28,-25.78,-1.43,0.14,-0.78,0.0216
-0.13,-0.91,-0.04,2.84,-0.4,1.27,3.52,-34.86,-25.78,-1.42,0.14,-0.79,0.0219
-0.12,-0.89,-0.07,1.14,-1.08,0.95,3.81,-35.16,-25.2,-1.42,0.13,-0.82,0.0223
-0.07,-0.89,-0.05,3.57,2.48,0.6,2.93,-33.98,-26.07,-1.47,0.08,-0.83,0.0227
-0.11,-0.93,-0.05,5.33,1.79,-3.59,3.81,-34.28,-24.9,-1.44,0.12,-0.82,0.0231
-0.1,-0.92,-0.06,5.31,0.38,-2.84,4.69,-33.98,-24.9,-1.45,0.1,-0.83,0.0235
-0.14,-0.88,-0.05,-0.36,-6.07,-0.94,4.1,-34.28,-26.07,-1.41,0.15,-0.76,0.0239
-0.11,-0.92,-0.04,0.43,-2.87,0.87,3.81,-34.86,-25.78,-1.45,0.12,-0.81,0.0242
-0.12,-0.9,-0.06,3.0,-2.0,0.94,4.1,-34.28,-25.49,-1.42,0.13,-0.79,0.0246
-0.12,-0.89,-0.02,2.41,1.51,-0.76,4.98,-34.57,-25.78,-1.43,0.13,-0.79,0.025
-0.1,-0.93,-0.05,4.53,1.46,1.3,4.1,-34.57,-25.78,-1.45,0.11,-0.82,0.0254
-0.14,-0.92,-0.06,0.7,-4.38,-0.27,3.52,-34.28,-25.49,-1.4,0.16,-0.77,0.0258
-0.11,-0.89,-0.05,0.85,-4.71,0.75,4.98,-34.28,-25.78,-1.44,0.12,-0.8,0.0261
-0.12,-0.92,-0.04,4.61,0.59,-0.15,4.1,-34.86,-25.78,-1.44,0.13,-0.8,0.0265
-0.1,-0.89,-0.04,3.34,0.58,-2.78,4.39,-34.57,-25.2,-1.45,0.11,-0.82,0.0269
-0.11,-0.91,-0.05,3.66,-0.3,2.57,3.81,-34.86,-25.49,-1.43,0.12,-0.81,0.0273
-0.14,-0.89,-0.04,0.5,-4.62,-0.18,4.39,-34.28,-24.61,-1.41,0.15,-0.79,0.0277
-0.12,-0.89,-0.05,1.11,-1.56,0.82,4.1,-33.98,-25.49,-1.42,0.14,-0.79,0.0281
-0.13,-0.89,-0.03,1.08,-1.46,-0.53,3.81,-34.57,-25.49,-1.42,0.14,-0.79,0.0284
-0.14,-0.87,-0.04,-1.59,-2.11,2.46,3.81,-33.98,-24.9,-1.4,0.16,-0.78,0.0288
-0.16,-0.88,-0.04,2.11,-1.98,-0.17,3.52,-33.98,-26.37,-1.39,0.17,-0.73,0.0292
-0.13,-0.92,-0.05,1.12,-1.07,1.49,3.81,-34.28,-26.07,-1.42,0.14,-0.78,0.0296
-0.13,-0.9,-0.06,2.75,-1.47,0.11,3.81,-33.98,-25.49,-1.41,0.14,-0.78,0.03
-0.12,-0.91,-0.04,3.91,0.31,-1.57,4.1,-35.16,-25.49,-1.43,0.13,-0.81,0.0304
