Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
-0.49,0.69,0.62,14.92,-6.09,20.97,-19.92,-21.39,-19.63,0.72,0.48,-2.85,0.0013
-0.18,0.7,0.28,10.24,74.7,-33.94,-19.34,-20.8,-20.21,1.13,0.23,-2.67,0.0019
-0.9,0.9,0.0,-10.09,101.97,-22.5,-18.75,-19.34,-21.39,0.78,0.79,3.1,0.0025
-0.77,0.68,0.26,20.32,49.52,34.78,-18.46,-19.04,-21.68,0.7,0.81,3.06,0.0031
-0.66,0.62,0.3,-14.89,7.55,49.37,-19.92,-19.04,-22.27,0.7,0.77,3.09,0.0037
-0.29,0.78,0.23,36.75,3.91,-13.53,-19.63,-19.63,-22.56,1.13,0.34,-2.82,0.0043
-0.59,0.84,0.06,-0.62,-11.2,8.53,-19.04,-19.34,-23.14,0.95,0.61,-3.07,0.0049
-0.31,0.77,0.26,35.65,-36.2,4.52,-20.8,-19.92,-22.56,1.08,0.37,-2.85,0.0054
-0.22,0.88,-0.03,-35.27,16.77,10.31,-19.63,-19.04,-21.97,1.32,0.24,-2.73,0.006
-0.48,0.57,0.52,-0.05,-39.63,32.58,-20.51,-20.51,-22.27,0.68,0.56,-2.98,0.0065
-0.37,0.88,0.4,-21.06,1.35,-23.56,-20.21,-19.63,-21.39,1.02,0.37,-2.84,0.007
-0.41,0.78,0.47,4.14,-17.17,-23.24,-19.63,-19.34,-21.68,0.9,0.42,-2.89,0.0075
-0.45,0.69,0.21,7.6,-30.07,4.53,-19.92,-19.92,-21.09,0.95,0.56,-2.98,0.008
-0.35,0.78,0.43,14.7,-16.23,19.38,-19.92,-20.21,-21.09,0.96,0.37,-2.82,0.0085
-0.24,0.84,0.14,11.18,-8.67,17.51,-20.51,-20.51,-21.09,1.25,0.27,-2.72,0.009
-0.35,0.82,0.35,24.6,36.91,15.24,-19.34,-19.92,-21.68,1.03,0.37,-2.83,0.0095
-0.52,0.72,0.18,11.64,74.75,47.82,-21.09,-20.21,-21.97,0.92,0.61,-3.03,0.01
-0.67,0.84,0.34,42.97,-30.43,80.99,-21.09,-20.8,-22.56,0.84,0.64,-3.05,0.0105
0.02,0.79,-0.04,-12.68,84.56,2.21,-21.09,-21.39,-23.44,1.51,-0.03,-2.4,0.011
-0.51,0.86,0.18,55.65,33.39,17.37,-21.68,-20.51,-24.02,1.01,0.52,-2.99,0.0115
-0.68,0.89,0.19,25.96,-84.46,49.1,-23.14,-21.97,-23.73,0.9,0.64,-3.06,0.012
0.06,0.65,0.27,34.96,31.63,-85.67,-21.68,-21.39,-24.02,1.16,-0.08,-2.46,0.0126
-0.37,0.88,0.24,-12.23,-14.91,18.29,-22.85,-21.68,-22.85,1.1,0.39,-2.84,0.0131
-0.29,0.93,0.19,-13.07,-76.0,10.12,-21.39,-21.97,-22.85,1.21,0.3,-2.74,0.0136
-0.13,0.88,-0.19,-94.86,26.74,-25.11,-21.39,-21.97,-21.09,1.32,0.14,-2.56,0.0141
-0.46,0.87,0.35,-70.58,64.55,15.66,-20.8,-22.27,-21.09,0.99,0.46,-2.85,0.0146
-0.11,0.75,0.07,-116.33,127.8,17.94,-20.21,-20.51,-20.8,1.4,0.14,-2.56,0.0152
-1.23,0.49,1.14,-2.04,-135.12,38.8,-19.92,-20.51,-20.51,0.29,0.78,-3.14,0.0156
-0.06,0.72,0.4,-4.52,-37.94,-5.7,-19.63,-20.8,-20.21,1.06,0.08,-2.55,0.0161
-0.05,0.62,0.89,154.77,-250.0,-153.63,-19.92,-21.39,-19.04,0.61,0.04,-2.5,0.0166
-0.79,0.89,-0.11,-37.11,15.38,-24.51,-18.46,-21.68,-18.46,0.84,0.72,-3.02,0.017
-0.44,0.6,0.55,13.34,-17.23,-31.51,-17.87,-21.39,-17.87,0.7,0.49,-2.81,0.0175
-0.28,0.6,0.81,72.7,-19.79,-7.45,-18.75,-22.27,-18.16,0.61,0.27,-2.62,0.018
-0.05,0.67,0.2,-5.77,48.19,9.51,-18.75,-22.27,-18.75,1.27,0.07,-2.44,0.0184
-0.41,0.58,0.46,8.0,44.39,67.89,-19.34,-22.27,-18.16,0.75,0.51,-2.82,0.0188
-0.26,0.79,0.12,10.15,31.49,45.33,-20.8,-21.97,-19.34,1.23,0.31,-2.68,0.0193
-0.26,0.81,0.34,-45.97,47.89,17.22,-19.63,-21.68,-19.92,1.08,0.29,-2.7,0.0197
-0.11,0.74,0.23,-12.71,3.2,6.39,-20.8,-21.97,-19.63,1.24,0.14,-2.55,0.0202
-0.09,0.65,0.33,39.49,2.17,17.39,-21.39,-22.27,-19.92,1.09,0.12,-2.56,0.0206
-0.15,0.75,0.35,9.61,18.23,-4.28,-21.09,-21.97,-20.21,1.1,0.18,-2.61,0.0211
-0.1,0.8,0.15,9.69,77.58,-24.15,-21.09,-21.68,-20.8,1.35,0.12,-2.53,0.0215
-0.32,0.81,0.64,40.66,35.13,23.74,-20.8,-21.09,-21.39,0.85,0.3,-2.75,0.0219
-0.12,0.79,0.24,63.12,133.07,-27.33,-21.39,-20.21,-24.02,1.25,0.15,-2.67,0.0224
-0.76,0.96,0.41,216.4,124.27,49.84,-22.85,-19.34,-28.12,0.84,0.63,3.12,0.0228
-0.43,0.99,-0.72,140.89,249.99,55.44,-21.97,-20.51,-33.11,0.87,0.34,-2.95,0.0233
-0.32,0.91,-0.32,156.88,161.81,62.1,-20.8,-22.27,-35.45,1.11,0.32,-2.93,0.0237
0.24,0.71,-0.82,124.44,212.51,-49.32,-19.63,-24.02,-37.5,0.7,-0.22,-2.41,0.0242
0.03,0.8,-0.81,12.29,61.0,-52.89,-19.63,-24.9,-38.67,0.78,-0.03,-2.57,0.0247
0.15,0.68,-0.95,-0.31,20.86,-55.31,-18.75,-24.32,-37.5,0.61,-0.13,-2.45,0.0251
0.03,0.76,-0.9,31.65,9.84,-50.27,-17.87,-24.61,-38.67,0.7,-0.02,-2.55,0.0255
-0.04,0.75,-0.96,31.04,-5.51,-28.11,-18.16,-24.61,-38.96,0.66,0.03,-2.6,0.0259
-0.11,0.72,-0.95,14.35,-1.34,-20.4,-17.87,-23.14,-39.26,0.65,0.09,-2.68,0.0263
-0.14,0.73,-1.04,-6.63,10.33,-0.86,-17.87,-23.44,-38.38,0.61,0.11,-2.67,0.0267
-0.12,0.67,-1.05,-6.43,10.71,5.12,-18.16,-23.73,-39.84,0.57,0.09,-2.66,0.0271
-0.06,0.68,-0.91,13.98,-59.0,8.56,-18.16,-23.14,-39.55,0.64,0.05,-2.65,0.0275
-0.41,0.6,-0.99,47.96,-167.94,15.9,-17.58,-20.51,-38.38,0.51,0.34,-2.97,0.0279
-0.26,0.67,-0.99,-32.01,-65.8,4.08,-17.58,-20.21,-37.79,0.58,0.22,-2.84,0.0283
-0.21,0.67,-0.92,-38.71,-96.46,-7.35,-17.87,-19.34,-37.5,0.62,0.18,-2.83,0.0287
-0.41,0.77,-0.84,-58.82,-165.34,9.48,-18.46,-18.16,-34.57,0.69,0.35,-3.0,0.0291
0.04,0.71,-1.12,-179.59,-216.76,-61.11,-18.46,-16.41,-31.05,0.57,-0.03,-2.64,0.0295
-0.34,0.47,0.27,-172.25,-250.0,-91.25,-17.87,-17.58,-23.14,0.82,0.56,-3.07,0.0299
-0.71,0.59,0.58,-101.3,-126.39,-44.46,-15.82,-18.75,-20.8,0.57,0.71,-3.12,0.0304
-0.75,0.37,0.6,-61.58,-80.06,15.22,-15.53,-19.04,-19.34,0.37,0.82,3.1,0.0308
-0.48,0.41,0.69,24.69,-27.34,20.3,-16.41,-19.34,-18.75,0.46,0.54,-2.88,0.0312
-0.32,0.34,0.13,-92.55,62.92,16.36,-15.23,-18.75,-19.04,0.78,0.71,-3.08,0.0316
-0.87,0.31,0.29,-158.83,-250.0,96.21,-14.94,-24.32,-15.53,0.32,1.12,3.0,0.032
0.47,0.0,0.9,-158.67,214.08,29.48,-13.48,-21.68,-16.11,0.0,-0.48,-2.04,0.0324
0.1,-0.1,1.02,-33.78,-20.86,-39.51,-12.89,-22.56,-16.41,-0.1,-0.09,-2.01,0.0328
-0.25,-0.12,0.67,-7.19,-27.43,-34.21,-11.13,-21.39,-16.41,-0.16,0.35,-2.04,0.0332
-0.18,-0.02,0.77,-23.83,-62.95,-1.33,-12.01,-22.27,-15.23,-0.03,0.23,-2.13,0.0336
0.03,-0.1,0.79,32.75,-21.2,-1.32,-11.43,-24.02,-14.65,-0.12,-0.04,-1.95,0.034
0.15,-0.02,0.53,-29.04,-32.58,-2.87,-11.72,-24.61,-14.65,-0.04,-0.27,-1.96,0.0345
0.02,-0.07,0.94,25.44,-11.05,6.53,-12.3,-24.9,-14.36,-0.07,-0.02,-1.99,0.0349
-0.02,-0.01,0.69,-5.78,-39.83,8.28,-11.72,-25.2,-13.48,-0.02,0.02,-2.0,0.0353
0.11,0.06,0.75,-1.35,45.43,-4.88,-11.72,-24.9,-14.65,0.07,-0.15,-2.01,0.0357
-0.01,0.11,0.75,13.28,58.63,-28.67,-11.43,-24.32,-14.36,0.14,0.01,-2.08,0.0361
0.26,-0.02,0.7,-46.23,41.92,-34.51,-10.55,-23.44,-14.94,-0.03,-0.36,-1.94,0.0365
-0.12,-0.12,0.94,-14.95,2.02,-15.68,-10.25,-23.14,-15.53,-0.12,0.12,-1.93,0.0369
-0.19,-0.07,0.8,10.44,3.15,-26.35,-9.96,-23.73,-15.53,-0.09,0.23,-1.96,0.0373
-0.12,-0.13,0.81,5.61,-5.24,-11.44,-9.67,-23.73,-15.23,-0.15,0.14,-1.88,0.0377
-0.07,-0.13,0.72,8.29,-9.52,10.28,-10.25,-24.02,-15.23,-0.17,0.09,-1.88,0.0381
0.06,-0.06,0.74,7.9,1.03,-7.41,-10.25,-24.02,-14.94,-0.08,-0.08,-1.92,0.0385
0.05,-0.06,0.82,26.57,-48.39,-27.11,-10.55,-24.02,-14.36,-0.07,-0.06,-1.94,0.0389
-0.05,0.07,0.43,-16.33,-36.06,-3.89,-9.67,-25.2,-13.18,0.15,0.12,-2.04,0.0393
0.2,-0.16,0.92,32.52,-91.42,-61.93,-9.96,-26.37,-12.3,-0.17,-0.21,-1.87,0.0397
0.09,-0.1,0.72,21.39,-94.11,-44.55,-9.38,-28.12,-12.6,-0.14,-0.12,-1.84,0.0401
0.28,0.41,0.74,-16.71,-37.11,-8.8,-9.38,-29.3,-12.01,0.47,-0.32,-1.86,0.0405
0.43,-0.08,0.64,2.93,-16.64,-21.25,-9.67,-29.3,-11.43,-0.1,-0.59,-1.89,0.0409
0.29,-0.07,0.72,-18.71,2.77,16.46,-9.38,-29.0,-12.01,-0.09,-0.38,-1.86,0.0413
0.41,-0.07,0.7,-16.59,17.85,15.98,-9.08,-28.71,-12.89,-0.08,-0.53,-1.86,0.0417
0.31,-0.15,0.82,-16.39,29.15,17.59,-8.79,-28.12,-12.89,-0.17,-0.36,-1.83,0.0421
0.26,-0.17,0.87,18.49,35.47,19.87,-8.79,-27.25,-12.89,-0.18,-0.28,-1.83,0.0425
0.26,-0.07,0.71,0.22,29.43,17.53,-9.08,-27.54,-13.77,-0.1,-0.34,-1.85,0.0429
0.16,-0.08,0.69,-10.14,42.83,31.1,-8.79,-26.66,-13.18,-0.11,-0.22,-1.84,0.0433
0.26,-0.15,0.83,1.74,2.64,-2.84,-9.38,-26.37,-14.06,-0.17,-0.3,-1.85,0.0437
0.16,-0.15,0.78,9.36,-11.92,-16.28,-9.08,-25.78,-13.18,-0.18,-0.2,-1.83,0.0441
0.09,-0.13,0.74,5.45,12.33,6.65,-9.38,-26.37,-14.06,-0.18,-0.12,-1.83,0.0445
0.08,-0.2,0.76,-3.62,50.74,36.68,-9.67,-24.61,-13.48,-0.25,-0.1,-1.82,0.0449
0.01,-0.12,0.75,-12.81,63.8,40.92,-9.08,-24.02,-14.65,-0.16,-0.01,-1.84,0.0453
-0.03,-0.14,0.78,0.98,41.03,34.33,-10.55,-23.14,-14.94,-0.18,0.04,-1.9,0.0457
