Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.15,0.64,-1.01,35.91,-16.88,1.98,-19.34,-33.4,-32.52,0.56,-0.13,-2.27,0.0009
0.37,0.46,-1.05,42.53,-26.41,-15.66,-17.87,-32.23,-32.81,0.39,-0.31,-2.11,0.002
0.22,0.5,-1.09,20.62,-16.38,-14.92,-18.75,-32.23,-32.81,0.42,-0.18,-2.21,0.0026
0.31,0.44,-1.17,2.73,23.08,-48.13,-19.04,-32.52,-33.4,0.35,-0.24,-2.16,0.0032
0.21,0.5,-1.18,-1.17,13.43,-25.15,-19.34,-31.64,-33.11,0.4,-0.16,-2.23,0.0039
0.27,0.48,-1.2,13.84,-0.21,3.09,-19.34,-31.93,-33.98,0.37,-0.2,-2.2,0.0044
0.25,0.47,-1.19,8.37,-2.37,-10.99,-18.75,-31.35,-33.11,0.37,-0.19,-2.2,0.005
0.21,0.47,-1.18,1.07,-6.66,-4.8,-18.46,-31.35,-33.11,0.37,-0.17,-2.21,0.0055
0.19,0.46,-1.16,3.71,-2.56,1.4,-19.34,-31.93,-33.11,0.37,-0.15,-2.22,0.006
0.18,0.46,-1.15,4.68,4.53,9.83,-19.63,-31.64,-33.98,0.38,-0.15,-2.25,0.0065
0.26,0.45,-1.18,-4.21,0.43,-4.21,-18.75,-31.64,-33.4,0.36,-0.2,-2.19,0.0071
0.15,0.49,-1.07,-6.66,-12.12,0.17,-18.75,-31.35,-33.11,0.42,-0.13,-2.26,0.0076
0.25,0.47,-1.15,4.53,23.54,4.52,-18.46,-31.05,-33.4,0.38,-0.2,-2.2,0.0081
0.24,0.47,-1.11,16.9,2.15,1.67,-19.04,-32.23,-33.69,0.39,-0.19,-2.2,0.0086
0.27,0.47,-1.19,8.67,-1.64,-4.98,-19.34,-32.23,-33.4,0.37,-0.21,-2.19,0.0091
0.23,0.44,-1.14,13.03,-5.96,-5.94,-19.04,-31.93,-33.4,0.36,-0.19,-2.2,0.0097
0.2,0.41,-1.14,12.8,-15.96,-9.9,-19.04,-31.64,-33.4,0.34,-0.17,-2.21,0.0102
0.25,0.44,-1.18,2.21,5.88,-5.29,-18.46,-31.93,-34.57,0.35,-0.19,-2.19,0.0107
0.25,0.45,-1.16,5.5,8.25,0.02,-19.04,-32.23,-33.98,0.36,-0.19,-2.19,0.0112
0.29,0.4,-1.11,16.75,33.45,-13.73,-19.04,-32.52,-33.98,0.33,-0.24,-2.16,0.0117
