Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
-0.03,0.96,0.07,0.92,-6.29,-1.81,-16.99,-20.8,-12.6,1.49,0.03,-2.19,0.0007
0.15,0.89,0.32,0.59,-1.5,-1.59,-12.89,-21.39,-10.84,1.2,-0.15,-2.04,0.0009
0.16,0.87,0.34,0.08,-0.39,0.13,-13.18,-21.09,-9.96,1.17,-0.16,-2.03,0.05
0.15,0.89,0.32,0.84,3.75,-0.53,-13.48,-21.09,-10.55,1.19,-0.16,-2.04,0.1236
0.14,0.87,0.32,2.46,-1.35,-1.08,-13.18,-20.8,-10.25,1.19,-0.15,-2.05,0.1974
0.15,0.87,0.36,2.19,-5.25,0.05,-12.6,-20.8,-9.96,1.15,-0.16,-2.04,0.271
0.15,0.89,0.32,1.26,8.36,1.21,-12.89,-21.09,-10.25,1.19,-0.16,-2.03,0.3447
0.16,0.86,0.37,4.01,-4.43,-0.89,-13.48,-20.8,-9.38,1.14,-0.17,-2.03,0.4145
0.13,0.89,0.34,2.99,2.88,0.6,-12.89,-21.09,-9.96,1.18,-0.13,-2.05,0.4882
0.17,0.88,0.34,4.57,0.81,-0.84,-13.18,-21.09,-10.25,1.16,-0.18,-2.03,0.5619
0.15,0.85,0.35,4.49,-4.26,-1.27,-13.18,-20.8,-10.55,1.15,-0.16,-2.06,0.6357
0.13,0.89,0.3,2.45,10.87,1.42,-13.48,-21.09,-9.96,1.22,-0.14,-2.04,0.7093
0.16,0.87,0.34,4.59,-4.9,-2.36,-13.77,-20.8,-9.67,1.16,-0.17,-2.03,0.783
0.13,0.88,0.35,4.61,0.33,-0.43,-13.48,-20.51,-9.96,1.17,-0.14,-2.07,0.8528
0.15,0.9,0.32,4.52,1.91,-0.57,-12.6,-20.51,-10.55,1.19,-0.16,-2.05,0.9265
0.14,0.87,0.33,4.36,-3.21,-1.23,-12.89,-20.8,-10.55,1.18,-0.15,-2.06,1.0002
0.14,0.89,0.33,3.9,0.53,-0.8,-13.48,-20.8,-10.25,1.19,-0.15,-2.05,1.0739
0.15,0.88,0.34,4.51,-1.56,-1.25,-13.77,-20.8,-10.84,1.17,-0.15,-2.08,1.1476
