Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.32,1.02,-0.04,1.59,-14.11,1.49,-24.02,-16.11,-21.09,1.26,-0.31,-2.36,0.0004
0.37,1.01,-0.01,2.39,13.14,10.83,-24.02,-15.82,-21.97,1.22,-0.35,-2.36,0.0008
0.42,0.97,0.05,2.3,-3.23,3.47,-24.32,-16.11,-21.68,1.16,-0.41,-2.33,0.001
0.39,0.97,0.03,2.86,-5.91,3.11,-24.02,-15.82,-21.97,1.19,-0.38,-2.35,0.0012
0.39,0.99,0.01,1.89,-0.07,5.19,-23.44,-16.41,-21.39,1.2,-0.37,-2.32,0.0014
0.43,0.98,0.0,2.09,-0.86,3.51,-23.44,-16.11,-21.97,1.15,-0.42,-2.32,0.0016
0.42,0.99,0.02,1.95,-7.8,-1.06,-24.32,-15.82,-22.27,1.17,-0.4,-2.34,0.0018
0.42,0.97,0.02,2.09,-4.36,0.11,-24.61,-16.7,-21.68,1.16,-0.41,-2.31,0.002
0.41,0.97,0.02,2.4,0.4,2.13,-24.32,-16.41,-22.56,1.17,-0.4,-2.33,0.0022
0.43,0.97,0.02,2.31,-3.69,0.05,-24.02,-16.7,-21.39,1.15,-0.42,-2.3,0.0024
0.42,0.98,0.02,2.27,-3.03,-0.63,-24.02,-16.11,-21.39,1.16,-0.41,-2.32,0.0026
0.42,0.98,0.01,2.11,1.01,0.21,-24.32,-15.82,-21.39,1.16,-0.41,-2.33,0.0028
0.42,0.97,0.02,2.81,3.65,-0.43,-24.9,-16.11,-21.39,1.16,-0.41,-2.33,0.003
0.44,0.97,0.03,3.92,-0.52,-2.48,-23.73,-16.41,-21.39,1.15,-0.42,-2.31,0.0032
0.42,0.97,0.04,4.3,-1.85,-3.88,-24.61,-16.41,-21.68,1.16,-0.41,-2.32,0.0034
0.41,0.98,0.02,5.32,-1.61,-3.79,-23.73,-16.11,-22.27,1.17,-0.4,-2.33,0.0036
0.41,0.98,0.02,5.26,-0.79,-4.17,-23.73,-16.11,-21.97,1.18,-0.39,-2.33,0.0038
0.41,0.98,0.02,5.39,-3.17,-4.62,-23.44,-16.11,-21.68,1.17,-0.4,-2.32,0.004
0.4,0.97,0.03,5.38,-1.58,-4.05,-24.32,-16.11,-21.97,1.18,-0.39,-2.34,0.0042
0.38,0.99,0.01,5.61,-1.03,-3.07,-23.73,-15.82,-21.68,1.2,-0.37,-2.35,0.0044
0.39,0.99,0.01,5.73,-3.61,-3.54,-24.02,-15.82,-21.97,1.2,-0.37,-2.35,0.0046
0.39,0.98,0.02,5.9,-4.6,-3.39,-23.73,-15.82,-21.68,1.19,-0.38,-2.34,0.0048
0.39,0.98,0.01,5.34,-3.51,-2.33,-23.73,-14.65,-22.56,1.19,-0.38,-2.38,0.005
0.38,0.99,-0.0,5.48,-2.53,-1.8,-24.02,-15.82,-21.68,1.2,-0.37,-2.35,0.0053
0.39,0.99,-0.01,5.1,-4.02,-2.48,-24.61,-16.41,-21.97,1.19,-0.38,-2.34,0.0055
0.39,0.99,-0.02,4.67,-3.85,-1.94,-24.32,-15.82,-21.97,1.2,-0.37,-2.35,0.0057
0.38,0.99,-0.02,4.17,-3.58,-1.34,-24.32,-15.82,-22.85,1.2,-0.37,-2.36,0.0059
0.39,0.99,-0.02,3.91,-2.48,-0.66,-24.61,-15.53,-21.97,1.2,-0.37,-2.36,0.0061
0.39,1.0,-0.03,3.36,-1.8,-0.32,-24.61,-15.23,-22.56,1.2,-0.37,-2.38,0.0063
0.38,1.0,-0.03,3.19,0.4,-0.03,-24.32,-15.53,-22.27,1.2,-0.37,-2.37,0.0065
0.39,1.0,-0.03,3.05,0.5,-0.02,-24.32,-15.53,-22.27,1.2,-0.37,-2.37,0.0067
0.39,0.99,-0.02,2.65,0.5,0.2,-24.02,-15.53,-22.27,1.2,-0.37,-2.36,0.0069
0.39,0.99,-0.02,2.85,0.51,-0.05,-24.02,-15.53,-23.14,1.19,-0.38,-2.37,0.0071
0.4,0.99,-0.02,2.85,-0.14,-0.69,-23.73,-15.53,-22.27,1.19,-0.38,-2.36,0.0073
0.39,0.99,-0.03,3.08,0.04,-0.63,-24.02,-15.23,-22.56,1.19,-0.37,-2.37,0.0075
0.39,0.99,-0.01,3.36,0.07,-1.07,-24.32,-15.53,-22.27,1.2,-0.37,-2.36,0.0077
0.38,0.99,-0.02,3.57,-0.04,-1.01,-24.02,-15.23,-21.68,1.2,-0.37,-2.36,0.0079
0.39,1.0,-0.03,3.73,-1.43,-1.56,-24.61,-15.53,-21.97,1.2,-0.37,-2.36,0.0081
0.39,0.99,-0.02,3.52,-1.59,-1.82,-23.73,-15.53,-22.27,1.2,-0.37,-2.36,0.0083
0.39,0.99,-0.02,3.56,-1.34,-2.08,-23.73,-14.94,-22.27,1.2,-0.37,-2.38,0.0085
0.38,0.99,-0.03,4.18,-1.91,-2.16,-24.32,-15.82,-23.14,1.2,-0.37,-2.37,0.0087
0.38,1.0,-0.03,4.22,-2.78,-2.73,-24.61,-14.94,-22.27,1.21,-0.36,-2.39,0.0088
0.38,1.0,-0.03,4.56,-3.56,-2.82,-24.9,-15.23,-22.85,1.21,-0.36,-2.39,0.009
0.38,1.0,-0.03,4.92,-3.36,-2.89,-24.02,-15.23,-21.68,1.21,-0.36,-2.37,0.0092
0.38,1.0,-0.04,4.62,-3.36,-2.29,-24.9,-15.23,-22.56,1.21,-0.36,-2.39,0.0094
0.37,1.0,-0.04,4.07,-4.55,-2.56,-24.32,-14.65,-22.85,1.21,-0.35,-2.4,0.0096
0.38,1.0,-0.05,3.93,-2.59,-1.23,-24.02,-14.36,-22.56,1.21,-0.36,-2.4,0.0098
0.37,1.01,-0.06,3.12,-2.62,-1.08,-24.61,-14.94,-22.56,1.21,-0.35,-2.4,0.01
0.36,1.01,-0.05,3.3,-2.22,-1.52,-24.02,-15.23,-23.14,1.22,-0.34,-2.39,0.0101
0.37,1.0,-0.05,3.4,-0.24,-0.57,-24.02,-14.94,-22.56,1.21,-0.36,-2.39,0.0103
0.37,1.0,-0.05,3.02,0.49,0.17,-24.32,-14.65,-22.85,1.21,-0.36,-2.4,0.0105
0.38,1.01,-0.05,2.89,0.54,0.18,-24.9,-15.53,-21.97,1.21,-0.36,-2.37,0.0107
0.38,1.01,-0.05,2.5,0.8,0.35,-23.73,-15.23,-23.73,1.21,-0.36,-2.39,0.0109
0.37,1.0,-0.05,3.07,0.85,0.21,-24.61,-14.94,-22.85,1.21,-0.36,-2.4,0.0111
0.37,1.0,-0.04,2.84,2.18,0.58,-24.32,-14.94,-22.85,1.22,-0.35,-2.4,0.0112
0.37,1.01,-0.06,2.88,2.34,1.06,-24.32,-15.53,-22.56,1.21,-0.36,-2.38,0.0114
0.39,1.0,-0.06,2.73,-1.13,-1.31,-24.32,-15.23,-22.56,1.2,-0.37,-2.38,0.0116
0.38,1.0,-0.05,2.8,0.65,-0.52,-24.02,-15.23,-23.14,1.21,-0.36,-2.39,0.0118
0.38,1.0,-0.05,3.14,0.07,-1.23,-24.61,-14.65,-23.14,1.21,-0.36,-2.41,0.012
0.38,1.0,-0.05,3.76,0.37,-1.32,-24.02,-15.53,-22.27,1.21,-0.36,-2.37,0.0122
0.35,1.01,-0.05,4.47,3.67,0.18,-24.32,-15.23,-22.56,1.24,-0.33,-2.39,0.0123
0.38,1.01,-0.06,3.98,5.03,1.44,-24.32,-15.23,-23.14,1.21,-0.36,-2.39,0.0125
0.39,1.0,-0.06,2.57,0.94,0.4,-24.32,-15.23,-23.14,1.2,-0.37,-2.38,0.0127
0.38,1.0,-0.05,2.64,0.22,0.53,-24.32,-15.82,-23.44,1.21,-0.36,-2.38,0.013
0.38,1.0,-0.04,2.83,1.33,1.19,-23.73,-15.82,-23.44,1.21,-0.36,-2.37,0.0131
0.39,1.0,-0.02,2.17,0.43,0.28,-25.2,-15.23,-23.14,1.2,-0.37,-2.39,0.0133
