Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.19,0.95,0.19,1.66,-1.04,-0.93,-16.41,-22.85,-19.63,1.3,-0.19,-2.19,0.0007
0.18,0.95,0.21,2.01,0.5,-0.77,-17.29,-22.56,-19.34,1.29,-0.19,-2.21,0.0009
0.19,0.96,0.19,2.41,-1.75,-1.79,-16.99,-22.85,-19.63,1.3,-0.19,-2.2,0.0012
0.18,0.96,0.2,2.61,-2.04,-1.58,-16.7,-23.14,-19.34,1.3,-0.18,-2.2,0.0014
0.19,0.95,0.21,2.53,-3.29,-1.8,-17.29,-22.56,-19.04,1.29,-0.19,-2.2,0.0016
0.18,0.96,0.19,3.14,0.42,-0.66,-16.99,-22.56,-19.63,1.31,-0.18,-2.21,0.0019
0.18,0.96,0.19,2.78,1.39,-0.01,-16.99,-22.56,-18.46,1.3,-0.19,-2.18,0.0021
0.19,0.96,0.21,2.18,-1.47,-0.38,-16.41,-22.85,-18.75,1.28,-0.19,-2.18,0.0023
0.19,0.96,0.18,3.2,-0.29,-0.77,-17.58,-21.97,-19.34,1.3,-0.19,-2.22,0.0026
0.18,0.96,0.2,3.14,-0.74,-0.88,-16.11,-22.27,-18.75,1.29,-0.18,-2.19,0.0029
0.19,0.96,0.2,3.48,-1.5,-0.86,-16.99,-22.27,-19.04,1.29,-0.19,-2.2,0.0031
0.19,0.96,0.19,2.74,-1.78,-0.74,-17.29,-23.44,-19.34,1.3,-0.19,-2.18,0.0033
0.18,0.96,0.19,2.98,0.08,-0.87,-16.7,-23.14,-19.34,1.31,-0.18,-2.19,0.0036
0.18,0.95,0.19,3.52,0.66,-0.76,-17.29,-23.44,-19.63,1.3,-0.18,-2.2,0.0038
0.19,0.96,0.19,2.72,-0.69,-1.27,-17.29,-22.27,-19.34,1.3,-0.19,-2.21,0.004
0.18,0.95,0.2,2.82,-0.25,-1.08,-16.99,-22.85,-19.63,1.3,-0.18,-2.21,0.0042
0.18,0.96,0.18,2.57,-0.84,-0.92,-16.99,-22.85,-19.04,1.31,-0.18,-2.19,0.0045
0.17,0.96,0.19,3.01,1.27,0.16,-17.58,-22.27,-18.75,1.31,-0.17,-2.21,0.0047
0.18,0.96,0.2,3.43,0.76,0.28,-17.29,-22.85,-18.75,1.3,-0.18,-2.19,0.0049
0.18,0.95,0.2,3.42,-0.73,-0.14,-16.41,-22.56,-19.34,1.29,-0.19,-2.2,0.0051
0.18,0.96,0.19,2.96,-1.19,-0.15,-17.58,-22.85,-19.63,1.3,-0.19,-2.21,0.0053
0.18,0.96,0.19,3.08,-0.89,-0.29,-17.87,-23.14,-19.92,1.3,-0.18,-2.21,0.0055
0.18,0.95,0.19,2.69,0.87,0.59,-17.58,-23.44,-19.63,1.3,-0.18,-2.19,0.0057
0.19,0.96,0.2,2.19,-1.43,0.02,-16.7,-22.56,-18.16,1.29,-0.2,-2.17,0.0059
0.19,0.95,0.2,2.68,-0.78,-0.71,-16.7,-22.85,-19.04,1.29,-0.19,-2.19,0.0061
0.18,0.96,0.19,2.72,-0.92,-0.36,-16.7,-22.56,-19.63,1.31,-0.18,-2.21,0.0063
0.19,0.96,0.21,2.51,-1.92,-0.65,-17.58,-23.14,-19.63,1.29,-0.19,-2.2,0.0065
0.18,0.95,0.19,3.01,-0.03,-0.38,-17.29,-22.27,-18.46,1.31,-0.18,-2.2,0.0067
0.18,0.96,0.19,2.78,-0.74,-0.59,-17.29,-22.27,-19.92,1.31,-0.18,-2.22,0.0069
0.18,0.95,0.2,2.73,-0.11,-0.21,-16.99,-22.56,-19.04,1.29,-0.18,-2.2,0.0071
0.17,0.96,0.19,4.18,3.33,1.32,-17.29,-23.14,-19.92,1.31,-0.18,-2.21,0.0073
0.18,0.97,0.17,5.21,12.13,2.93,-16.7,-21.39,-19.34,1.32,-0.18,-2.22,0.0075
0.19,0.96,0.19,2.33,0.6,-0.53,-16.99,-22.85,-19.34,1.3,-0.19,-2.19,0.0077
0.18,0.96,0.19,2.01,0.63,0.02,-16.7,-22.27,-19.04,1.3,-0.19,-2.2,0.0079
0.19,0.96,0.19,1.72,-1.8,-0.84,-16.99,-23.14,-19.04,1.3,-0.19,-2.18,0.0081
0.18,0.95,0.2,2.49,-0.29,-0.38,-16.99,-22.85,-19.04,1.3,-0.18,-2.19,0.0083
0.18,0.96,0.2,1.91,-2.2,-1.0,-17.58,-22.85,-18.46,1.29,-0.19,-2.18,0.0287
0.18,0.96,0.19,2.49,-0.79,-0.53,-16.99,-22.56,-19.34,1.3,-0.18,-2.21,0.1024
0.19,0.96,0.2,2.23,-1.17,-0.76,-16.7,-22.56,-19.04,1.29,-0.19,-2.19,0.1761
0.18,0.95,0.2,2.5,1.21,-0.25,-16.11,-22.56,-18.46,1.3,-0.18,-2.18,0.2458
0.18,0.95,0.19,2.4,-1.2,-1.07,-15.82,-23.14,-19.34,1.3,-0.19,-2.18,0.3195
0.18,0.96,0.2,2.37,-1.03,-1.16,-16.7,-22.27,-19.34,1.3,-0.18,-2.21,0.3933
0.17,0.95,0.2,2.53,-1.18,-1.11,-16.7,-22.85,-19.92,1.3,-0.18,-2.21,0.467
0.18,0.95,0.2,3.21,-2.32,-1.23,-16.99,-22.56,-19.63,1.3,-0.18,-2.21,0.5407
0.18,0.95,0.2,3.27,-1.67,-1.09,-17.29,-22.85,-20.21,1.29,-0.18,-2.22,0.6144
0.18,0.95,0.2,3.33,-0.69,-0.5,-17.29,-22.56,-19.63,1.3,-0.18,-2.21,0.6842
0.18,0.96,0.2,3.33,-0.82,-0.47,-17.29,-22.27,-18.46,1.29,-0.19,-2.2,0.7579
0.18,0.95,0.2,3.02,-2.49,-0.55,-16.7,-22.85,-19.34,1.29,-0.18,-2.2,0.8315
0.18,0.96,0.19,3.2,-1.54,-0.51,-17.29,-22.85,-19.34,1.31,-0.18,-2.2,0.9053
0.18,0.95,0.19,3.13,-0.39,-0.31,-17.58,-22.27,-19.34,1.3,-0.19,-2.21,0.979
0.19,0.95,0.19,2.24,-3.71,-1.14,-17.29,-22.85,-19.34,1.3,-0.19,-2.19,1.0527
0.18,0.95,0.2,3.51,1.74,0.83,-16.7,-22.56,-19.04,1.3,-0.18,-2.2,1.1225
0.19,0.96,0.19,3.52,1.66,1.47,-16.99,-22.56,-18.75,1.3,-0.19,-2.19,1.1963
0.18,0.96,0.2,2.85,0.47,1.59,-16.99,-22.27,-18.75,1.3,-0.19,-2.2,1.2698
0.18,0.96,0.18,3.27,0.77,1.79,-16.7,-23.14,-18.75,1.31,-0.18,-2.17,1.3435
0.19,0.96,0.19,2.62,0.72,2.04,-16.99,-22.56,-19.04,1.3,-0.19,-2.19,1.4133
0.2,0.96,0.18,2.78,1.46,1.66,-16.99,-22.85,-19.34,1.3,-0.2,-2.19,1.4871
0.19,0.96,0.18,1.88,-0.8,1.05,-16.7,-22.85,-18.46,1.3,-0.2,-2.17,1.5607
0.2,0.96,0.19,1.79,-0.28,0.83,-17.58,-22.85,-19.34,1.29,-0.2,-2.19,1.6344
0.19,0.96,0.19,1.56,0.45,0.58,-16.7,-22.85,-19.04,1.29,-0.2,-2.18,1.7081
0.2,0.95,0.2,1.1,-1.54,0.34,-17.29,-22.85,-19.63,1.28,-0.2,-2.2,1.7818
0.2,0.95,0.2,1.23,-2.53,-0.18,-16.7,-22.85,-18.75,1.28,-0.2,-2.17,1.8516
0.19,0.96,0.2,1.83,-1.74,0.0,-16.41,-23.44,-19.04,1.28,-0.2,-2.17,1.9253
0.19,0.95,0.2,1.98,-0.02,0.6,-16.7,-23.14,-19.34,1.29,-0.2,-2.18,1.9991
0.19,0.95,0.21,2.15,2.46,1.63,-16.7,-22.56,-19.34,1.28,-0.2,-2.2,2.0727
0.21,0.95,0.21,1.69,0.89,0.67,-16.11,-23.73,-18.75,1.27,-0.21,-2.14,2.1464
0.2,0.95,0.2,2.05,1.79,0.97,-16.41,-22.56,-19.34,1.28,-0.2,-2.19,2.2161
0.2,0.95,0.21,1.68,0.79,0.91,-15.82,-23.73,-18.16,1.27,-0.21,-2.13,2.2899
0.21,0.95,0.21,1.95,0.7,1.21,-16.99,-23.44,-19.34,1.26,-0.21,-2.17,2.3635
0.21,0.95,0.2,1.94,-1.0,0.09,-16.7,-22.85,-18.75,1.27,-0.21,-2.17,2.4374
0.21,0.95,0.21,2.34,-0.76,-0.79,-16.99,-23.73,-19.04,1.26,-0.21,-2.16,2.5111
0.21,0.94,0.21,2.32,-1.75,-1.43,-16.11,-23.73,-18.46,1.26,-0.22,-2.14,2.5847
0.2,0.95,0.21,2.29,-1.94,-1.63,-16.7,-23.14,-18.16,1.27,-0.2,-2.16,2.6545
0.22,0.93,0.23,1.3,-6.21,-4.15,-15.82,-23.44,-19.04,1.25,-0.22,-2.15,2.7283
0.19,0.95,0.2,2.03,2.73,0.03,-16.41,-23.14,-18.75,1.29,-0.19,-2.17,2.8019
0.23,0.93,0.25,0.62,-4.35,0.31,-15.82,-22.56,-18.75,1.22,-0.23,-2.16,2.8756
0.19,0.95,0.21,3.45,10.56,3.54,-16.41,-23.44,-18.75,1.28,-0.2,-2.16,2.9493
0.21,0.94,0.22,3.21,6.05,5.1,-15.82,-23.44,-18.46,1.26,-0.21,-2.14,3.019
0.19,0.94,0.22,5.52,19.87,9.19,-16.41,-22.56,-18.75,1.27,-0.19,-2.19,3.0928
0.18,0.96,0.19,3.94,16.4,9.99,-15.82,-22.85,-19.34,1.3,-0.18,-2.19,3.1665
0.19,0.96,0.19,4.48,22.65,13.9,-15.53,-22.85,-18.75,1.29,-0.19,-2.17,3.2404
0.22,0.94,0.22,2.35,9.35,11.8,-16.11,-22.56,-18.75,1.25,-0.22,-2.17,3.3138
0.2,0.94,0.24,4.45,20.22,15.87,-15.53,-23.44,-18.46,1.25,-0.2,-2.15,3.3877
0.27,0.92,0.28,3.13,23.15,22.48,-16.11,-23.44,-18.16,1.17,-0.27,-2.11,3.4612
0.28,0.96,0.12,-0.72,13.73,14.66,-15.53,-23.44,-18.16,1.26,-0.28,-2.07,3.5311
0.2,0.94,0.26,1.98,13.04,9.26,-15.82,-23.14,-16.99,1.24,-0.2,-2.14,3.6049
0.28,0.92,0.24,-1.28,-27.64,-0.43,-15.23,-23.73,-17.87,1.19,-0.28,-2.08,3.6785
0.21,0.95,0.21,3.43,-0.34,11.11,-14.65,-23.44,-17.87,1.27,-0.21,-2.12,3.7522
0.32,0.9,0.24,1.84,8.3,9.03,-14.94,-23.44,-18.46,1.15,-0.33,-2.06,3.8258
0.3,0.93,0.23,-0.54,-7.56,3.88,-14.94,-24.9,-18.46,1.19,-0.3,-2.05,3.8957
0.31,0.92,0.24,3.22,5.23,3.07,-14.36,-23.44,-17.87,1.17,-0.31,-2.06,3.9694
0.32,0.9,0.27,1.82,-23.64,-5.46,-15.53,-24.32,-17.58,1.14,-0.33,-2.04,4.0432
0.25,0.94,0.22,5.51,-8.5,-0.97,-14.94,-23.73,-18.16,1.23,-0.25,-2.1,4.1168
0.3,0.93,0.22,4.3,-9.87,-0.14,-15.23,-24.32,-18.46,1.19,-0.3,-2.06,4.1905
0.3,0.93,0.21,2.66,-7.62,1.01,-14.06,-24.32,-18.46,1.19,-0.31,-2.04,4.2641
0.32,0.92,0.22,2.65,-7.23,-0.81,-14.36,-24.32,-18.46,1.18,-0.32,-2.04,4.334
0.32,0.93,0.21,2.09,-8.54,-1.72,-14.94,-24.32,-18.46,1.18,-0.33,-2.04,4.4077
0.32,0.93,0.22,2.85,-4.84,-1.34,-14.94,-23.73,-18.75,1.17,-0.32,-2.06,4.4814
0.31,0.93,0.22,1.67,-1.76,0.79,-14.65,-24.32,-19.04,1.18,-0.32,-2.05,4.5551
0.32,0.93,0.21,1.43,2.26,1.96,-14.36,-24.61,-17.87,1.19,-0.32,-2.02,4.6287
0.33,0.92,0.22,1.45,1.11,0.91,-14.94,-24.02,-17.29,1.16,-0.34,-2.02,4.6986
0.33,0.9,0.25,2.07,-2.73,-1.33,-14.65,-24.61,-17.87,1.14,-0.34,-2.02,4.7724
0.33,0.92,0.23,1.17,-10.06,-4.42,-14.94,-24.32,-17.87,1.16,-0.34,-2.03,4.846
0.32,0.91,0.22,2.03,-4.75,-2.63,-14.36,-24.02,-18.75,1.17,-0.33,-2.05,4.9196
0.31,0.92,0.23,2.82,-3.58,-2.17,-14.65,-24.9,-18.75,1.18,-0.32,-2.04,4.9933
0.31,0.92,0.23,2.69,-4.34,-2.01,-14.94,-24.61,-18.16,1.17,-0.32,-2.04,5.0671
0.34,0.92,0.24,2.69,-6.2,-5.06,-14.94,-24.61,-18.75,1.15,-0.34,-2.03,5.137
0.31,0.94,0.21,1.91,-7.96,0.37,-14.65,-24.32,-18.46,1.19,-0.31,-2.04,5.2105
0.33,0.92,0.22,2.89,-3.91,0.2,-15.23,-24.32,-19.04,1.17,-0.33,-2.05,5.2842
0.32,0.93,0.21,2.52,-0.79,4.49,-14.94,-24.61,-18.75,1.18,-0.32,-2.04,5.3579
0.31,0.93,0.21,4.13,13.63,10.15,-14.36,-25.2,-18.16,1.19,-0.31,-2.02,5.4316
0.33,0.93,0.2,3.15,11.79,10.02,-14.36,-24.61,-18.16,1.17,-0.34,-2.01,5.5014
0.31,0.93,0.2,5.47,19.43,14.3,-14.06,-24.61,-17.58,1.2,-0.31,-2.02,5.5752
0.3,0.94,0.17,7.83,32.85,20.84,-14.94,-24.9,-17.87,1.22,-0.3,-2.02,5.6488
0.28,0.98,0.02,15.07,45.33,30.77,-13.77,-24.9,-17.29,1.29,-0.28,-2.0,5.7226
0.29,1.01,-0.06,-3.75,6.95,32.84,-12.6,-25.49,-16.7,1.28,-0.28,-1.97,5.7962
0.14,1.14,0.09,-13.56,45.15,45.53,-11.72,-25.2,-14.65,1.43,-0.12,-2.03,5.8701
0.3,1.04,0.39,-0.37,35.66,36.33,-11.13,-25.49,-14.36,1.13,-0.27,-1.95,5.9436
0.16,0.96,0.44,51.39,118.86,17.75,-11.13,-25.2,-12.6,1.12,-0.15,-2.01,6.0134
0.4,0.84,0.34,100.93,50.78,-11.89,-12.6,-24.32,-12.89,1.01,-0.41,-1.87,6.0879
0.42,0.8,0.29,122.31,74.27,-15.09,-14.94,-24.61,-12.6,1.01,-0.46,-1.87,6.1609
0.45,0.86,0.13,103.75,29.13,-18.46,-16.11,-23.14,-13.18,1.08,-0.47,-1.89,6.2346
0.24,0.88,0.07,72.81,37.68,-2.87,-16.99,-22.85,-13.18,1.3,-0.27,-1.98,6.3083
0.33,0.9,-0.15,-0.82,-9.27,-0.05,-16.99,-22.85,-13.48,1.19,-0.34,-1.97,6.382
0.18,0.82,-0.05,-45.09,49.79,20.5,-17.29,-22.27,-12.89,1.35,-0.21,-2.01,6.4557
0.7,1.51,-0.73,-43.91,-11.0,-4.13,-16.99,-22.27,-12.89,0.98,-0.4,-2.02,6.5294
-0.1,0.96,0.0,3.88,165.36,1.15,-16.7,-21.68,-12.3,1.47,0.11,-2.24,6.5991
0.13,0.95,0.5,-20.19,65.47,-0.5,-16.11,-21.97,-11.72,1.07,-0.12,-2.16,6.6732
0.29,0.96,0.15,-19.26,1.46,-8.55,-16.7,-21.97,-11.43,1.24,-0.29,-1.95,6.7466
0.14,1.02,-0.04,-13.35,11.76,-3.22,-16.11,-21.39,-11.13,1.43,-0.14,-2.0,6.8202
0.21,0.98,0.07,-17.43,3.85,-0.85,-14.94,-21.09,-10.55,1.35,-0.21,-1.95,6.894
0.21,0.98,0.12,-11.67,20.45,1.31,-15.23,-21.39,-9.96,1.33,-0.21,-1.93,6.9638
0.42,0.92,0.21,-16.98,-13.93,-11.36,-15.23,-20.51,-10.25,1.1,-0.42,-1.9,7.0382
0.08,0.99,0.21,-2.41,7.93,-0.35,-14.94,-21.39,-9.67,1.35,-0.08,-2.04,7.1112
0.23,0.96,0.2,-1.17,12.6,-5.78,-15.23,-21.09,-9.67,1.27,-0.23,-1.95,7.1848
0.17,0.97,0.22,-2.02,5.0,-7.54,-14.94,-21.39,-9.96,1.29,-0.17,-1.99,7.2585
0.19,1.0,0.17,-20.67,-72.49,-10.94,-14.36,-22.27,-9.38,1.32,-0.19,-1.91,7.3323
0.11,0.97,0.16,0.92,27.44,4.75,-14.06,-22.56,-10.55,1.37,-0.11,-1.99,7.4021
0.23,0.94,0.2,23.28,87.4,24.1,-14.06,-22.27,-9.96,1.25,-0.24,-1.92,7.4757
0.21,1.01,0.2,16.85,90.24,4.11,-14.36,-21.97,-8.79,1.29,-0.2,-1.9,7.5494
0.23,0.91,0.25,-1.66,23.16,1.65,-13.77,-21.68,-10.25,1.22,-0.23,-1.95,7.6232
0.22,0.92,0.26,-9.2,-2.97,0.24,-13.48,-22.56,-8.79,1.21,-0.23,-1.89,7.693
0.25,0.94,0.17,-9.41,-14.66,-1.31,-14.06,-21.68,-9.08,1.26,-0.26,-1.88,7.7667
0.25,0.94,0.22,-13.12,-13.21,-2.33,-13.77,-22.27,-9.08,1.23,-0.25,-1.88,7.8404
0.26,0.92,0.26,-16.09,-16.52,-4.75,-13.48,-21.97,-8.79,1.2,-0.26,-1.88,7.914
0.35,0.94,0.32,-33.81,-84.98,-14.51,-12.3,-22.56,-8.79,1.1,-0.34,-1.82,7.9882
0.23,0.88,0.3,-24.87,-28.24,-1.68,-13.18,-23.44,-8.79,1.17,-0.24,-1.87,8.0615
0.26,0.94,0.25,-29.14,-27.11,-0.27,-11.72,-22.85,-8.5,1.2,-0.26,-1.83,8.1351
0.22,0.91,0.38,-34.81,-20.42,7.82,-10.84,-23.73,-8.79,1.12,-0.22,-1.87,8.2053
0.24,0.97,0.17,-22.33,15.24,22.49,-10.84,-23.73,-7.62,1.28,-0.24,-1.76,8.2786
0.35,0.81,0.35,-23.26,-13.37,9.41,-10.84,-24.02,-7.91,1.02,-0.38,-1.74,8.3523
0.25,0.81,0.21,13.28,-1.79,27.95,-10.84,-24.02,-7.03,1.19,-0.29,-1.73,8.426
0.41,0.79,0.29,-50.92,-90.03,8.8,-9.96,-26.07,-5.57,1.0,-0.45,-1.57,8.4997
0.38,0.89,0.48,-34.83,-27.01,12.83,-8.79,-25.78,-5.27,0.97,-0.36,-1.63,8.5734
0.5,0.7,0.62,-16.49,-20.01,4.43,-9.08,-26.37,-4.98,0.72,-0.49,-1.63,8.6432
0.47,0.56,0.68,-2.78,-3.81,-14.28,-9.38,-26.66,-4.1,0.6,-0.49,-1.68,8.7169
0.5,0.66,0.56,35.15,-23.16,-28.43,-10.55,-27.83,-4.1,0.72,-0.53,-1.61,8.7907
0.42,0.74,0.52,70.92,-1.17,-19.1,-12.01,-26.95,-4.69,0.84,-0.43,-1.68,8.8643
0.37,0.76,0.5,88.05,2.47,-22.51,-15.23,-26.66,-5.57,0.88,-0.38,-1.79,8.938
0.38,0.74,0.4,99.27,14.55,-24.07,-17.58,-25.78,-6.15,0.93,-0.42,-1.82,9.0079
0.36,0.8,0.39,107.06,35.66,-19.37,-19.34,-24.32,-7.91,0.99,-0.38,-1.92,9.0816
0.39,0.73,0.32,99.71,33.13,-12.4,-22.56,-23.73,-10.25,0.96,-0.46,-2.0,9.1554
0.37,0.88,0.22,81.25,4.85,-16.49,-23.14,-22.56,-11.43,1.11,-0.39,-2.01,9.2289
