Roll,Pitch,Yaw,Time
-19.35,66.53,-115.61,0.0002
-18.66,67.34,-115.97,0.0005
-19.68,66.41,-115.9,0.0005
-17.68,67.99,-117.29,0.0006
-19.22,67.28,-115.37,0.0007
-18.93,67.37,-116.6,0.0007
-18.98,67.25,-115.71,0.0008
-18.84,67.64,-116.6,0.0009
-18.88,67.43,-116.79,0.0009
-19.22,66.81,-116.74,0.001
-19.29,66.67,-115.47,0.0011
-19.07,67.19,-115.33,0.0011
-19.12,67.01,-114.81,0.0012
-18.36,67.62,-115.99,0.0013
-18.93,67.32,-115.72,0.0872
-18.59,67.84,-114.65,0.2471
-19.38,66.94,-115.84,0.4067
-19.03,67.41,-116.46,0.5705
-19.19,67.52,-116.29,0.7305
-19.13,67.16,-115.29,0.8901
-19.08,67.63,-115.53,1.0499
-19.18,66.95,-117.01,1.2136
-19.06,66.67,-116.03,1.3734
-19.34,66.3,-115.35,1.5334
-18.97,66.69,-116.26,1.6931
-18.84,67.27,-115.5,1.8568
-18.65,66.87,-117.31,2.0167
-18.36,67.35,-116.73,2.1764
-18.73,67.18,-116.47,2.3362
-18.87,67.21,-116.87,2.4999
-18.15,67.88,-117.1,2.6597
-19.62,67.02,-116.44,2.8195
-19.0,66.73,-115.67,2.9797
-19.54,66.79,-115.39,3.143
-20.47,66.57,-113.22,3.3029
-21.22,68.77,-110.8,3.4627
-18.12,60.59,-112.07,3.6225
-18.47,62.99,-112.7,3.7861
-4.77,79.17,-123.67,3.9465
-10.36,79.35,-117.25,4.1057
-19.39,69.87,-111.44,4.2656
-11.08,70.8,-114.6,4.4292
-13.81,74.91,-108.61,4.589
-18.61,64.6,-106.05,4.749
-17.0,70.98,-102.09,4.9088
-21.59,67.63,-94.67,5.0723
-19.23,30.59,-102.98,5.2323
-32.08,34.32,-109.58,5.392
-5.83,68.13,-125.88,5.5518
-10.91,47.02,-129.15,5.7156
-4.64,71.09,-119.7,5.8753
-11.05,75.55,-106.88,6.0351
-16.89,70.65,-101.24,6.1949
-21.64,52.6,-103.17,6.3585
-3.25,49.21,-110.98,6.5185
-32.55,31.15,-117.46,6.6782
-17.28,43.03,-130.83,6.8381
-14.52,72.51,-126.95,7.0017
29.89,43.0,-162.21,7.1615
-5.92,83.99,-118.27,7.3213
-15.36,67.97,-117.31,7.4812
-26.84,56.97,-107.29,7.6448
-13.47,73.58,-102.52,7.8046
-21.26,33.88,-101.39,7.9644
-26.72,32.91,-109.31,8.1242
1.72,57.98,-122.44,8.2841
-27.26,50.77,-102.79,8.4477
-12.82,74.04,-85.49,8.6074
-21.77,64.35,-79.31,8.7673
-8.33,72.38,-77.28,8.9271
-7.0,45.62,-89.53,9.0907
-38.88,27.77,-122.44,9.2507
-23.02,34.15,-139.95,9.4104
-11.43,73.58,-135.17,9.5702
-15.95,49.75,-144.36,9.7341
-12.14,75.07,-124.43,9.8937
-18.28,67.06,-121.64,10.0536
-18.41,66.74,-115.9,10.2172
-7.56,41.98,-133.71,10.3769
-41.28,26.54,-131.04,10.5368
-6.99,46.29,-142.29,10.6971
-8.53,53.32,-144.16,10.8564
-22.37,62.47,-129.21,11.0202
-17.47,69.97,-127.01,11.1805
-15.73,71.92,-123.25,11.3398
-24.53,55.11,-117.67,11.4996
-25.06,49.12,-115.57,11.6633
-27.99,57.88,-109.18,11.8232
-27.2,56.58,-107.63,11.983
-26.91,58.27,-108.05,12.1427
-23.56,61.75,-111.18,12.3064
-30.91,52.57,-108.19,12.4663
-28.83,57.56,-104.33,12.6261
-28.25,60.22,-103.62,12.7858
-21.94,62.37,-111.5,12.9496
-24.99,64.84,-109.38,13.1094
-24.65,60.3,-110.27,13.2691
-11.89,67.72,-118.61,13.429
-12.67,71.82,-119.39,13.5926
-14.85,61.79,-119.19,13.7524
-29.65,59.83,-109.78,13.9122
-16.83,67.59,-124.32,14.072
-18.68,66.14,-124.91,14.2357
-17.73,68.84,-124.52,14.3955
-18.93,67.17,-123.56,14.5554
-19.06,66.59,-123.38,14.7153
-18.51,67.38,-122.81,14.8788
-18.36,67.08,-123.71,15.0386
-18.55,67.16,-123.29,15.1984
-19.04,66.68,-122.53,15.3582
-19.15,66.59,-123.86,15.5219
-19.07,66.53,-122.4,15.6818
-18.86,66.56,-124.12,15.8415
-19.07,66.36,-123.65,16.0015
-19.43,66.44,-123.01,16.1653
-18.98,66.69,-123.64,16.3248
-18.85,66.54,-123.48,16.4848
-18.85,66.76,-122.72,16.6445
-19.15,66.47,-123.84,16.8081
-19.16,66.23,-124.43,16.9681
-19.07,66.53,-123.43,17.1277
-19.04,65.99,-123.18,17.2875
-18.98,66.29,-123.8,17.4513
-18.99,67.39,-123.55,17.611
-18.41,69.46,-122.5,17.7708
-17.75,71.92,-117.15,17.9308
-17.53,58.57,-120.14,18.0944
-16.51,62.62,-124.29,18.2542
-21.48,60.12,-124.91,18.414
-26.17,61.39,-115.46,18.5738
-10.54,75.04,-121.79,18.7375
-17.02,71.04,-114.66,18.8974
-15.46,73.55,-108.7,19.0571
-23.11,59.45,-102.64,19.2169
-10.82,49.83,-113.89,19.3806
-32.65,31.18,-127.96,19.5404
-17.69,44.91,-147.03,19.7004
0.08,86.44,-144.61,19.8599
-30.26,53.57,-130.57,20.0237
-17.69,70.38,-130.23,20.1836
-19.19,65.62,-127.6,20.3433
-10.47,74.33,-122.83,20.5032
-19.4,44.35,-132.99,20.6669
-30.08,29.16,-138.64,20.8266
-16.07,45.7,-151.25,20.9864
-5.85,45.38,-154.61,21.1464
15.26,51.66,-165.78,21.3099
-12.41,77.02,-136.74,21.4699
-23.46,61.82,-127.62,21.6297
-23.61,64.95,-121.63,21.7893
-6.69,66.17,-126.95,21.953
-24.72,29.89,-126.4,22.113
-22.67,39.91,-136.2,22.2727
-20.85,57.42,-137.03,22.4326
-32.21,57.37,-123.85,22.5962
-12.32,77.69,-129.05,22.756
-17.8,65.76,-126.44,22.916
-17.92,70.32,-118.52,23.0756
-19.97,69.89,-111.32,23.2392
-27.54,38.9,-132.05,23.3992
-29.63,27.29,-144.0,23.5589
-35.63,48.8,-137.8,23.7187
10.28,50.55,-166.16,23.8825
-16.64,72.68,-140.95,24.0422
-19.54,61.01,-139.37,24.202
-20.66,67.93,-131.69,24.362
-12.55,60.65,-137.82,24.5255
-30.33,23.63,-136.02,24.6853
-5.4,39.23,-151.69,24.8451
-11.1,78.74,-144.26,25.005
-26.69,56.61,-134.2,25.1685
