Roll,Pitch,Yaw,Time
-25.1,63.02,-107.72,0.0002
-17.69,68.26,-112.31,0.0004
-14.59,67.82,-115.82,0.0004
-12.85,71.43,-117.15,0.0005
-15.49,65.85,-114.3,0.0005
-17.77,67.28,-113.08,0.0006
-18.18,64.33,-113.68,0.0007
-17.33,67.01,-112.55,0.0007
-17.51,65.77,-112.88,0.0008
-17.2,65.77,-113.63,0.0008
-16.73,66.65,-114.59,0.0009
-16.83,64.12,-114.95,0.0009
-18.63,65.01,-112.21,0.001
-17.78,65.81,-111.03,0.001
-18.57,64.45,-111.92,0.0011
-18.94,63.28,-113.72,0.0011
-18.64,66.78,-112.23,0.0012
-17.83,68.0,-113.59,0.0012
-17.16,67.4,-113.27,0.0013
-17.29,68.76,-113.62,0.0824
-17.82,66.01,-113.67,0.2423
-16.86,67.1,-116.19,0.406
-17.33,64.83,-115.04,0.5658
-17.11,66.59,-113.67,0.7255
-17.21,66.99,-113.13,0.8854
-17.32,66.2,-113.9,1.049
-17.7,65.75,-111.88,1.2088
-17.8,65.26,-112.32,1.3687
-17.79,64.41,-114.93,1.5287
-18.3,64.35,-112.79,1.6883
-18.47,64.36,-113.79,1.852
-18.2,65.07,-113.74,2.012
-18.55,64.75,-113.18,2.1715
-18.27,65.22,-112.8,2.3316
-18.48,65.17,-112.83,2.4952
-18.62,65.17,-112.15,2.655
-18.43,64.97,-112.69,2.8148
-16.58,65.83,-114.07,2.9745
-19.33,64.64,-112.77,3.1382
-18.93,64.72,-112.36,3.298
-19.48,64.46,-111.36,3.4579
-18.02,65.65,-112.14,3.6176
-19.03,64.34,-111.56,3.7814
-20.65,63.52,-110.47,3.9412
-23.1,61.85,-108.49,4.101
-30.34,58.81,-103.52,4.2611
9.99,72.12,-138.45,4.4244
-3.98,61.33,-124.58,4.5844
-29.75,58.78,-103.39,4.7443
-33.84,43.77,-106.1,4.9039
-23.72,58.01,-108.45,5.0676
-19.32,60.01,-107.71,5.2275
-15.6,68.52,-107.55,5.3871
-14.92,74.77,-103.61,5.5471
-13.21,39.93,-107.86,5.7108
-42.08,28.03,-107.27,5.8706
-27.44,36.23,-111.46,6.0304
2.61,72.48,-126.18,6.1902
-15.66,69.68,-112.08,6.3538
-2.68,75.69,-119.62,6.5137
-15.23,70.06,-105.82,6.6735
-18.48,65.24,-100.49,6.8332
9.12,55.42,-120.44,6.997
-32.74,36.32,-106.0,7.1567
-13.93,44.97,-119.32,7.3165
-15.75,73.45,-107.74,7.4764
4.65,73.67,-126.4,7.64
-17.88,71.56,-107.03,7.7998
-18.04,71.75,-101.23,7.9597
1.41,61.74,-115.13,8.1194
-16.95,20.96,-119.73,8.2831
-33.77,35.16,-115.19,8.4429
-1.03,47.37,-133.23,8.6028
2.81,80.62,-126.1,8.7626
-7.24,61.33,-124.07,8.9264
-14.61,74.03,-108.29,9.086
-2.52,77.05,-111.14,9.2459
-24.38,34.16,-119.35,9.4055
-13.4,33.66,-130.37,9.5693
-35.26,43.78,-118.11,9.7292
-25.86,18.98,-125.91,9.8889
-8.82,76.63,-118.79,10.0488
-23.73,66.15,-110.46,10.2125
-12.41,67.06,-117.61,10.3722
20.47,41.73,-138.52,10.532
-33.71,14.57,-107.46,10.6918
-40.95,28.0,-107.42,10.8555
-19.02,34.22,-112.27,11.0154
-40.1,49.88,-93.5,11.1751
-18.68,61.51,-103.19,11.335
-21.75,58.46,-92.71,11.4986
-31.82,57.1,-78.52,11.6584
-25.45,33.69,-90.56,11.8182
-27.95,52.71,-86.69,11.9781
-11.54,69.79,-99.98,12.138
-7.08,79.43,-94.93,12.3015
-29.15,44.49,-101.57,12.4616
-9.33,68.38,-93.62,12.6213
-8.74,80.41,-88.66,12.7811
-8.24,81.72,-89.85,12.9449
-8.25,72.5,-85.74,13.1044
-54.4,23.3,-126.05,13.2644
-31.36,35.97,-117.03,13.4242
17.08,70.11,-129.47,13.5878
-38.46,50.68,-121.43,13.7478
-48.29,41.69,-134.96,13.9074
-17.15,42.61,-140.41,14.0674
-12.85,73.36,-110.39,14.231
11.57,67.53,-125.11,14.3907
12.1,56.07,-131.43,14.5505
-55.68,16.41,-141.56,14.7103
-41.59,32.23,-131.88,14.874
-18.16,27.88,-142.1,15.0337
25.78,59.47,-166.32,15.1939
-56.42,32.56,-129.52,15.3535
-30.87,58.59,-132.22,15.5171
-54.41,29.4,-132.47,15.6769
-2.7,78.24,-147.22,15.8366
-19.54,65.07,-136.77,15.9966
-13.14,69.15,-137.54,16.161
-23.37,59.93,-131.57,16.3201
-30.22,51.98,-128.9,16.4798
-25.98,57.42,-126.58,16.6396
-26.89,57.16,-123.26,16.8033
-31.75,53.84,-119.25,16.9633
-29.19,49.87,-115.67,17.123
-32.73,55.07,-105.31,17.2829
-14.65,68.4,-108.01,17.4466
-27.36,60.03,-101.67,17.6063
