Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.17,1.11,-0.09,-6.44,5.22,-15.09,-26.66,-13.48,-23.73,1.39,-0.16,-2.56,0.4158
0.23,1.07,0.0,-14.9,31.55,-27.96,-26.66,-14.06,-22.56,1.36,-0.21,-2.49,0.5797
0.2,1.05,-0.03,20.69,20.18,-30.65,-26.37,-14.36,-23.73,1.38,-0.19,-2.51,0.7435
0.13,1.0,-0.05,-0.82,-39.73,49.64,-26.95,-14.65,-23.44,1.43,-0.13,-2.53,0.9073
0.14,1.02,-0.04,25.05,-1.31,-12.02,-26.37,-14.65,-23.44,1.43,-0.13,-2.52,1.0711
0.18,1.08,-0.04,-31.67,3.11,11.97,-26.66,-13.48,-24.02,1.41,-0.16,-2.55,1.2311
0.25,0.99,0.02,61.16,-8.76,-34.37,-26.66,-13.48,-23.73,1.33,-0.25,-2.51,1.3949
-0.03,1.09,-0.36,101.25,-14.94,6.15,-25.2,-12.6,-27.83,1.26,0.02,-2.81,1.5587
0.02,0.9,-0.47,128.41,-24.52,-47.71,-24.02,-10.55,-30.47,1.09,-0.02,-2.85,1.7225
0.0,0.98,-0.83,144.4,10.45,-2.27,-21.09,-8.79,-34.57,0.87,-0.0,-2.92,1.8863
-0.08,0.58,-1.06,124.89,-17.34,-5.18,-17.87,-9.38,-39.26,0.5,0.07,-2.95,2.0501
-0.07,0.32,-1.18,138.24,-4.91,-28.08,-10.55,-7.62,-41.6,0.27,0.06,-2.9,2.21
-0.13,-0.15,-1.17,125.73,27.46,-8.17,-2.34,-7.62,-41.31,-0.13,0.11,-0.78,2.3739
-0.03,-0.47,-1.1,138.63,-11.62,-24.54,6.74,-8.79,-33.69,-0.4,0.03,-0.39,2.5377
0.08,-0.63,-0.86,57.42,5.78,8.38,8.2,-8.79,-25.78,-0.63,-0.08,-0.47,2.7014
0.03,-0.65,-0.84,-88.65,-56.34,-2.3,8.5,-8.79,-27.54,-0.66,-0.03,-0.39,2.8653
