Roll,Pitch,Time
-108.93,180.0,0.001
-109.1,180.0,0.001
-108.36,180.0,0.001
-109.59,180.0,0.001
-108.81,180.0,0.001
-109.28,180.0,0.002
-109.49,180.0,0.002
-109.09,180.0,0.002
-108.92,180.0,0.005
-108.77,180.0,0.1121
-108.85,180.0,0.2146
-107.94,180.0,0.321
-108.56,180.0,0.4237
-108.3,180.0,0.5257
-108.59,180.0,0.6317
-109.37,180.0,0.7346
-106.95,180.0,0.8367
-109.1,180.0,0.9437
-107.16,180.0,1.0457
-107.01,180.0,1.1517
-106.89,180.0,1.2545
-107.43,180.0,1.3575
-106.62,180.0,1.4636
-107.3,180.0,1.5659
-107.27,180.0,1.6679
-107.55,180.0,1.7749
-106.65,180.0,1.8769
-105.18,180.0,1.9839
-105.39,180.0,2.086
-111.94,180.0,2.188
-100.78,180.0,2.2948
-94.73,180.0,2.3968
-95.05,180.0,2.4998
-113.19,180.0,2.6059
-131.44,180.0,2.7091
-122.64,180.0,2.8158
-104.64,180.0,2.9175
-78.91,180.0,3.0201
-93.48,180.0,3.1261
-102.63,180.0,3.2287
-113.95,180.0,3.3316
-108.75,180.0,3.4376
-108.31,180.0,3.5399
-99.81,180.0,3.6419
-119.04,180.0,3.749
-99.66,180.0,3.8514
-109.68,180.0,3.9574
-154.33,180.0,4.0604
-164.83,180.0,4.1624
-164.14,180.0,4.2695
-106.7,180.0,4.3716
-121.87,180.0,4.4737
-115.5,180.0,4.5802
-113.57,180.0,4.6824
-110.21,180.0,4.7895
-116.07,180.0,4.8917
-120.18,180.0,4.9938
-105.29,180.0,5.1008
-83.37,180.0,5.2038
-140.45,180.0,5.305
-159.73,180.0,5.4111
-168.18,180.0,5.5142
-144.61,180.0,5.6201
-57.51,180.0,5.7233
-86.47,180.0,5.8254
-112.37,180.0,5.932
-98.38,180.0,6.034
-117.84,180.0,6.137
-113.71,180.0,6.2435
-114.17,180.0,6.3455
-111.72,180.0,6.4515
-86.66,180.0,6.5547
-142.71,180.0,6.6569
-162.54,180.0,6.7628
-165.15,180.0,6.8656
-147.17,180.0,6.968
-94.79,180.0,7.0749
-127.99,180.0,7.1775
-99.73,180.0,7.2829
-116.23,180.0,7.3864
-94.06,180.0,7.4878
-101.44,180.0,7.5948
-100.98,180.0,7.6974
-107.33,180.0,7.7998
-102.46,180.0,7.9063
-103.61,180.0,8.0083
-108.5,180.0,8.1154
-111.41,180.0,8.2173
-112.69,180.0,8.3192
-112.37,180.0,8.4265
-111.54,180.0,8.5283
-111.83,180.0,8.6312
-112.99,180.0,8.738
-113.76,180.0,8.8403
-113.18,180.0,8.946
-114.13,180.0,9.0493
-116.67,180.0,9.1513
-112.75,180.0,9.2578
-114.16,180.0,9.3603
-114.38,180.0,9.463
-114.84,180.0,9.5694
-116.84,180.0,9.6715
-115.99,180.0,9.7771
-116.26,180.0,9.8803
-115.11,180.0,9.9825
-117.51,180.0,10.0897
-115.36,180.0,10.1921
-115.45,180.0,10.2947
-114.11,180.0,10.4008
-115.47,180.0,10.5038
-116.01,180.0,10.6061
