Roll,Pitch,Time
-119.95,180.0,0.0
-120.51,180.0,0.001
-119.88,180.0,0.001
-119.51,180.0,0.001
-121.1,180.0,0.001
-121.27,180.0,0.001
-122.58,180.0,0.001
-122.81,180.0,0.002
-124.21,180.0,0.002
-125.04,180.0,0.002
-126.62,180.0,0.002
-126.67,180.0,0.002
-126.58,180.0,0.002
-126.0,180.0,0.002
-125.66,180.0,0.002
-124.7,180.0,0.003
-123.51,180.0,0.003
-122.08,180.0,0.003
-121.85,180.0,0.003
-122.22,180.0,0.003
-122.53,180.0,0.003
-122.4,180.0,0.003
-122.8,180.0,0.003
-122.78,180.0,0.004
-123.09,180.0,0.004
-122.84,180.0,0.004
-121.75,180.0,0.004
-120.21,180.0,0.004
-118.51,180.0,0.004
-117.1,180.0,0.004
-116.45,180.0,0.005
-116.72,180.0,0.005
-114.7,180.0,0.005
-112.39,180.0,0.005
-110.33,180.0,0.005
-110.85,180.0,0.005
-112.47,180.0,0.005
-111.86,180.0,0.005
-109.87,180.0,0.006
-106.17,180.0,0.006
-101.21,180.0,0.006
-102.45,180.0,0.006
-98.88,180.0,0.006
-102.18,180.0,0.006
-107.86,180.0,0.006
-109.39,180.0,0.006
-111.64,180.0,0.007
-113.11,180.0,0.007
-112.58,180.0,0.007
-110.41,180.0,0.007
-106.48,180.0,0.007
-103.09,180.0,0.007
-100.48,180.0,0.007
-97.43,180.0,0.007
-97.15,180.0,0.008
-99.05,180.0,0.008
-97.95,180.0,0.008
-98.22,180.0,0.0086
-98.43,180.0,0.0086
-97.79,180.0,0.0091
-97.08,180.0,0.0091
-96.58,180.0,0.0091
-95.87,180.0,0.0091
-96.28,180.0,0.0091
-95.15,180.0,0.0101
-94.42,180.0,0.0101
-92.67,180.0,0.0101
-93.73,180.0,0.0101
-93.71,180.0,0.0101
-94.04,180.0,0.0111
-95.17,180.0,0.0111
-96.67,180.0,0.0111
-96.75,180.0,0.0111
-97.43,180.0,0.0111
-94.2,180.0,0.0121
-97.32,180.0,0.0121
-99.16,180.0,0.0121
-95.28,180.0,0.0121
-94.44,180.0,0.0121
-97.4,180.0,0.0131
-103.74,180.0,0.0131
-110.01,180.0,0.0131
-117.02,180.0,0.0131
-124.67,180.0,0.0131
-129.15,180.0,0.0141
-132.9,180.0,0.0141
-132.51,180.0,0.0141
-131.36,180.0,0.0141
-131.87,180.0,0.0141
-131.35,180.0,0.0151
-130.35,180.0,0.0151
-128.58,180.0,0.0151
-126.44,180.0,0.0151
-127.49,180.0,0.0156
-129.15,180.0,0.0156
-131.85,180.0,0.0156
-134.91,180.0,0.0156
-125.32,180.0,0.0156
-131.75,180.0,0.0161
-133.65,180.0,0.0161
-133.58,180.0,0.0161
-132.49,180.0,0.0161
-133.28,180.0,0.0161
-134.48,180.0,0.0161
-134.33,180.0,0.0161
-131.63,180.0,0.0161
-131.11,180.0,0.0171
-132.9,180.0,0.0171
-136.19,180.0,0.0171
-139.56,180.0,0.0171
-141.98,180.0,0.0171
-143.61,180.0,0.0171
-145.29,180.0,0.0171
-145.89,180.0,0.0171
-147.37,180.0,0.0171
-147.92,180.0,0.0181
-147.33,180.0,0.0181
-146.16,180.0,0.0181
-146.16,180.0,0.0181
-147.08,180.0,0.0181
-146.81,180.0,0.0181
-146.4,180.0,0.0181
-147.58,180.0,0.0181
-148.35,180.0,0.0191
-147.85,180.0,0.0192
-148.23,180.0,0.0192
-147.79,180.0,0.0192
-147.41,180.0,0.0192
-147.91,180.0,0.0197
-148.23,180.0,0.0197
-148.72,180.0,0.0197
-147.5,180.0,0.0197
-144.46,180.0,0.0197
-144.28,180.0,0.0197
-144.74,180.0,0.0197
-143.99,180.0,0.0197
-141.33,180.0,0.0207
-138.26,180.0,0.0207
-136.87,180.0,0.0207
-136.52,180.0,0.0207
-137.66,180.0,0.0207
-136.62,180.0,0.0207
-137.03,180.0,0.0207
-137.13,180.0,0.0207
-136.22,180.0,0.0207
-135.14,180.0,0.0217
-132.4,180.0,0.0217
-132.6,180.0,0.0217
-131.03,180.0,0.0217
-131.12,180.0,0.0217
-131.44,180.0,0.0217
-131.67,180.0,0.0217
-131.82,180.0,0.0217
-129.75,180.0,0.0227
-126.29,180.0,0.0227
-128.32,180.0,0.0227
-121.0,180.0,0.0227
-116.28,180.0,0.0227
-113.67,180.0,0.0227
-111.3,180.0,0.0227
-109.09,180.0,0.0227
-110.25,180.0,0.0237
-108.86,180.0,0.0237
-107.63,180.0,0.0237
-104.58,180.0,0.0237
-103.8,180.0,0.0237
-103.2,180.0,0.0237
-103.17,180.0,0.0237
-101.92,180.0,0.0237
-99.58,180.0,0.0237
-102.13,180.0,0.0247
-103.05,180.0,0.0247
-106.3,180.0,0.0247
-108.5,180.0,0.0247
-108.31,180.0,0.0247
-106.54,180.0,0.0247
-106.56,180.0,0.0247
-108.86,180.0,0.0247
-109.79,180.0,0.0257
-109.68,180.0,0.0257
-109.58,180.0,0.0257
-108.85,180.0,0.0257
-108.68,180.0,0.0257
-108.18,180.0,0.0257
-108.13,180.0,0.0257
-107.57,180.0,0.0257
-106.14,180.0,0.0267
-105.52,180.0,0.0267
-105.2,180.0,0.0267
-104.07,180.0,0.0267
-103.86,180.0,0.0267
-104.8,180.0,0.0267
-105.39,180.0,0.0267
-105.78,180.0,0.0267
-106.23,180.0,0.0267
-107.53,180.0,0.0277
-108.08,180.0,0.0277
-107.71,180.0,0.0277
-107.86,180.0,0.0277
-108.21,180.0,0.0277
-108.97,180.0,0.0277
-111.92,180.0,0.0277
-112.37,180.0,0.0277
-114.85,180.0,0.0287
-116.43,180.0,0.0287
-116.81,180.0,0.0287
-115.58,180.0,0.0287
-116.01,180.0,0.0287
-118.52,180.0,0.0287
-120.67,180.0,0.0287
-121.92,180.0,0.0287
-121.93,180.0,0.0287
-122.72,180.0,0.0297
-122.63,180.0,0.0297
-124.88,180.0,0.0297
-125.02,180.0,0.0297
-127.31,180.0,0.0297
-128.41,180.0,0.0297
-131.52,180.0,0.0297
-132.92,180.0,0.0297
-134.31,180.0,0.0307
-135.5,180.0,0.0307
-136.36,180.0,0.0307
-140.45,180.0,0.0307
-141.6,180.0,0.0307
-141.43,180.0,0.0307
-142.41,180.0,0.0307
-142.65,180.0,0.0307
-142.95,180.0,0.0317
-142.27,180.0,0.0317
-143.86,180.0,0.0317
-145.2,180.0,0.0317
-146.97,180.0,0.0317
-147.65,180.0,0.0317
-148.0,180.0,0.0324
-147.13,180.0,0.0324
-144.77,180.0,0.0324
-145.07,180.0,0.0327
-148.32,180.0,0.0327
-155.84,180.0,0.0327
-163.28,180.0,0.0327
-169.51,180.0,0.0327
-84.34,180.0,0.0327
-177.12,180.0,0.0327
-164.42,180.0,0.0327
-161.68,180.0,0.0337
-166.05,180.0,0.0337
-166.15,180.0,0.0337
-88.07,180.0,0.0337
-97.88,180.0,0.0337
-96.56,180.0,0.0337
-88.5,180.0,0.0337
-89.73,180.0,0.0337
-100.92,180.0,0.0337
-119.14,180.0,0.0347
-132.17,180.0,0.0347
-129.43,180.0,0.0347
-117.07,180.0,0.0347
-107.24,180.0,0.0347
-108.25,180.0,0.0347
-122.5,180.0,0.0347
