Roll,Pitch,Time
-129.59,2.94,0.0005
-128.64,3.15,0.0011
-128.35,2.88,0.0013
-129.56,2.83,0.0015
-127.38,2.54,0.0016
-129.87,1.96,0.0017
-128.57,3.05,0.0019
-128.7,2.09,0.002
-127.93,2.8,0.0021
-128.54,2.09,0.0022
-128.0,1.37,0.0024
-128.19,2.33,0.0025
-127.5,2.56,0.0026
-127.45,2.97,0.0027
-128.43,2.88,0.0029
-127.83,2.99,0.003
-127.95,2.79,0.0031
-127.88,2.9,0.0032
-127.42,3.37,0.0034
-128.22,1.29,0.0035
-128.2,1.93,0.0036
-128.2,2.01,0.0037
-128.84,2.47,0.0039
-128.62,2.5,0.004
-128.12,2.68,0.0041
-128.59,3.12,0.0042
-128.03,3.19,0.0044
-127.05,0.96,0.0045
-127.7,2.81,0.0046
-127.74,2.51,0.0047
-127.41,3.06,0.0048
-127.54,2.45,0.005
-127.77,2.97,0.0051
-127.76,2.54,0.0052
-128.61,3.02,0.0053
-128.22,2.69,0.0055
-127.82,2.47,0.0056
-127.6,3.1,0.0057
-127.97,3.34,0.0058
-129.57,2.77,0.006
-128.11,3.0,0.0061
-126.25,4.18,0.0062
-128.72,2.82,0.0063
-126.78,3.25,0.0065
-127.93,2.74,0.0066
-128.27,3.12,0.0067
-128.99,3.36,0.0069
-128.17,2.88,0.007
-128.6,2.81,0.0071
-127.72,2.93,0.0072
-127.5,2.78,0.0073
-128.27,3.13,0.0075
-127.97,3.34,0.0076
-127.53,3.39,0.0077
-127.66,2.92,0.0078
-128.48,3.86,0.008
-126.75,3.39,0.0081
-127.98,2.3,0.0082
-127.34,3.07,0.0083
-128.02,3.24,0.0085
-127.0,3.3,0.0086
-127.83,3.86,0.0087
-127.91,2.18,0.0089
-128.46,2.17,0.009
-128.21,3.96,0.0091
-128.9,3.76,0.0092
-128.0,2.91,0.0093
-129.03,3.17,0.0095
-128.28,2.92,0.0096
-128.44,2.64,0.0097
-128.99,3.81,0.0098
-128.11,3.13,0.01
-128.48,2.89,0.0101
-128.78,3.01,0.0102
-128.55,2.73,0.0103
-127.75,2.75,0.0105
-128.21,3.02,0.0106
-128.51,3.03,0.0107
-127.33,2.85,0.0108
-129.09,3.05,0.011
-128.14,3.68,0.0111
-127.55,2.55,0.0112
-127.46,3.78,0.0298
