,Roll,Pitch,Time
10,-138.29,1.48,0.0022
11,-138.72,1.56,0.0024
12,-137.73,1.57,0.0025
13,-138.53,2.7,0.0026
14,-138.62,3.51,0.0027
15,-138.32,2.52,0.0028
16,-137.64,2.6,0.003
17,-138.04,2.7,0.0031
18,-137.5,2.61,0.0032
19,-137.85,2.58,0.0034
20,-137.73,3.16,0.0035
21,-136.67,2.8,0.0036
22,-137.42,2.41,0.0037
23,-137.42,2.8,0.0038
24,-138.01,2.09,0.004
25,-138.18,2.95,0.0041
26,-137.09,2.82,0.0042
27,-138.25,2.7,0.0044
28,-138.39,3.16,0.0045
29,-138.33,2.12,0.0046
30,-137.6,2.2,0.0047
31,-138.63,2.4,0.0049
32,-138.05,2.74,0.005
33,-138.26,2.62,0.0051
34,-139.38,2.78,0.0053
35,-138.0,2.06,0.0054
36,-139.11,1.92,0.0055
37,-138.28,2.41,0.0056
38,-138.41,2.03,0.0057
39,-138.24,2.76,0.0059
40,-139.2,1.92,0.006
41,-138.54,1.92,0.0061
42,-137.49,1.94,0.0062
43,-138.23,2.06,0.0063
44,-138.31,2.71,0.0065
45,-138.32,2.83,0.0066
46,-139.08,2.03,0.0067
47,-138.23,2.35,0.0068
48,-137.84,2.56,0.007
49,-138.18,2.33,0.0071
50,-138.8,1.87,0.0072
51,-137.44,2.17,0.0073
52,-138.54,1.75,0.0074
53,-139.3,1.62,0.0076
54,-136.84,0.08,0.0077
55,-138.18,0.78,0.0078
56,-138.08,0.92,0.0079
57,-137.03,2.9,0.008
58,-137.7,2.17,0.0082
59,-138.14,1.05,0.0083
60,-136.77,1.03,0.0084
61,-137.86,1.47,0.0085
62,-137.8,1.41,0.0086
63,-137.03,3.09,0.0088
64,-137.57,1.55,0.0089
65,-138.34,1.99,0.009
66,-137.53,2.64,0.0091
67,-138.27,1.45,0.0093
68,-138.12,1.59,0.0094
69,-138.03,1.61,0.0095
70,-137.93,2.01,0.0096
71,-138.48,2.21,0.0097
72,-138.42,1.75,0.0099
73,-139.54,2.06,0.01
74,-139.95,2.77,0.0101
75,-138.07,1.7,0.0102
76,-140.47,0.31,0.0104
77,-140.63,0.98,0.0105
78,-140.59,1.39,0.0106
79,-141.38,1.32,0.0107
80,-139.43,0.5,0.0108
81,-138.87,2.38,0.011
82,-140.35,1.67,0.0111
83,-139.19,1.31,0.0112
84,-139.0,2.5,0.0113
85,-139.09,1.97,0.0115
86,-139.72,1.67,0.0116
87,-138.45,1.23,0.0117
88,-139.13,1.94,0.0118
89,-139.09,2.33,0.0119
90,-139.01,1.78,0.0121
91,-139.03,1.67,0.0122
92,-138.77,1.67,0.0123
93,-138.65,2.17,0.0124
94,-139.03,2.26,0.0125
95,-138.61,2.04,0.0127
96,-138.92,2.25,0.0128
97,-139.07,2.33,0.0129
98,-138.9,1.89,0.013
99,-139.03,1.92,0.0131
100,-140.0,2.34,0.0133
101,-139.72,2.01,0.0134
102,-139.03,1.98,0.0135
103,-139.57,0.95,0.0136
104,-139.41,1.45,0.0137
105,-139.16,1.76,0.0138
106,-139.3,2.11,0.0139
107,-138.83,2.22,0.014
108,-138.12,1.36,0.0141
109,-139.22,2.29,0.0142
110,-137.86,2.48,0.0143
111,-138.36,2.34,0.0144
112,-138.52,1.33,0.0145
113,-138.72,1.31,0.0146
114,-137.84,1.0,0.0148
115,-137.25,2.32,0.0149
116,-138.63,2.76,0.015
117,-133.43,1.53,0.0151
118,-136.76,0.84,0.0152
119,-136.94,3.32,0.0153
120,-136.15,2.23,0.0154
121,-135.65,4.88,0.0155
122,-136.43,4.37,0.0156
123,-136.18,4.09,0.0157
124,-134.94,3.33,0.0158
125,-133.87,0.14,0.0159
126,-134.32,0.06,0.016
127,-132.56,2.86,0.0161
128,-134.72,1.26,0.0162
129,-134.86,2.02,0.0163
130,-137.45,4.05,0.0164
131,-132.52,2.6,0.0165
132,-138.47,3.09,0.0166
133,-137.15,2.79,0.0167
134,-135.74,1.36,0.0168
135,-139.21,3.35,0.0169
136,-136.33,2.39,0.017
137,-138.21,2.77,0.0171
138,-138.58,2.33,0.0172
139,-136.65,1.89,0.0174
140,-137.91,2.3,0.0175
141,-137.74,1.69,0.0176
142,-137.88,2.9,0.0177
