Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
-0.08,-1.0,-0.22,-43.56,-140.58,61.31,6.74,-46.58,-31.64,-1.34,0.08,-0.88,0.0016
-0.07,-1.28,-0.12,-43.01,-106.19,163.31,4.69,-43.36,-32.81,-1.46,0.06,-0.86,0.0023
-0.28,-0.17,-1.11,-250.0,66.68,91.9,1.17,-39.55,-36.62,-0.15,0.24,-1.31,0.0029
-0.38,-0.78,-0.38,-250.0,126.52,159.17,-5.86,-39.84,-40.14,-0.96,0.42,-0.47,0.0035
-0.98,-1.04,-1.41,-55.52,-7.83,71.12,-7.03,-40.14,-40.43,-0.55,0.51,-0.6,0.0041
-0.45,-0.53,-0.37,83.9,-121.57,-19.64,-5.57,-38.38,-39.55,-0.74,0.61,-0.27,0.0047
-0.4,-0.55,-0.97,51.29,-125.85,4.14,-3.81,-37.21,-37.5,-0.48,0.35,-0.87,0.0054
-0.36,-0.31,-1.11,-44.92,98.12,-77.19,-3.52,-38.09,-39.26,-0.26,0.3,-1.22,0.006
-0.39,-0.42,-0.63,-24.63,186.08,104.31,-5.57,-40.43,-40.72,-0.52,0.47,-0.67,0.0066
-0.88,-0.68,-0.95,-95.44,-8.1,-51.29,-7.62,-42.19,-42.77,-0.49,0.65,-0.36,0.0072
-0.48,-0.54,-0.35,2.18,-21.55,70.81,-7.62,-41.6,-42.48,-0.74,0.64,-0.23,0.0078
-0.57,-0.73,-0.86,108.76,-53.91,-3.85,-4.98,-40.14,-41.31,-0.61,0.46,-0.56,0.0085
-0.43,-0.39,-0.9,105.42,-57.43,-17.94,-2.64,-39.55,-40.72,-0.37,0.42,-0.86,0.0091
-0.06,-0.12,-0.58,13.92,65.23,108.79,-2.64,-39.55,-41.31,-0.21,0.11,-1.38,0.0097
-0.51,-0.51,-1.02,-103.79,175.58,25.76,-5.27,-42.48,-43.07,-0.42,0.42,-0.86,0.0103
-0.94,-0.68,-0.96,27.4,119.58,98.01,-4.98,-45.7,-44.53,-0.47,0.67,-0.32,0.0109
-0.93,-0.75,-0.88,110.85,-13.88,58.49,-3.52,-45.7,-43.95,-0.53,0.68,-0.27,0.0115
-0.94,-0.53,-1.19,108.96,-195.82,-93.57,-0.29,-42.77,-42.19,-0.34,0.62,-0.48,0.012
-0.19,-0.07,-0.8,181.37,-54.44,88.01,2.34,-41.02,-40.43,-0.08,0.24,-1.37,0.0125
-0.29,-0.07,-0.97,-51.24,60.46,55.14,0.88,-41.02,-40.14,-0.07,0.29,-1.42,0.013
-0.46,-0.26,-0.71,-168.16,88.15,60.85,-2.05,-42.77,-42.48,-0.3,0.55,-0.76,0.0136
-0.77,-0.7,-0.97,-76.26,0.32,55.52,-4.69,-42.48,-43.65,-0.51,0.57,-0.45,0.0141
-0.6,-0.67,-0.78,35.76,-112.51,-21.82,-3.81,-40.72,-42.77,-0.6,0.53,-0.43,0.0146
-0.45,-0.54,-1.01,75.55,-77.37,-94.54,-1.17,-40.43,-40.72,-0.46,0.37,-0.8,0.0151
-0.45,-0.4,-1.14,67.61,197.78,6.77,0.0,-44.53,-40.72,-0.31,0.35,-1.03,0.0157
-0.73,-0.38,-0.99,30.0,249.99,86.26,0.88,-49.8,-41.02,-0.3,0.6,-0.74,0.0162
-1.14,-0.36,-0.9,-56.79,6.3,-66.96,-0.88,-51.56,-41.31,-0.25,0.87,-0.12,0.0167
-0.6,-0.18,-0.29,-19.55,-250.0,13.02,-1.76,-46.0,-41.6,-0.27,1.05,0.75,0.0174
-0.41,-0.49,-1.28,-41.89,-211.27,16.04,-2.34,-41.02,-40.43,-0.35,0.29,-1.07,0.0179
-0.2,-0.41,-1.06,-74.05,25.02,-10.67,-4.39,-40.72,-40.14,-0.37,0.18,-1.21,0.0185
-0.3,-0.43,-0.71,-48.46,228.38,2.13,-5.27,-45.41,-41.02,-0.51,0.35,-0.93,0.019
-0.8,-0.66,-0.97,96.58,171.29,-22.29,-3.52,-48.93,-41.31,-0.49,0.6,-0.58,0.0195
-1.05,-0.42,-1.12,186.8,-35.44,-82.68,-0.29,-50.39,-39.84,-0.27,0.72,-0.61,0.0201
-0.89,-0.18,-1.33,51.25,-127.01,-60.17,0.88,-48.05,-38.67,-0.11,0.58,-1.2,0.0206
-0.28,0.03,-0.72,-1.28,-31.45,22.11,1.17,-47.75,-38.38,0.04,0.37,-1.6,0.0211
-0.31,-0.14,-0.93,-36.64,24.2,78.28,-0.29,-46.88,-38.96,-0.14,0.32,-1.35,0.0215
-0.28,-0.37,-0.71,-104.99,42.37,145.67,-2.34,-45.12,-40.72,-0.45,0.34,-0.94,0.022
-0.56,-0.65,-0.87,-149.74,-98.88,14.96,-4.69,-43.07,-40.43,-0.56,0.48,-0.65,0.0224
-0.43,-0.78,-1.05,58.27,-44.01,-18.44,-4.39,-42.19,-39.26,-0.6,0.32,-0.84,0.0229
