Ax,Ay,Az,Gx,Gy,Gz,Mx,My,MZ,Roll,Pitch,Yaw,Time
0.18,0.94,-0.25,-5.0,-3.48,-156.07,-26.07,-40.43,-28.71,1.26,-0.18,-2.13,0.0017
0.15,1.03,-0.2,-18.86,-44.44,-197.93,-24.61,-35.45,-28.12,1.33,-0.15,-2.19,0.0023
-0.52,0.93,-0.13,-48.74,-59.57,-250.0,-23.14,-31.05,-27.54,1.05,0.51,-2.85,0.0029
-0.52,0.69,-0.09,23.23,-4.31,-143.87,-19.92,-29.0,-27.54,0.92,0.64,-2.99,0.0036
-0.6,0.47,-0.16,-18.4,9.66,-95.98,-17.87,-27.54,-28.12,0.65,0.88,3.03,0.0042
-0.82,0.41,-0.08,26.05,-25.36,-129.97,-14.94,-27.25,-27.25,0.47,1.1,2.76,0.0048
-0.84,0.28,-0.04,1.01,-7.64,-36.7,-13.48,-26.95,-27.83,0.32,1.25,2.49,0.0054
-0.84,0.27,-0.04,-6.68,-3.33,36.18,-15.23,-26.66,-27.83,0.32,1.25,2.52,0.006
-0.84,0.27,-0.05,-6.96,-7.94,54.63,-15.53,-26.66,-26.95,0.32,1.25,2.55,0.0066
-0.69,0.34,-0.04,-12.37,14.07,126.91,-17.87,-27.25,-27.54,0.46,1.11,2.77,0.0072
-0.79,0.48,-0.03,2.69,-3.28,90.3,-19.34,-28.12,-27.25,0.54,1.03,2.9,0.0078
-0.67,0.66,-0.02,12.54,-9.7,116.07,-21.09,-29.3,-27.25,0.78,0.79,-3.12,0.0084
-0.68,0.7,-0.04,4.48,6.05,16.46,-21.09,-30.18,-27.25,0.8,0.77,-3.08,0.009
-0.58,0.73,-0.06,6.23,6.59,50.41,-21.68,-30.47,-27.83,0.9,0.67,-3.0,0.0096
-0.57,0.78,-0.05,-6.85,0.98,52.07,-22.27,-31.35,-27.25,0.93,0.64,-2.95,0.0101
-0.57,0.78,-0.05,-3.43,-15.65,59.23,-24.02,-32.23,-26.37,0.94,0.63,-2.92,0.0106
-0.41,0.8,-0.05,15.82,36.59,103.68,-24.61,-34.28,-26.66,1.1,0.47,-2.76,0.0111
-0.33,0.91,-0.03,5.25,-0.51,64.57,-25.49,-35.45,-26.95,1.22,0.35,-2.64,0.0116
-0.28,0.93,-0.04,0.72,-7.86,38.45,-25.49,-36.04,-27.83,1.28,0.29,-2.58,0.0121
-0.24,0.94,-0.03,4.49,-4.48,9.21,-25.2,-36.62,-27.25,1.32,0.25,-2.52,0.0126
-0.19,0.93,-0.04,7.41,-9.16,17.41,-25.2,-36.91,-26.66,1.36,0.2,-2.46,0.0131
-0.17,1.0,-0.02,-6.86,2.77,59.82,-26.37,-38.38,-26.95,1.4,0.16,-2.4,0.0136
-0.1,0.98,-0.0,5.55,-4.44,56.02,-26.95,-38.67,-26.07,1.47,0.1,-2.31,0.0141
-0.08,1.01,-0.01,-3.62,-3.17,18.08,-26.37,-39.26,-26.37,1.49,0.08,-2.28,0.0146
-0.04,1.03,-0.01,11.71,-0.53,38.08,-26.95,-40.72,-26.07,1.53,0.04,-2.2,0.0152
-0.01,1.02,-0.01,3.36,12.36,49.07,-27.25,-41.6,-25.78,1.56,0.01,-2.14,0.0157
0.1,1.02,-0.04,7.55,26.7,78.47,-26.66,-43.95,-26.66,1.46,-0.1,-2.06,0.0162
0.19,0.99,-0.03,45.04,38.09,147.51,-25.49,-46.0,-27.25,1.38,-0.19,-1.99,0.0167
0.29,0.8,-0.09,88.55,4.83,74.82,-25.2,-46.88,-27.54,1.2,-0.35,-1.9,0.0172
0.81,0.99,-0.03,105.17,150.36,96.88,-24.32,-50.1,-29.3,0.88,-0.69,-1.72,0.0177
0.29,0.91,-0.28,-40.37,-117.39,-64.54,-24.32,-49.22,-29.0,1.16,-0.29,-1.95,0.0183
0.55,0.85,-0.2,11.15,95.66,59.23,-24.02,-51.86,-28.71,0.97,-0.56,-1.75,0.0188
0.54,0.97,-0.11,-2.61,-48.99,-16.78,-23.14,-50.98,-28.12,1.06,-0.5,-1.77,0.0193
0.73,0.83,-0.23,35.42,79.38,18.34,-24.02,-50.68,-27.54,0.82,-0.71,-1.7,0.0198
0.57,0.84,-0.13,30.84,28.06,-26.59,-23.73,-52.15,-27.83,0.96,-0.6,-1.72,0.0202
0.46,0.9,-0.12,53.16,94.73,43.21,-21.97,-52.44,-26.95,1.09,-0.46,-1.75,0.0206
0.48,1.14,-0.16,22.79,-47.05,-1.17,-22.85,-51.86,-28.71,1.15,-0.4,-1.82,0.0211
0.42,0.72,-0.2,26.74,-48.3,-1.93,-21.97,-51.27,-28.71,1.0,-0.51,-1.77,0.0215
0.86,1.01,-0.33,-24.58,21.22,22.91,-21.68,-51.56,-28.42,0.83,-0.68,-1.69,0.022
0.56,0.85,-0.28,28.72,-11.29,-7.0,-22.27,-52.73,-29.0,0.94,-0.56,-1.74,0.0224
0.57,0.97,-0.28,-10.55,17.75,34.46,-21.68,-53.03,-28.12,0.99,-0.52,-1.74,0.0229
0.72,1.32,-0.22,-76.33,44.63,87.44,-19.92,-54.2,-28.12,1.05,-0.49,-1.72,0.0233
0.69,0.56,-0.23,28.47,-2.45,44.34,-19.63,-54.49,-27.54,0.65,-0.86,-1.6,0.0238
0.82,0.52,-0.18,15.56,-5.74,-7.77,-19.63,-55.08,-26.66,0.56,-0.98,-1.58,0.0243
0.92,0.77,-0.18,-25.51,64.99,-4.85,-19.92,-54.79,-25.78,0.68,-0.86,-1.56,0.0247
0.76,0.94,-0.06,-43.96,7.35,-23.86,-20.51,-54.2,-25.49,0.89,-0.68,-1.6,0.0251
0.7,0.6,-0.03,8.13,3.17,-22.31,-20.21,-53.91,-24.32,0.71,-0.86,-1.55,0.0256
0.72,0.7,-0.03,2.82,-3.25,-20.95,-21.09,-54.49,-25.2,0.77,-0.8,-1.57,0.026
0.68,0.91,0.0,17.11,-6.23,24.59,-20.51,-53.61,-25.2,0.93,-0.65,-1.62,0.0265
0.69,0.84,-0.05,11.02,-12.66,27.79,-20.51,-55.66,-25.78,0.88,-0.69,-1.59,0.0269
0.87,0.67,-0.03,-11.84,25.73,11.47,-19.92,-55.37,-25.2,0.65,-0.92,-1.54,0.0274
1.06,0.68,-0.13,5.26,106.67,-18.11,-20.51,-55.66,-24.61,0.57,-0.99,-1.56,0.0278
0.44,0.71,0.03,-59.28,-25.38,-123.08,-21.39,-55.08,-22.85,1.01,-0.56,-1.62,0.0283
0.78,1.57,0.17,-117.46,128.04,-16.47,-21.39,-54.2,-21.09,1.1,-0.46,-1.66,0.0288
0.34,1.27,0.3,-88.97,45.94,-11.64,-20.51,-53.32,-18.16,1.22,-0.26,-1.76,0.0292
0.42,0.78,0.34,-16.21,26.99,24.83,-21.09,-54.49,-17.87,0.96,-0.46,-1.66,0.0297
0.45,0.82,0.39,4.97,-1.39,48.87,-19.63,-54.79,-18.16,0.94,-0.46,-1.66,0.0301
0.51,0.81,0.27,-75.65,-92.24,-16.69,-18.16,-55.08,-17.87,0.95,-0.54,-1.57,0.0305
0.74,0.45,0.19,-3.69,57.54,68.54,-17.87,-55.37,-16.99,0.53,-0.99,-1.5,0.031
0.7,0.9,0.35,-52.34,-28.56,-4.3,-17.29,-56.54,-18.16,0.85,-0.63,-1.53,0.0314
0.68,0.81,0.5,-74.07,-84.65,-32.71,-18.46,-56.84,-19.34,0.76,-0.62,-1.6,0.0318
1.11,1.24,0.29,12.69,7.8,39.11,-18.75,-56.54,-20.21,0.83,-0.72,-1.51,0.0322
0.66,0.76,0.33,-6.18,-56.3,-64.68,-18.46,-57.13,-20.51,0.8,-0.67,-1.55,0.0326
0.64,0.61,0.31,28.98,-13.31,-11.11,-19.04,-57.13,-20.8,0.71,-0.75,-1.55,0.033
0.6,0.71,0.23,34.57,-141.18,-88.97,-20.51,-55.66,-23.14,0.84,-0.68,-1.59,0.0334
0.89,0.8,0.1,10.7,34.88,35.99,-21.09,-56.25,-23.14,0.73,-0.83,-1.54,0.0338
0.84,0.81,0.13,-5.41,0.36,-7.03,-20.21,-56.54,-23.14,0.76,-0.79,-1.53,0.0342
0.43,0.73,0.23,25.92,-74.28,-75.73,-21.68,-55.96,-24.61,0.98,-0.51,-1.69,0.0346
0.91,1.08,0.1,-150.28,105.88,30.14,-19.63,-56.84,-21.68,0.87,-0.7,-1.53,0.035
0.17,0.94,-0.09,-250.0,-237.17,-172.2,-18.75,-56.84,-18.75,1.37,-0.18,-1.77,0.0354
1.92,-0.6,-0.0,158.37,178.7,81.44,-19.04,-55.96,-18.46,-0.3,-1.27,-2.33,0.0359
0.66,0.68,0.58,-70.66,-19.77,-24.86,-19.63,-55.96,-18.46,0.66,-0.63,-1.65,0.0362
0.7,0.45,0.54,4.97,-23.03,-20.75,-20.21,-55.37,-18.16,0.47,-0.78,-1.69,0.0366
0.74,0.47,0.43,18.75,-30.98,-46.13,-21.39,-55.66,-18.46,0.5,-0.86,-1.66,0.0371
0.83,0.49,0.38,27.72,-15.53,19.38,-21.09,-55.66,-20.8,0.49,-0.93,-1.64,0.0374
0.79,0.56,0.44,-0.64,-8.77,-20.22,-21.68,-55.08,-20.8,0.55,-0.84,-1.65,0.0378
0.78,0.54,0.43,3.0,-1.41,24.34,-21.97,-55.08,-19.63,0.55,-0.84,-1.65,0.0382
0.77,0.51,0.4,8.22,-6.84,17.95,-21.97,-55.37,-20.51,0.53,-0.87,-1.65,0.0386
0.81,0.5,0.35,6.45,-11.34,2.43,-21.68,-55.96,-20.51,0.52,-0.92,-1.63,0.039
0.8,0.49,0.38,1.01,-9.48,-0.33,-21.09,-55.08,-21.09,0.51,-0.91,-1.64,0.0393
0.79,0.48,0.35,-17.1,-13.04,1.87,-20.8,-55.37,-20.8,0.51,-0.93,-1.62,0.0397
0.58,0.25,0.48,-26.45,-64.72,-22.03,-19.92,-55.66,-20.51,0.32,-0.82,-1.76,0.0401
0.81,0.34,0.26,-5.07,-24.89,-0.44,-21.09,-56.54,-21.09,0.38,-1.08,-1.67,0.0405
0.85,0.33,0.29,8.09,-4.19,30.48,-19.92,-55.96,-20.51,0.36,-1.09,-1.68,0.0409
0.91,0.39,0.38,2.42,4.51,8.89,-19.92,-56.54,-21.39,0.38,-1.03,-1.67,0.0413
0.92,0.35,0.3,7.62,-0.75,5.06,-20.51,-56.54,-20.51,0.34,-1.11,-1.69,0.0417
0.9,0.34,0.28,-3.65,8.81,27.38,-18.75,-56.84,-20.51,0.35,-1.11,-1.65,0.0421
0.84,0.29,0.36,-12.79,11.15,27.89,-17.58,-57.13,-19.92,0.3,-1.07,-1.67,0.0425
0.88,0.23,0.38,0.78,-6.7,4.74,-16.11,-57.42,-19.92,0.24,-1.11,-1.7,0.0428
0.92,0.24,0.33,-3.07,2.4,10.41,-18.46,-57.42,-19.92,0.24,-1.15,-1.74,0.0432
0.89,0.24,0.35,7.58,-10.59,-5.0,-18.16,-57.71,-19.63,0.24,-1.13,-1.74,0.0436
0.91,0.21,0.39,7.57,-14.18,8.29,-16.7,-57.13,-19.63,0.2,-1.12,-1.75,0.044
1.01,0.3,0.31,2.68,-4.7,7.64,-16.7,-58.01,-21.09,0.27,-1.17,-1.66,0.0444
0.86,0.22,0.32,13.34,-14.5,3.43,-17.58,-57.42,-21.09,0.23,-1.15,-1.73,0.0448
0.92,0.26,0.3,4.6,-9.49,10.24,-17.58,-58.01,-20.8,0.27,-1.16,-1.69,0.0451
0.99,0.27,0.28,4.93,-14.41,11.32,-16.41,-57.71,-20.8,0.25,-1.2,-1.68,0.0455
0.85,0.15,0.33,9.28,-41.03,-19.93,-17.29,-57.71,-21.97,0.17,-1.16,-1.79,0.0461
1.01,0.24,0.35,-0.11,-18.09,-0.81,-17.58,-58.01,-22.27,0.22,-1.17,-1.74,0.0465
1.01,0.38,0.21,5.14,-32.44,-78.31,-17.87,-58.01,-22.27,0.35,-1.17,-1.61,0.0469
1.21,-0.16,0.12,27.38,-4.31,-53.28,-18.75,-58.3,-22.85,-0.13,-1.41,-2.25,0.0473
0.95,0.2,0.16,21.41,-18.78,-7.35,-19.34,-57.13,-23.14,0.2,-1.31,-1.81,0.0477
1.01,0.38,0.17,16.61,-17.36,-19.36,-19.92,-57.42,-23.44,0.35,-1.18,-1.65,0.0481
0.92,0.51,0.1,-46.95,-4.64,13.69,-19.63,-56.54,-24.02,0.51,-1.05,-1.55,0.0484
1.0,0.19,0.13,14.5,-12.32,3.23,-19.63,-57.13,-24.61,0.19,-1.34,-1.84,0.0488
1.05,0.41,0.13,7.74,-31.21,10.31,-19.34,-56.84,-24.32,0.37,-1.19,-1.63,0.0492
1.12,0.3,0.1,42.58,3.34,-9.72,-19.92,-57.13,-25.49,0.26,-1.3,-1.74,0.0496
0.98,0.4,0.19,17.82,-77.84,-24.28,-19.63,-56.54,-26.07,0.38,-1.15,-1.64,0.05
0.91,0.19,0.02,41.53,-133.64,-98.98,-19.92,-55.66,-28.71,0.2,-1.37,-1.81,0.0504
0.96,0.44,-0.19,17.14,-1.74,62.31,-19.34,-56.54,-29.88,0.42,-1.11,-1.62,0.0508
1.15,0.35,-0.28,0.42,-21.93,9.41,-18.75,-56.25,-29.0,0.29,-1.19,-1.7,0.0512
1.03,0.36,-0.18,-21.45,-67.12,-35.12,-20.51,-55.08,-30.76,0.33,-1.2,-1.7,0.0516
1.09,0.36,-0.32,9.04,-14.22,-1.34,-20.21,-55.37,-30.47,0.3,-1.15,-1.73,0.052
1.11,0.33,-0.28,11.47,-8.77,-20.45,-19.92,-55.08,-30.76,0.28,-1.2,-1.73,0.0524
1.13,0.35,-0.25,19.44,-11.73,-4.11,-20.21,-54.49,-30.18,0.29,-1.21,-1.73,0.0528
1.05,0.37,-0.33,-6.73,-34.16,-44.85,-20.8,-53.61,-31.35,0.33,-1.13,-1.74,0.0532
1.19,0.33,-0.48,33.88,18.55,-32.59,-21.09,-54.2,-31.93,0.25,-1.12,-1.79,0.0535
1.06,0.38,-0.41,2.6,-3.56,-27.68,-20.51,-53.32,-31.64,0.33,-1.09,-1.74,0.054
1.16,0.51,-0.3,4.1,37.19,-48.43,-21.09,-53.03,-32.52,0.4,-1.1,-1.7,0.0543
0.99,0.55,-0.38,-1.96,45.22,2.47,-21.39,-53.61,-31.05,0.48,-0.97,-1.69,0.0547
1.0,0.5,-0.28,-20.98,55.49,17.21,-20.51,-53.91,-29.3,0.45,-1.05,-1.66,0.0551
0.98,0.52,-0.19,-13.11,17.56,-5.1,-20.8,-53.91,-29.0,0.48,-1.05,-1.63,0.0555
