Roll,Pitch,Yaw,Time
-12.63,-38.03,-53.13,0.0013
-12.33,-38.08,-53.26,0.0016
-12.37,-38.07,-54.16,0.0018
-12.76,-38.16,-54.38,0.0019
-12.49,-37.82,-53.79,0.0021
-12.45,-38.15,-54.14,0.0023
-12.47,-38.22,-54.97,0.0025
-12.50,-37.68,-54.41,0.0027
-12.74,-38.13,-55.64,0.0029
-12.40,-38.12,-55.19,0.0030
-12.55,-38.01,-53.68,0.0033
-12.44,-37.92,-53.41,0.0035
-12.39,-38.17,-55.08,0.0036
-12.46,-38.12,-53.96,0.0038
-12.70,-37.79,-54.32,0.0040
-12.76,-38.07,-54.89,0.0041
-12.22,-38.18,-53.58,0.0043
-12.56,-38.02,-55.53,0.0045
-12.85,-38.17,-55.28,0.0047
-12.48,-38.21,-55.16,0.0049
-12.41,-38.12,-53.53,0.0051
-12.83,-37.95,-55.03,0.0052
-12.65,-37.82,-55.54,0.0054
-12.39,-38.15,-54.11,0.0056
-12.39,-37.96,-54.22,0.0058
-12.65,-37.87,-54.05,0.0060
-12.75,-37.99,-55.33,0.0062
-12.58,-38.19,-53.70,0.0063
-12.60,-38.04,-55.16,0.0065
-12.42,-37.83,-54.27,0.0067
-12.52,-38.03,-55.89,0.0069
-12.48,-38.16,-55.40,0.0070
-12.61,-38.03,-54.96,0.0072
-12.49,-37.95,-54.67,0.0074
-12.40,-37.96,-54.23,0.0076
-12.63,-37.86,-55.74,0.0078
-12.52,-38.15,-55.43,0.0079
-12.49,-37.85,-52.37,0.0081
-12.42,-38.09,-54.56,0.0083
-12.67,-38.00,-55.65,0.0084
-12.59,-38.15,-53.00,0.0086
-12.53,-38.05,-55.15,0.0088
-12.69,-37.93,-55.87,0.0089
-12.58,-37.84,-53.84,0.0091
-12.42,-38.04,-55.18,0.0092
-12.67,-38.22,-55.12,0.0094
-12.74,-37.82,-53.33,0.0096
-12.44,-38.05,-54.01,0.0097
-12.39,-37.92,-55.02,0.0099
-12.75,-37.80,-54.79,0.0101
-12.54,-38.04,-53.53,0.0103
-12.40,-38.09,-53.07,0.0104
-12.65,-37.81,-54.25,0.0106
-12.69,-37.86,-55.50,0.0108
-12.47,-38.25,-53.54,0.0109
-12.43,-38.34,-53.70,0.0111
-12.57,-38.00,-53.51,0.0114
-12.42,-38.04,-53.96,0.0115
-12.23,-38.23,-54.74,0.0117
-12.51,-38.08,-53.84,0.0119
-12.70,-38.29,-54.26,0.0121
-12.47,-37.88,-55.70,0.0122
-12.51,-38.10,-54.85,0.0124
-12.57,-37.95,-53.97,0.0125
-12.50,-37.90,-53.54,0.0129
-12.47,-38.08,-55.44,0.0131
-12.40,-37.99,-55.01,0.0133
-12.50,-37.93,-54.51,0.0134
-12.57,-38.06,-52.89,0.0136
-12.46,-38.13,-53.78,0.0137
-12.60,-38.13,-55.51,0.0138
-12.74,-38.06,-54.66,0.0140
-12.57,-38.14,-54.50,0.0141
-12.66,-38.10,-56.22,0.0143
-12.30,-37.92,-54.14,0.0144
-12.66,-37.97,-53.44,0.0145
-12.61,-37.94,-53.76,0.0147
-12.40,-38.25,-54.65,0.0148
-12.38,-38.05,-55.37,0.0150
-12.57,-37.89,-54.19,0.0151
-12.53,-38.02,-53.19,0.0153
-12.26,-37.82,-53.35,0.0154
-12.34,-38.12,-53.90,0.0155
-12.46,-38.03,-55.44,0.0157
-12.43,-37.92,-54.84,0.0158
-12.22,-37.92,-54.51,0.0160
-12.72,-37.83,-54.99,0.0161
-12.70,-37.87,-54.52,0.0162
-12.39,-38.06,-53.93,0.0164
-12.63,-38.16,-54.37,0.0165
-12.38,-37.88,-55.85,0.0167
-12.46,-38.16,-54.13,0.0168
-12.25,-38.22,-53.27,0.0170
-12.80,-38.14,-54.91,0.0171
-12.62,-37.87,-54.02,0.0173
-12.25,-38.11,-54.48,0.0174
-12.58,-38.05,-55.15,0.0175
-12.80,-37.91,-53.20,0.0177
-12.61,-38.00,-54.72,0.0178
-12.69,-38.13,-53.96,0.0180
-12.79,-37.74,-54.26,0.0181
-12.75,-37.85,-56.01,0.0183
-12.62,-38.07,-56.03,0.0184
-12.63,-37.85,-54.50,0.0185
-12.59,-37.90,-54.39,0.0187
-12.46,-38.03,-55.68,0.0188
-12.84,-38.03,-54.32,0.0190
-12.51,-38.13,-54.36,0.0191
-12.40,-38.00,-53.56,0.0193
-12.32,-38.01,-54.11,0.0194
-12.60,-37.94,-54.78,0.0195
-12.56,-38.13,-54.30,0.0197
-12.45,-38.06,-55.19,0.0198
-12.59,-38.06,-54.10,0.0200
-12.65,-37.77,-54.97,0.0201
-12.34,-38.09,-54.12,0.0202
-12.40,-38.02,-54.75,0.0204
-12.65,-37.98,-55.23,0.0205
-12.72,-37.83,-54.31,0.0207
-12.56,-37.94,-56.04,0.0208
-12.46,-38.16,-54.96,0.0210
-12.35,-37.96,-54.79,0.0211
-12.55,-38.08,-55.27,0.0212
-12.55,-38.06,-54.73,0.0214
-12.79,-38.11,-53.45,0.0215
-12.60,-38.01,-55.00,0.0217
-12.77,-37.98,-55.69,0.0218
-12.56,-38.06,-54.30,0.0219
-12.27,-38.09,-55.82,0.0221
-12.85,-37.76,-56.65,0.0222
-12.75,-38.07,-56.03,0.0224
-12.46,-38.17,-55.95,0.0225
-12.40,-38.27,-54.44,0.0227
-12.71,-37.76,-53.75,0.0228
-12.55,-38.05,-55.69,0.0229
-12.51,-38.17,-55.03,0.0231
-12.76,-37.84,-55.54,0.0232
-12.68,-38.05,-54.81,0.0234
-12.26,-37.93,-54.48,0.0235
-12.37,-38.04,-54.51,0.0236
-12.49,-37.92,-54.65,0.0238
-12.56,-37.83,-53.61,0.0239
-12.46,-38.23,-55.32,0.0241
-12.41,-38.21,-55.49,0.0242
-12.58,-38.13,-54.83,0.0243
-12.60,-38.07,-55.44,0.0245
-12.31,-37.91,-54.31,0.0246
-12.39,-37.92,-54.61,0.0247
-12.60,-38.09,-54.29,0.0248
-12.44,-38.13,-54.51,0.0250
-12.33,-38.29,-53.80,0.0251
-12.41,-37.98,-53.20,0.0252
-12.47,-38.16,-55.02,0.0253
-12.42,-38.14,-54.53,0.0255
-12.60,-38.25,-53.58,0.0256
-12.40,-38.09,-55.87,0.0257
-12.44,-37.99,-53.57,0.0258
-12.56,-38.18,-55.47,0.0259
-12.40,-37.93,-55.22,0.0261
-12.53,-38.29,-53.74,0.0262
-12.57,-37.97,-54.32,0.0263
-12.60,-38.10,-55.48,0.0264
-12.32,-37.98,-55.12,0.0266
-12.50,-37.91,-55.15,0.0267
-12.55,-37.91,-56.39,0.0268
-12.64,-37.84,-56.27,0.0269
-12.74,-38.27,-54.67,0.0271
-12.41,-38.21,-55.66,0.0272
-12.57,-37.95,-54.73,0.0273
-12.46,-38.22,-55.27,0.0274
-12.49,-38.06,-54.84,0.0275
-12.56,-38.14,-56.05,0.0277
-12.69,-37.81,-56.16,0.0278
-12.63,-37.86,-54.64,0.0279
-12.72,-38.33,-54.62,0.0280
-12.50,-37.98,-55.91,0.0282
-12.48,-38.02,-53.51,0.0283
-12.79,-38.15,-56.03,0.0284
-12.49,-38.00,-56.33,0.0285
-12.59,-38.12,-55.29,0.0287
-12.53,-37.97,-55.09,0.0288
-12.43,-38.21,-54.28,0.0289
-12.63,-37.88,-55.00,0.0290
-12.56,-37.84,-56.60,0.0291
-12.51,-38.24,-55.97,0.0293
-12.47,-37.86,-53.90,0.0294
-12.53,-37.90,-54.11,0.0295
-12.58,-38.11,-54.84,0.0296
-12.64,-37.86,-55.27,0.0298
-12.68,-37.94,-56.03,0.0299
-12.39,-38.13,-54.87,0.0300
-12.66,-38.07,-55.72,0.0301
-12.46,-38.19,-56.24,0.0302
-12.59,-37.91,-54.14,0.0304
-12.66,-38.06,-56.01,0.0305
-12.26,-37.89,-53.05,0.0306
-12.65,-38.03,-53.23,0.0307
-12.20,-38.02,-53.39,0.0309
-12.65,-38.06,-53.72,0.0310
-12.56,-37.86,-54.21,0.0311
-12.66,-37.79,-55.74,0.0312
-12.29,-38.21,-54.99,0.0314
-12.57,-37.93,-55.26,0.0315
-12.57,-37.92,-54.83,0.0316
-12.48,-37.92,-54.89,0.0317
-12.42,-38.02,-53.82,0.0319
-12.78,-37.80,-55.61,0.0320
-12.39,-38.05,-53.32,0.0321
-12.38,-38.06,-53.14,0.0322
-12.58,-38.07,-54.31,0.0323
-12.56,-37.77,-54.77,0.0325
-12.43,-38.32,-55.45,0.0326
-12.58,-38.18,-53.56,0.0327
-12.56,-37.77,-54.60,0.0328
-12.37,-38.00,-54.90,0.0330
-12.47,-37.89,-56.04,0.0331
-12.65,-38.10,-55.13,0.0332
-12.65,-37.99,-57.34,0.0333
-12.39,-37.91,-52.97,0.0335
-12.57,-38.26,-54.41,0.0336
-12.39,-37.95,-54.53,0.0337
