0,1,2,3,4,5,6,7,8,9,10,11
-0.03,-29.00,10.84,0.10,1.20,2.62,-12.01,,,,,
-0.12,0.99,-0.36,3.63,-0.65,-0.30,-29.30,10.55,0.12,1.20,2.63,-13.18
-0.14,0.99,-0.36,4.26,-0.33,-0.19,-29.00,10.84,0.13,1.20,2.61,-12.89
-0.11,0.99,-0.33,4.39,-0.86,0.50,-28.71,10.55,0.10,1.23,2.63,-13.18
-0.12,1.01,-0.39,3.88,-0.48,-0.11,-29.30,9.96,0.11,1.19,2.67,-13.18
-0.12,0.99,-0.36,3.75,-2.48,-0.25,-28.71,11.13,0.12,1.20,2.61,-13.48
-0.10,0.99,-0.34,4.10,-0.05,-0.06,-29.00,10.84,0.10,1.23,2.62,-13.18
-0.13,0.99,-0.37,3.94,-1.69,-0.34,-29.00,10.55,0.12,1.19,2.62,-12.01
-0.12,0.98,-0.38,3.73,-2.43,-0.77,-29.00,10.84,0.12,1.18,2.64,-13.48
-0.13,0.99,-0.37,4.15,-3.95,-0.21,-28.42,10.84,0.12,1.20,2.61,-12.89
-0.11,0.99,-0.37,2.24,-3.58,-1.05,-28.71,10.55,0.10,1.20,2.65,-13.77
-0.10,0.98,-0.34,3.64,-3.09,-1.78,-29.00,11.13,0.09,1.22,2.62,-13.48
-0.09,1.00,-0.32,5.78,-2.62,-3.17,-29.00,11.13,0.09,1.25,2.61,-13.18
-0.08,1.03,-0.34,9.74,6.47,-7.44,-29.30,12.01,0.07,1.24,2.60,-13.48
-0.03,1.03,-0.34,12.25,26.15,-17.27,-29.30,11.72,0.03,1.25,2.63,-13.18
-0.34,1.01,-0.31,6.65,16.06,4.90,-29.00,11.43,0.31,1.14,2.51,-13.18
-0.33,0.85,-0.73,-26.82,-23.42,22.70,-29.00,10.55,0.29,0.82,2.66,-12.30
0.30,1.12,0.08,-12.06,40.33,1.48,-28.71,10.84,-0.26,1.30,2.83,-12.89
-0.33,0.92,-0.33,4.33,-0.98,-5.12,-28.71,10.84,0.33,1.10,2.54,-12.89
-0.21,0.95,-0.54,5.35,-33.55,4.97,-29.00,11.43,0.19,1.02,2.62,-12.60
-0.17,0.93,-0.39,-6.14,16.26,-9.68,-28.42,12.01,0.16,1.14,2.54,-11.13
-0.12,0.99,-0.28,3.14,-18.96,2.93,-28.42,12.01,0.12,1.27,2.52,-12.30
0.02,1.02,-0.24,10.60,-39.85,-2.24,-29.00,11.43,-0.02,1.34,2.59,-11.72
0.05,1.11,0.05,12.27,-54.17,-19.13,-28.42,10.84,-0.05,1.51,2.54,-12.60
0.20,1.76,0.47,99.63,3.14,-35.70,-29.88,12.01,-0.11,1.29,2.71,-13.77
-0.31,1.88,-1.38,52.60,22.44,-8.06,-30.76,13.18,0.13,0.93,2.66,-14.65
-0.40,0.75,-1.04,8.29,5.29,14.58,-31.35,13.48,0.30,0.60,2.64,-14.94
-0.21,0.40,-0.69,-27.08,33.81,10.83,-31.35,12.60,0.26,0.50,2.69,-13.77
-0.28,-0.05,-0.35,-30.20,7.10,11.81,-31.35,13.18,0.66,-0.11,2.61,-12.60
-0.10,-0.23,-0.27,-6.62,10.12,1.98,-31.05,12.89,0.28,-0.68,2.46,-11.72
-0.06,0.02,-0.50,12.70,19.25,-10.44,-31.05,12.89,0.13,0.03,2.71,-12.89
-0.18,0.62,-0.84,14.67,-6.30,-17.20,-30.18,13.18,0.17,0.62,2.68,-13.48
-0.25,1.32,-0.99,-8.48,30.60,-29.12,-30.18,12.89,0.15,0.91,2.66,-14.65
-0.60,1.40,-0.67,-59.75,-8.06,-3.89,-29.30,13.48,0.37,1.00,2.48,-13.18
0.77,1.63,0.32,-21.12,-29.35,22.03,-29.00,12.01,-0.44,1.10,2.95,-12.89
0.51,1.41,-0.18,-14.09,65.27,-11.09,-29.00,13.77,-0.34,1.20,2.80,-12.01
-0.52,1.11,-0.22,6.98,-30.33,6.64,-28.71,12.60,0.43,1.10,2.41,-12.89
-0.04,0.99,-0.21,7.32,-18.52,11.88,-29.30,12.01,0.04,1.36,2.54,-12.60
-0.09,0.96,-0.34,7.32,-3.89,0.57,-29.00,12.30,0.09,1.23,2.56,-12.30
-0.13,0.98,-0.37,7.37,-7.05,-0.95,-29.30,12.60,0.12,1.19,2.55,-12.30
