0,1,2,3,4,5,6,7,8,9,10,11
-0.11,1.00,-0.34,4.11,-3.49,-2.85,-16.11,17.58,0.10,1.23,2.04,-5.86
-0.12,0.99,-0.35,3.59,-2.26,-2.24,-15.82,17.58,0.11,1.22,2.03,-5.57
-0.13,1.00,-0.35,3.62,-2.62,-1.58,-15.82,17.87,0.12,1.22,2.01,-5.57
-0.12,0.99,-0.33,3.73,-1.59,-1.66,-16.70,17.87,0.12,1.23,2.03,-5.86
-0.12,0.99,-0.34,3.75,-1.34,-1.29,-16.41,17.58,0.12,1.22,2.03,-5.57
-0.13,0.99,-0.34,3.60,-2.04,-0.80,-16.41,18.46,0.12,1.22,1.99,-5.27
-0.13,0.99,-0.34,3.75,-1.19,-0.72,-15.82,18.46,0.12,1.22,2.02,-6.15
-0.13,0.98,-0.33,3.73,-0.72,-0.75,-16.11,17.87,0.12,1.22,2.01,-5.57
-0.12,1.00,-0.32,3.38,0.21,-0.79,-16.11,17.87,0.11,1.24,2.01,-5.57
-0.10,1.06,-0.29,5.29,4.52,-3.37,-16.70,18.46,0.09,1.29,2.01,-6.15
-0.10,1.19,0.15,31.73,0.27,11.72,-16.11,18.46,0.09,1.42,1.93,-6.45
-0.50,1.64,0.29,83.48,-41.21,29.50,-18.46,17.58,0.29,1.23,1.96,-7.03
-0.18,0.77,-1.00,37.73,-3.54,38.73,-18.46,17.87,0.14,0.65,2.33,-7.62
-0.13,0.12,-0.85,18.19,-55.21,32.95,-18.46,15.23,0.15,0.14,2.43,-7.32
0.00,0.08,-0.85,3.85,29.87,-3.67,-18.75,16.11,0.00,0.09,2.45,-7.32
-0.03,0.51,-1.05,-4.79,0.57,-15.73,-18.16,16.11,0.02,0.45,2.44,-7.32
0.42,1.93,-0.02,-81.29,68.88,5.94,-17.87,15.23,-0.21,1.36,2.35,-6.74
-0.47,1.08,-0.06,-24.67,24.51,-11.55,-16.41,16.70,0.41,1.16,1.89,-6.45
-0.14,0.97,-0.48,-31.38,9.87,-15.05,-17.29,16.70,0.13,1.10,2.15,-6.15
-0.14,0.96,0.01,-17.45,-81.84,-10.60,-16.41,16.70,0.15,1.42,1.85,-4.98
0.13,1.08,0.06,16.34,62.47,-19.74,-16.11,17.58,-0.12,1.43,2.13,-6.15
-0.13,1.17,0.22,55.34,3.30,7.77,-17.58,17.29,0.11,1.36,2.02,-7.03
-0.13,1.63,-0.28,101.61,-41.60,28.24,-17.87,18.16,0.08,1.38,2.07,-8.50
0.08,0.63,-1.72,-8.48,-0.97,13.27,-18.46,18.75,-0.04,0.35,2.41,-8.50
-0.33,-0.10,-0.86,15.31,-25.10,21.64,-18.75,19.34,0.36,-0.11,2.29,-9.08
0.02,-0.05,-0.75,13.04,-34.21,3.88,-19.04,18.46,-0.02,-0.07,2.36,-8.20
0.06,0.22,-0.95,-21.64,74.53,-19.46,-18.75,18.16,-0.06,0.23,2.43,-8.79
-0.16,0.86,-1.02,-11.39,-55.59,10.24,-17.87,18.16,0.12,0.69,2.32,-8.20
0.27,2.00,0.46,-49.19,118.45,-13.43,-16.11,18.16,-0.13,1.31,2.22,-6.74
0.21,1.07,-0.29,-18.75,11.55,5.74,-16.99,17.58,-0.19,1.24,2.34,-7.32
-0.02,1.03,-0.27,-20.26,-14.40,-4.23,-16.11,17.29,0.02,1.31,2.08,-6.15
-0.10,0.96,-0.21,-12.74,-23.16,-3.15,-16.70,16.70,0.10,1.33,2.01,-5.86
0.02,1.12,0.26,16.46,32.75,-13.08,-16.11,17.58,-0.02,1.34,2.09,-6.15
-0.10,1.20,0.41,107.36,19.78,16.38,-17.29,19.04,0.08,1.23,2.11,-7.91
-0.83,2.00,0.57,67.88,-129.77,63.28,-18.75,17.87,0.38,1.11,2.00,-7.62
0.22,0.12,-1.84,-26.98,1.99,20.66,-18.46,18.46,-0.12,0.06,2.40,-7.32
-0.25,-0.20,-0.54,-18.41,-23.42,1.82,-18.16,18.75,0.40,-0.33,2.29,-7.03
0.05,-0.15,-0.51,18.05,31.53,-18.48,-17.58,19.34,-0.10,-0.28,2.23,-7.32
-0.01,0.03,-0.86,27.24,74.33,-33.69,-17.58,19.63,0.01,0.03,2.31,-8.79
-0.13,0.60,-1.38,-33.88,-26.37,-32.65,-17.58,19.63,0.09,0.41,2.32,-8.79
0.35,2.00,-0.54,-138.95,38.02,-9.28,-16.11,19.34,-0.17,1.26,2.31,-8.50
-1.00,1.31,0.67,-20.44,-11.29,9.29,-16.11,20.21,0.60,0.83,1.89,-7.03
0.07,1.03,-0.37,-17.71,-22.01,-6.20,-16.70,19.04,-0.06,1.21,2.22,-7.62
-0.05,0.93,-0.16,-13.90,-50.14,-3.49,-15.23,18.46,0.05,1.39,1.94,-5.57
-0.03,1.10,0.17,13.54,4.23,-6.58,-16.11,19.34,0.03,1.42,1.96,-6.15
-0.16,1.16,0.25,58.79,13.89,6.25,-16.70,20.21,0.13,1.32,1.98,-7.91
-0.64,1.90,0.34,97.41,-77.06,67.44,-18.46,19.04,0.32,1.21,1.98,-9.08
0.35,0.77,-1.86,-4.77,-10.67,20.30,-18.16,20.21,-0.17,0.39,2.43,-8.50
-0.17,0.10,-0.88,0.21,-41.89,-6.65,-18.46,19.34,0.19,0.11,2.31,-8.79
0.06,-0.05,-0.65,20.70,11.12,-11.80,-17.58,20.21,-0.10,-0.08,2.28,-8.79
0.03,0.03,-0.88,11.85,49.32,-16.78,-18.16,20.21,-0.04,0.03,2.32,-9.67
-0.05,0.52,-1.22,-56.12,1.69,-25.31,-17.87,19.92,0.04,0.40,2.35,-9.67
0.23,2.00,-0.76,-124.65,28.21,-16.43,-16.70,18.75,-0.11,1.19,2.29,-8.20
-0.75,1.29,0.31,-30.30,19.74,1.33,-16.41,19.63,0.52,1.01,1.87,-7.91
-0.23,1.02,-0.15,-17.20,-70.59,-6.58,-15.82,18.75,0.22,1.31,1.91,-7.32
0.16,0.98,-0.01,3.37,-9.39,-0.69,-16.11,18.46,-0.17,1.40,2.20,-7.03
0.03,1.06,-0.05,16.09,29.33,-5.42,-16.11,19.92,-0.03,1.51,1.99,-7.32
-0.29,1.13,0.12,82.86,17.92,12.73,-16.70,19.92,0.25,1.30,1.93,-8.79
-0.64,2.00,0.41,73.49,-75.72,54.08,-17.87,19.92,0.30,1.21,1.97,-9.38
-0.01,0.58,-1.61,1.08,-17.14,28.21,-17.87,19.63,0.00,0.35,2.36,-9.08
0.05,-0.06,-0.85,-29.75,-11.67,5.34,-18.75,19.63,-0.06,-0.07,2.33,-7.91
0.06,-0.24,-0.68,-1.72,37.38,-26.11,-17.87,20.51,-0.09,-0.34,2.17,-8.50
0.01,-0.03,-0.90,4.23,35.15,-41.00,-16.99,21.68,-0.01,-0.04,2.23,-8.50
0.01,0.88,-1.34,-1.91,21.17,-29.30,-17.58,20.80,-0.01,0.58,2.33,-9.08
0.02,2.00,-0.04,-97.07,53.64,-19.09,-16.41,19.92,-0.01,1.55,1.98,-7.91
-0.07,1.24,0.12,-17.42,-10.25,9.16,-16.41,20.51,0.06,1.46,1.92,-7.03
-0.11,1.07,-0.40,-20.21,-4.14,-8.41,-15.53,19.34,0.10,1.20,2.03,-6.45
-0.16,0.95,-0.17,-19.93,-32.67,-6.50,-15.53,19.63,0.16,1.33,1.87,-5.86
-0.02,1.11,0.43,15.69,4.84,-5.81,-15.53,19.63,0.02,1.20,2.06,-5.57
-0.19,1.15,0.55,109.50,33.20,20.19,-16.41,20.21,0.15,1.10,2.10,-8.79
-0.92,2.00,0.31,68.98,-95.02,36.96,-17.87,19.92,0.43,1.12,1.90,-8.50
0.14,0.24,-1.65,2.82,-46.68,49.47,-17.58,20.21,-0.09,0.15,2.34,-7.62
-0.02,-0.23,-0.63,14.68,-29.56,-2.43,-17.58,20.21,0.03,-0.35,2.17,-7.91
-0.04,-0.28,-0.65,24.25,63.22,-55.37,-17.58,21.97,0.05,-0.41,2.09,-9.38
-0.10,0.21,-0.96,15.80,69.85,-48.89,-16.99,22.56,0.10,0.21,2.23,-10.25
-0.37,0.68,-0.99,46.61,-70.23,38.07,-16.41,21.39,0.30,0.57,2.16,-10.25
0.88,2.00,0.20,-55.39,150.74,-29.17,-16.70,20.21,-0.41,1.15,2.52,-8.20
0.28,0.94,-0.41,-16.88,9.34,8.84,-16.70,19.63,-0.27,1.08,2.47,-9.38
-0.17,1.03,-0.36,-19.53,-4.62,-1.35,-16.11,20.51,0.16,1.20,2.02,-8.20
0.02,0.92,-0.34,-14.24,1.59,-6.87,-16.41,19.63,-0.02,1.21,2.16,-7.62
-0.05,1.13,0.30,19.12,34.83,-7.35,-16.41,20.51,0.04,1.31,2.09,-8.79
-0.32,1.09,0.32,125.04,-9.18,25.14,-17.29,21.39,0.27,1.18,1.98,-9.96
-0.29,2.00,-0.54,18.84,-57.59,-19.62,-18.75,20.80,0.14,1.27,2.10,-10.55
0.16,0.42,-1.61,-14.42,13.69,12.24,-17.87,21.09,-0.10,0.25,2.36,-9.67
-0.06,-0.23,-0.55,-6.16,-18.33,-14.05,-16.99,22.56,0.11,-0.40,2.07,-9.67
0.01,-0.29,-0.60,23.42,27.99,-12.76,-16.99,22.56,-0.02,-0.45,2.01,-10.25
-0.11,-0.12,-0.83,28.72,-0.65,-3.86,-17.29,22.27,0.13,-0.15,2.17,-10.55
0.05,0.33,-1.68,-31.49,4.31,-35.94,-16.99,21.39,-0.03,0.20,2.30,-11.13
-0.35,2.00,0.22,-111.80,140.96,25.34,-16.41,20.80,0.17,1.37,1.96,-9.67
-0.55,1.25,0.11,-13.18,-113.32,29.46,-16.11,20.21,0.41,1.15,1.84,-8.20
-0.40,1.05,-0.40,-24.75,-14.37,-6.24,-16.70,19.63,0.34,1.08,1.99,-9.08
0.03,0.92,-0.41,-27.40,6.17,-10.83,-15.53,19.34,-0.03,1.15,2.20,-7.91
-0.16,1.10,0.31,5.21,-29.42,-4.94,-16.11,20.51,0.14,1.26,1.98,-7.62
0.03,1.17,0.24,62.09,36.51,-4.05,-16.11,21.09,-0.03,1.37,2.12,-9.08
-0.77,2.00,0.58,91.86,-29.10,55.57,-17.58,21.09,0.35,1.12,1.97,-10.55
0.46,0.68,-1.90,4.26,21.14,-9.40,-16.41,22.85,-0.22,0.34,2.37,-10.55
-0.18,-0.17,-0.70,2.82,-44.40,4.74,-17.29,23.14,0.24,-0.23,2.14,-9.96
0.15,-0.35,-0.72,14.11,15.24,10.73,-16.99,21.68,-0.19,-0.45,2.01,-10.25
0.00,-0.08,-0.96,9.74,26.88,6.94,-17.29,21.68,-0.00,-0.09,2.22,-10.55
0.11,0.61,-1.47,30.65,-115.59,16.69,-17.29,19.92,-0.07,0.39,2.38,-9.38
0.61,2.00,-0.12,-121.79,193.73,-9.49,-16.70,20.51,-0.29,1.27,2.41,-9.08
-0.11,1.12,0.07,-26.50,-35.35,12.57,-16.11,19.34,0.10,1.45,1.94,-7.91
0.00,0.99,-0.39,-28.23,-17.21,-13.66,-15.82,19.04,-0.00,1.20,2.14,-6.74
-0.16,0.92,0.03,-18.73,-18.39,-17.92,-15.53,20.21,0.18,1.39,1.84,-6.74
-0.05,1.08,0.28,23.65,73.58,-17.43,-15.23,21.39,0.05,1.31,2.05,-8.50
-0.33,1.22,0.37,158.84,3.40,10.53,-16.41,21.68,0.25,1.18,1.99,-10.55
-0.90,2.00,-0.07,34.08,-87.36,-31.07,-16.70,22.27,0.42,1.15,1.85,-10.25
0.15,0.26,-1.78,-3.52,-11.27,20.51,-16.99,22.85,-0.08,0.14,2.27,-10.25
-0.26,-0.32,-0.45,14.01,-55.15,7.36,-16.99,22.56,0.44,-0.55,2.11,-9.96
0.11,-0.46,-0.63,34.29,39.94,-4.80,-16.70,22.85,-0.14,-0.63,1.83,-10.55
0.03,-0.18,-1.01,27.57,17.87,-4.20,-16.99,22.27,-0.03,-0.18,2.16,-11.13
-0.06,0.17,-1.56,36.41,-70.75,51.70,-16.99,20.51,0.04,0.11,2.28,-9.67
-0.93,1.50,0.52,-117.44,174.36,-23.81,-15.82,21.97,0.53,0.96,1.85,-9.67
