0,1,2,3,4,5,6,7,8,9,10,11
,19.04,0.10,1.20,2.37,-13.48,,,,,,
-0.11,0.99,-0.36,2.82,-1.20,-0.09,-28.71,19.34,0.10,1.20,2.36,-13.48
0.37,3.03,-0.28,-0.87,-28.42,19.04,0.10,1.20,2.37,-13.48,,
-0.11,0.99,-0.36,2.82,-1.20,-0.09,-28.71,19.34,0.10,1.20,2.36,-13.48
-0.26,1.16,-0.72,-19.21,-1.95,23.85,-28.71,16.70,0.19,0.98,2.49,-14.36
0.08,1.23,-0.21,-16.53,27.62,2.11,-28.71,17.58,-0.06,1.39,2.43,-13.48
0.19,0.97,-0.45,-4.60,36.75,-5.56,-29.30,16.99,-0.18,1.10,2.69,-14.65
-0.05,1.03,-0.34,4.11,50.61,-5.80,-28.42,18.16,0.05,1.25,2.44,-14.65
0.00,0.98,-0.47,-0.14,-1.89,0.05,-29.00,17.87,-0.00,1.13,2.54,-14.94
0.12,1.00,-0.34,-10.12,-6.99,2.53,-28.42,17.87,-0.11,1.22,2.56,-13.77
0.01,0.97,-0.34,-4.66,9.12,-4.57,-28.42,17.87,-0.01,1.24,2.49,-14.65
-0.02,0.99,-0.39,1.95,17.45,-10.35,-28.42,18.16,0.02,1.20,2.48,-14.65
0.02,0.99,-0.39,6.51,-6.13,-4.45,-28.42,18.16,-0.01,1.19,2.51,-14.65
0.05,1.00,-0.28,11.32,-28.32,-2.04,-28.71,18.16,-0.05,1.29,2.48,-14.06
-0.06,1.16,0.14,41.65,-10.00,6.28,-28.42,18.16,0.05,1.44,2.33,-15.23
-0.21,1.25,-0.29,75.19,-9.43,-5.51,-29.30,19.34,0.16,1.29,2.32,-15.82
0.04,1.06,-0.96,-8.10,-15.95,6.59,-29.88,18.46,-0.03,0.84,2.62,-15.23
0.01,0.93,-0.63,9.75,-8.19,3.04,-29.00,18.46,-0.01,0.97,2.58,-15.23
-0.18,0.89,-0.64,8.42,-37.75,25.73,-29.88,18.16,0.16,0.93,2.51,-15.53
-0.01,0.59,-0.55,11.22,5.00,12.10,-30.76,16.99,0.02,0.82,2.64,-14.94
0.01,0.55,-0.58,13.13,8.76,-1.01,-29.59,17.87,-0.02,0.76,2.65,-15.82
0.02,0.45,-0.59,13.62,11.99,-7.13,-29.88,18.16,-0.03,0.65,2.66,-15.82
-0.04,0.62,-0.65,-3.41,6.50,-14.61,-30.18,18.46,0.05,0.75,2.61,-16.41
0.05,0.86,-0.70,-14.00,17.88,-14.98,-29.00,18.46,-0.04,0.89,2.62,-15.82
-0.03,1.08,-0.71,-41.14,41.36,-6.97,-29.59,18.16,0.03,0.99,2.58,-16.11
-0.04,1.22,-0.88,-33.65,-60.78,7.22,-29.00,18.16,0.02,0.95,2.57,-14.94
0.03,1.32,0.06,-22.15,18.94,-6.91,-28.42,17.29,-0.02,1.52,2.33,-14.36
0.15,0.90,-0.39,-7.27,35.45,-2.08,-28.71,18.16,-0.15,1.14,2.62,-14.36
0.08,1.06,-0.38,-9.07,65.70,-8.54,-28.71,18.46,-0.07,1.22,2.53,-14.65
-0.01,1.02,-0.42,-7.75,25.05,-8.06,-28.12,19.34,0.01,1.18,2.47,-14.94
