,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1,0.21,0.99,-0.36,2.46,-2.56,0.23,-9.96,30.47,-24.61
2,0.26,1.31,-0.27,45.75,-52.3,31.19,-10.84,29.59,-26.66
3,-0.09,1.32,-0.35,-0.87,-43.83,-11.17,-11.13,29.59,-25.49
4,0.15,0.97,-0.69,-16.78,-2.72,-4.7,-11.72,29.88,-25.49
5,0.16,0.82,-0.56,-28.77,-7.71,13.79,-10.84,29.88,-24.32
6,0.2,0.7,-0.64,-27.75,26.28,-5.22,-11.43,29.88,-23.44
7,0.12,0.63,-0.56,-14.29,4.95,1.28,-10.25,30.76,-23.14
8,-0.01,0.44,-0.61,9.41,-13.66,-0.86,-10.55,31.05,-23.14
9,0.06,0.55,-0.66,19.79,-17.72,-12.63,-10.25,30.47,-23.44
10,0.18,0.92,-0.52,-9.15,-22.2,-11.67,-9.96,30.18,-22.56
11,0.03,0.89,-0.91,31.07,85.27,-64.43,-9.67,31.64,-24.61
12,0.09,1.4,-0.4,-35.1,213.98,-1.11,-10.25,31.64,-26.37
13,0.26,1.23,-0.64,-57.01,-53.2,44.88,-11.13,29.88,-25.2
14,0.27,0.98,-0.27,-12.35,33.45,-5.15,-9.96,29.88,-24.9
15,0.27,1.03,-0.37,-15.31,41.08,-2.1,-9.96,29.59,-25.2
16,0.18,1.04,-0.28,-16.95,2.14,4.01,-9.96,29.59,-24.9
17,0.24,0.98,-0.29,-15.12,-10.22,5.4,-9.67,29.59,-24.32
18,0.22,1.0,-0.2,-7.0,-0.09,1.46,-9.67,29.59,-23.73
19,0.32,0.99,-0.31,-3.06,5.96,0.85,-9.67,29.59,-24.32
20,0.25,1.0,-0.26,0.79,4.03,2.53,-9.67,29.88,-24.02
21,0.25,0.99,-0.14,10.91,-11.25,1.28,-9.38,29.59,-23.73
22,0.29,1.0,-0.24,9.23,-16.5,1.95,-9.67,29.3,-24.02
23,0.34,1.02,-0.31,10.22,-13.55,-1.53,-10.25,29.0,-24.32
24,0.28,1.01,-0.18,21.06,-21.77,-4.03,-10.25,29.59,-23.73
25,0.35,1.02,-0.14,41.99,4.16,-13.5,-10.25,29.88,-25.49
26,0.26,1.12,-0.22,88.01,-60.92,9.31,-11.13,30.18,-25.78
27,0.12,1.86,-0.13,29.5,-119.9,30.51,-11.13,29.59,-25.49
28,0.15,1.19,-0.89,-55.19,17.08,-18.23,-11.13,29.3,-24.02
29,0.38,0.84,-0.42,-53.96,19.29,-2.06,-10.84,29.88,-24.02
30,0.31,0.43,-0.89,-27.45,39.37,-9.69,-10.25,30.18,-22.27
31,0.09,0.46,-0.54,-16.83,4.68,-7.61,-9.96,31.64,-22.56
32,0.08,0.45,-0.51,15.35,-10.06,-5.66,-9.96,31.93,-22.27
33,0.08,0.68,-0.51,28.75,-23.67,-5.68,-9.96,31.93,-22.85
34,0.12,0.87,-0.52,29.21,-15.89,-7.71,-10.55,31.05,-23.14
35,0.16,1.01,-0.62,22.17,0.66,-0.17,-10.55,30.76,-23.14
36,0.2,1.03,-0.57,11.53,23.77,15.34,-10.55,29.88,-24.02
37,0.12,1.28,-0.38,48.7,64.29,-2.69,-10.84,29.88,-24.61
38,0.56,1.15,-0.14,-61.55,45.57,-0.5,-9.96,29.59,-24.61
39,-0.18,0.93,-0.04,-7.9,5.39,8.79,-10.25,30.18,-24.02
40,0.28,1.15,-0.35,-16.22,35.63,0.32,-9.96,29.88,-24.02
41,0.19,0.99,-0.27,-7.6,6.52,3.19,-9.38,29.88,-23.44
42,0.27,1.0,-0.27,-9.38,-15.96,5.4,-9.67,29.88,-23.44
43,0.26,1.03,-0.28,-10.54,-7.72,1.41,-9.96,29.0,-23.73
44,0.24,1.0,-0.25,-6.84,-1.23,-0.07,-9.67,29.59,-23.14
45,0.19,1.02,-0.24,0.37,0.29,-0.94,-9.67,29.88,-23.44
46,0.26,1.0,-0.15,9.39,-1.52,0.4,-9.38,29.3,-22.85
47,0.2,1.01,-0.27,8.42,-25.02,2.56,-9.67,29.3,-22.85
48,0.35,1.0,-0.29,8.84,-9.67,-4.96,-9.96,29.0,-22.56
49,0.12,0.99,-0.03,22.64,-15.66,-4.94,-9.96,29.59,-24.02
50,0.41,1.08,-0.24,64.87,-52.83,12.93,-10.55,29.88,-24.61
51,0.06,1.56,-0.26,83.96,-2.75,1.67,-11.13,29.59,-25.2
52,0.15,1.42,-0.29,-79.37,-100.25,11.86,-10.84,28.71,-22.85
53,-0.03,0.76,-1.4,35.02,-4.92,9.9,-10.84,29.3,-23.14
54,-0.01,0.78,-0.56,-70.66,49.42,-29.25,-10.84,30.18,-21.09
55,0.05,0.71,-0.36,-52.25,21.86,-15.66,-9.67,30.76,-21.68
56,0.19,0.55,-0.44,-30.13,13.76,-13.73,-9.38,30.76,-20.8
57,0.1,0.4,-0.47,4.81,-0.75,-11.09,-9.96,31.35,-20.8
58,0.09,0.48,-0.43,29.64,-24.73,6.84,-9.67,30.76,-20.8
59,0.07,0.55,-0.6,53.67,-44.4,4.82,-10.55,30.18,-21.68
60,0.39,1.12,-0.56,35.84,5.15,0.63,-10.55,30.47,-22.56
61,0.17,1.24,-0.59,39.56,32.46,1.89,-10.84,30.18,-24.02
62,0.12,1.41,-0.41,29.68,83.84,-0.98,-10.55,29.88,-24.9
63,0.25,1.18,-0.05,-60.38,25.62,8.66,-9.67,29.3,-24.32
64,0.21,1.09,-0.3,-2.08,84.72,-13.6,-9.96,29.59,-24.02
65,0.3,1.11,-0.28,-16.43,17.25,-0.42,-9.67,29.88,-24.02
66,0.31,1.04,-0.25,-5.99,22.48,1.1,-9.08,30.18,-23.73
67,0.2,0.99,-0.22,-1.4,-16.79,4.49,-9.67,29.88,-23.73
68,0.32,1.02,-0.28,-5.86,-29.62,9.87,-9.08,28.71,-23.14
69,0.33,1.04,-0.12,-5.48,3.65,-1.77,-9.96,28.71,-22.27
70,0.18,1.02,-0.04,5.94,-8.12,-0.4,-9.38,29.88,-23.14
71,0.19,1.0,-0.35,3.57,-4.37,-2.16,-9.67,29.3,-22.27
72,0.25,1.0,-0.15,9.77,-6.03,-0.19,-9.08,29.0,-23.14
73,0.17,1.03,-0.13,12.41,-39.79,0.02,-9.67,29.59,-23.14
74,0.21,1.0,-0.23,32.45,-30.36,-4.76,-9.08,29.59,-23.14
75,0.55,1.07,-0.07,70.35,-6.52,-13.12,-9.67,29.88,-24.9
76,-0.22,1.66,-0.37,83.58,-10.89,18.77,-10.25,29.0,-25.49
77,0.29,1.37,-0.32,-75.49,-64.67,24.93,-10.84,28.12,-23.44
78,0.22,0.9,-1.21,15.05,5.4,2.03,-10.55,28.71,-23.44
79,0.05,0.79,-0.7,-46.55,47.84,-14.95,-10.25,30.18,-21.97
80,0.04,0.86,-0.33,-70.79,20.76,-10.79,-10.25,30.18,-21.09
81,0.17,0.52,-0.54,-40.41,4.46,3.5,-9.67,30.47,-19.63
82,0.13,0.35,-0.42,-5.8,-13.29,-5.1,-9.67,30.76,-20.21
83,0.09,0.54,-0.42,36.25,-27.98,-1.21,-9.96,29.88,-20.51
84,0.2,0.72,-0.48,44.59,-18.68,-20.81,-10.25,29.88,-20.51
85,0.22,0.85,-0.6,25.25,-35.84,13.15,-9.67,29.3,-21.97
86,0.27,1.21,-0.61,46.28,31.48,1.86,-10.25,29.59,-23.44
87,0.05,1.38,-0.42,5.22,81.55,-6.75,-10.55,29.3,-24.61
88,-0.23,2.0,0.74,-0.22,79.87,-12.89,-9.38,29.3,-24.32
89,0.05,0.75,-0.42,-50.19,-48.53,11.71,-9.96,29.0,-23.73
90,0.48,0.94,-0.3,-2.82,43.29,-3.64,-9.38,29.3,-24.02
91,0.26,0.99,-0.37,-18.83,42.92,-11.33,-9.08,30.18,-23.44
92,0.18,1.01,-0.12,-8.51,-10.78,-0.96,-9.38,29.59,-23.14
93,0.25,0.98,-0.31,1.36,7.9,-0.56,-9.08,30.18,-22.85
94,0.18,1.02,-0.19,-4.29,14.01,-2.82,-8.5,29.88,-22.85
95,0.19,1.02,-0.18,-1.39,-2.4,-0.47,-8.79,29.3,-22.27
96,0.16,1.01,-0.19,-0.21,-16.44,2.21,-9.38,29.88,-22.56
97,0.22,1.04,-0.17,3.6,-18.11,0.61,-8.79,29.59,-22.56
98,0.29,1.02,-0.24,5.71,-21.6,-1.47,-8.79,29.59,-22.56
99,0.2,0.99,-0.16,17.68,-12.74,-4.56,-9.38,29.59,-23.14
100,0.5,0.99,-0.06,35.16,19.66,-10.16,-9.38,29.59,-23.44
101,0.21,1.17,0.04,84.34,-20.81,29.35,-10.25,30.47,-24.9
102,0.07,1.79,-0.12,55.5,-105.73,33.68,-11.43,29.0,-24.9
103,0.2,1.3,-0.59,-57.27,-46.74,34.54,-11.13,28.12,-23.73
104,0.57,0.74,-0.56,-30.6,16.32,1.01,-10.84,29.0,-23.14
105,0.23,0.58,-0.62,-42.53,36.79,-13.39,-10.55,30.18,-23.44
106,0.11,0.61,-0.36,-38.28,6.58,-2.49,-10.55,30.18,-21.97
107,0.07,0.34,-0.53,7.39,-5.86,-4.43,-10.25,30.47,-21.68
108,0.06,0.42,-0.55,32.38,-33.62,7.03,-10.25,29.59,-22.27
109,0.18,0.7,-0.67,35.83,-40.1,0.79,-10.55,29.59,-22.27
110,0.11,0.98,-0.83,26.36,26.99,-23.06,-9.96,29.88,-23.73
111,0.23,1.52,-0.69,94.87,117.38,-6.7,-9.96,29.0,-25.2
112,0.12,1.62,0.21,-30.56,28.05,-33.09,-10.25,30.18,-25.2
113,-0.06,0.61,-0.39,-21.17,-1.83,-5.58,-9.67,29.3,-24.9
114,0.59,1.0,-0.37,-14.65,89.78,-11.95,-9.67,29.59,-24.32
115,0.15,1.02,-0.25,-25.96,-11.13,5.29,-9.67,29.88,-23.44
116,0.28,0.96,-0.16,-11.41,-20.75,2.58,-9.38,29.88,-23.14
117,0.34,0.99,-0.17,3.94,-4.54,2.4,-9.38,29.88,-22.85
118,0.24,1.02,-0.27,0.21,-15.76,2.53,-9.08,29.3,-23.14
119,0.23,1.0,-0.18,7.99,-12.4,2.66,-9.38,29.3,-23.44
120,0.27,1.01,-0.23,11.32,-20.0,2.11,-9.38,29.3,-23.44
121,0.27,1.01,-0.2,16.41,-22.83,1.61,-9.67,28.71,-23.73
122,0.23,1.0,-0.26,26.5,-29.53,1.9,-10.25,29.0,-23.73
123,0.54,1.05,-0.01,62.68,-28.22,7.73,-10.55,28.42,-24.9
124,-0.19,1.79,0.01,58.69,-116.48,14.65,-11.72,28.42,-25.49
125,0.06,1.3,-0.26,-78.8,-91.07,-4.43,-12.01,28.12,-24.02
126,-0.06,0.74,-1.55,77.31,91.01,-47.55,-11.13,29.3,-24.61
127,-0.22,0.74,-0.77,-58.78,48.92,-32.45,-10.55,29.88,-22.85
128,-0.01,0.62,-0.46,-46.81,17.24,-0.49,-10.55,30.47,-21.97
129,0.2,0.39,-0.61,-16.15,5.64,5.1,-9.96,30.18,-21.39
130,0.02,0.41,-0.48,4.53,-10.98,-6.55,-10.55,30.47,-21.39
